experiment_id: 5
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	number_of_sensors: 4
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: ELMANNN
	hidden_layer_structure: [50]
	use_bias: False
elapsed_time: 8653.189857244492

Genome Size: 3100
Free Parameters: {'layer 0': {'input_weight_matrix': 500, 'hidden_weight_matrix': 2500}, 'output_weight_matrix': 100}
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -466.67       38.83         333.33        -46.00        2.70          
1       -1000.00      -63.67        333.33        -22.00        3.10          
2       -700.00       -182.00       166.67        28.00         3.10          
3       -533.33       -174.83       166.67        28.00         3.15          
4       -466.67       -118.33       333.33        28.00         2.96          
5       -700.00       -181.83       166.67        28.00         2.94          
6       -366.67       210.17        666.67        30.00         3.00          
7       -300.00       190.33        500.00        30.00         2.99          
8       -466.67       63.50         666.67        30.00         2.99          
9       -300.00       213.00        500.00        30.00         2.96          
10      -233.33       86.67         500.00        30.00         3.02          
11      -300.00       -34.83        333.33        30.00         3.03          
12      -700.00       -98.67        166.67        30.00         2.98          
13      -1000.00      -171.83       166.67        30.00         2.99          
14      -1000.00      -166.50       266.67        30.00         3.02          
15      -233.33       1.33          166.67        30.00         3.24          
16      -466.67       18.50         333.33        30.00         3.16          
17      -533.33       32.17         666.67        30.00         3.04          
18      -533.33       -41.00        166.67        30.00         3.19          
19      -933.33       -54.67        166.67        30.00         3.13          
20      -700.00       -138.17       500.00        30.00         3.19          
21      -533.33       -173.17       266.67        30.00         3.21          
22      -466.67       -60.67        166.67        30.00         3.29          
23      -766.67       -256.00       0.00          30.00         3.25          
24      -466.67       47.17         500.00        104.00        3.29          
25      -466.67       91.50         500.00        104.00        3.31          
26      -233.33       144.00        666.67        104.00        3.21          
27      -466.67       32.83         333.33        104.00        3.15          
28      -66.67        113.50        333.33        104.00        3.17          
29      -700.00       -17.67        500.00        104.00        3.21          
30      -233.33       290.83        833.33        104.00        3.23          
31      -233.33       164.50        666.67        104.00        3.28          
32      -700.00       33.67         666.67        104.00        3.22          
33      -466.67       -189.67       166.67        104.00        3.18          
34      -700.00       -95.17        333.33        104.00        3.21          
35      -233.33       48.83         166.67        104.00        3.18          
36      -233.33       -7.83         333.33        104.00        3.23          
37      -466.67       -54.33        166.67        104.00        3.23          
38      -1400.00      -273.17       333.33        104.00        3.29          
39      -700.00       -97.83        333.33        104.00        3.41          
40      -466.67       -9.17         166.67        104.00        3.42          
41      -66.67        130.67        333.33        104.00        3.52          
42      -1233.33      -146.67       333.33        104.00        3.42          
43      -700.00       -120.50       166.67        104.00        3.24          
44      -233.33       24.33         166.67        104.00        3.26          
45      -933.33       -167.00       100.00        104.00        3.20          
46      -466.67       -184.50       0.00          104.00        3.17          
47      -533.33       126.00        600.00        104.00        3.14          
48      -600.00       -41.00        666.67        104.00        3.21          
49      -233.33       135.67        333.33        104.00        3.18          
50      -233.33       359.50        1000.00       104.00        3.16          
51      -466.67       -54.50        166.67        104.00        3.28          
52      -700.00       -46.00        333.33        104.00        3.25          
53      -1000.00      38.33         433.33        104.00        3.24          
54      -1400.00      -177.67       433.33        104.00        3.46          
55      -300.00       5.83          333.33        104.00        3.44          
56      -933.33       -192.50       333.33        104.00        3.52          
57      -466.67       -26.17        333.33        104.00        3.45          
58      -300.00       207.67        666.67        104.00        3.41          
59      -700.00       -33.33        333.33        104.00        3.45          
60      -466.67       79.17         666.67        104.00        3.31          
61      -933.33       -37.67        500.00        104.00        3.11          
62      -700.00       -41.00        166.67        104.00        3.19          
63      -700.00       -148.17       433.33        104.00        3.26          
64      -700.00       -45.00        333.33        104.00        3.25          
65      -466.67       182.00        766.67        104.00        3.39          
66      -533.33       -63.83        166.67        104.00        3.26          
67      -366.67       -16.50        266.67        104.00        3.23          
68      -533.33       -37.67        500.00        104.00        3.31          
69      -233.33       17.83         333.33        104.00        3.27          
70      -700.00       43.33         833.33        104.00        3.20          
71      -233.33       83.17         500.00        104.00        3.25          
72      -533.33       -86.83        166.67        104.00        3.46          
73      -466.67       -14.50        500.00        104.00        3.50          
74      -466.67       -30.33        0.00          104.00        3.45          
75      -933.33       -127.17       433.33        104.00        3.25          
76      -466.67       62.00         500.00        104.00        3.26          
77      -466.67       -77.83        266.67        104.00        3.43          
78      -466.67       53.83         500.00        104.00        3.37          
79      0.00          3.33          166.67        104.00        3.37          
80      -300.00       169.50        666.67        104.00        3.29          
81      -300.00       108.00        600.00        104.00        3.26          
82      -466.67       117.83        500.00        104.00        3.30          
83      -533.33       -8.33         333.33        104.00        3.33          
84      -466.67       199.67        833.33        104.00        3.37          
85      -933.33       160.83        1433.33       156.00        3.58          
86      -466.67       -131.50       500.00        156.00        3.45          
87      -466.67       16.33         500.00        156.00        3.55          
88      -766.67       -140.17       266.67        156.00        3.51          
89      -1233.33      -313.50       333.33        156.00        3.52          
90      -233.33       14.00         666.67        156.00        3.52          
91      -233.33       185.33        833.33        214.00        3.57          
92      -233.33       38.17         333.33        214.00        3.52          
93      -700.00       18.83         600.00        214.00        3.47          
94      -466.67       -184.67       166.67        214.00        3.51          
95      -300.00       -0.17         266.67        214.00        3.54          
96      -300.00       8.50          500.00        214.00        3.57          
97      -533.33       -124.17       333.33        214.00        3.62          
98      -300.00       -72.50        666.67        214.00        3.51          
99      -466.67       46.50         333.33        214.00        3.56          
100     -233.33       240.50        666.67        214.00        3.57          
101     -466.67       -57.67        333.33        214.00        3.50          
102     -700.00       -38.33        500.00        214.00        3.48          
103     -700.00       -60.67        500.00        214.00        3.52          
104     -300.00       107.67        500.00        214.00        3.52          
105     -466.67       312.83        666.67        214.00        3.56          
106     -233.33       -16.67        166.67        214.00        3.49          
107     -466.67       -4.33         333.33        214.00        3.48          
108     -700.00       -193.67       500.00        214.00        3.53          
109     -700.00       -113.17       266.67        214.00        3.52          
110     -533.33       6.50          600.00        214.00        3.12          
111     -700.00       -25.33        500.00        214.00        3.14          
112     -466.67       -79.50        166.67        214.00        3.30          
113     -533.33       54.83         333.33        214.00        3.35          
114     -466.67       -198.33       166.67        214.00        3.27          
115     -833.33       -27.17        500.00        214.00        3.39          
116     -700.00       -372.33       166.67        214.00        3.30          
117     -700.00       -104.00       100.00        214.00        3.32          
118     -700.00       -226.17       166.67        214.00        3.15          
119     -300.00       169.67        500.00        214.00        3.40          
120     -933.33       -63.83        333.33        214.00        3.47          
121     -300.00       76.33         333.33        214.00        3.41          
122     -200.00       263.33        1000.00       214.00        3.33          
123     -233.33       -104.83       500.00        214.00        3.34          
124     -533.33       -93.67        433.33        214.00        3.32          
125     -466.67       66.50         333.33        214.00        3.32          
126     -233.33       131.33        1000.00       214.00        3.33          
127     -833.33       -118.17       433.33        214.00        3.31          
128     -466.67       -54.33        333.33        214.00        3.34          
129     -233.33       -21.67        333.33        214.00        3.43          
130     -466.67       3.50          166.67        214.00        3.61          
131     -700.00       -71.00        333.33        214.00        3.46          
132     -766.67       64.17         500.00        214.00        3.53          
133     -700.00       -13.00        333.33        214.00        3.56          
134     -466.67       -28.33        166.67        214.00        3.53          
135     -233.33       13.33         333.33        214.00        3.55          
136     -66.67        5.67          333.33        214.00        3.51          
137     -766.67       -177.33       333.33        214.00        3.41          
138     -466.67       -152.00       333.33        214.00        3.51          
139     -233.33       141.67        666.67        214.00        3.57          
140     -466.67       -48.17        333.33        214.00        3.44          
141     -466.67       4.50          333.33        214.00        3.47          
142     -533.33       -107.50       333.33        214.00        3.54          
143     -466.67       232.17        833.33        214.00        3.54          
144     -700.00       57.50         666.67        214.00        3.55          
145     0.00          133.00        500.00        214.00        3.56          
146     -466.67       -4.50         666.67        214.00        3.54          
147     -700.00       -254.00       0.00          214.00        3.54          
148     -233.33       90.67         500.00        214.00        3.55          
149     -1000.00      -161.33       666.67        214.00        3.34          
150     -1166.67      -154.17       433.33        214.00        3.33          
151     -300.00       -8.33         333.33        214.00        3.50          
152     -233.33       -41.67        500.00        214.00        3.54          
153     -466.67       133.83        833.33        214.00        3.37          
154     -533.33       156.00        833.33        214.00        3.53          
155     -233.33       65.50         500.00        214.00        3.54          
156     -233.33       77.67         666.67        214.00        3.56          
157     -933.33       -149.00       500.00        214.00        3.45          
158     -466.67       -2.17         333.33        214.00        3.56          
159     -233.33       159.33        833.33        214.00        3.55          
160     -700.00       -137.67       333.33        214.00        3.45          
161     -533.33       108.17        333.33        214.00        3.34          
162     -366.67       137.83        766.67        214.00        3.24          
163     -833.33       -85.50        500.00        214.00        3.17          
164     -66.67        283.17        833.33        214.00        3.29          
165     -300.00       141.00        666.67        214.00        3.14          
166     -1166.67      -295.33       333.33        214.00        3.49          
167     -466.67       16.83         500.00        214.00        3.40          
168     -533.33       153.33        1000.00       214.00        3.57          
169     -66.67        210.83        1000.00       214.00        3.51          
170     -933.33       -42.33        833.33        224.00        3.49          
171     -533.33       69.67         933.33        224.00        3.52          
172     -766.67       149.17        666.67        224.00        3.53          
173     -466.67       109.83        666.67        224.00        3.55          
174     -700.00       189.33        1000.00       224.00        3.46          
175     -700.00       77.00         1333.33       224.00        3.33          
176     -700.00       -168.33       266.67        224.00        3.13          
177     -233.33       2.33          500.00        224.00        3.38          
178     -600.00       -35.00        833.33        224.00        3.22          
179     0.00          292.50        666.67        224.00        3.15          
180     -1000.00      20.33         333.33        224.00        3.50          
181     -300.00       308.67        1166.67       224.00        3.45          
182     -433.33       218.67        833.33        224.00        3.41          
183     -533.33       63.33         333.33        224.00        3.18          
184     -766.67       58.50         833.33        224.00        3.48          
185     -933.33       -368.17       433.33        224.00        3.44          
186     -700.00       -78.33        166.67        224.00        3.41          
187     -1000.00      -89.50        500.00        224.00        3.46          
188     -533.33       110.33        666.67        224.00        3.48          
189     -900.00       54.50         700.00        224.00        3.46          
190     -466.67       74.17         500.00        224.00        3.48          
191     -700.00       -67.83        433.33        224.00        3.52          
192     -933.33       -156.83       266.67        272.00        3.56          
193     -466.67       274.17        1266.67       272.00        3.22          
194     -366.67       409.67        833.33        294.00        3.25          
195     -700.00       154.67        666.67        294.00        3.30          
196     -600.00       108.33        833.33        294.00        3.29          
197     -933.33       10.17         666.67        294.00        3.29          
198     -466.67       297.50        1333.33       294.00        3.54          
199     -233.33       126.00        666.67        294.00        3.57          
200     -766.67       144.50        666.67        294.00        3.55          
201     -1000.00      -94.67        933.33        294.00        3.50          
202     -766.67       53.67         1033.33       294.00        3.39          
203     -1000.00      334.33        1266.67       294.00        3.42          
204     -300.00       383.50        1166.67       294.00        3.36          
205     -1166.67      -429.83       266.67        294.00        3.44          
206     -533.33       -31.50        500.00        294.00        3.38          
207     -533.33       45.83         600.00        294.00        3.39          
208     -600.00       78.33         933.33        294.00        3.40          
209     -466.67       266.33        1500.00       294.00        3.40          
210     -466.67       42.33         500.00        294.00        3.32          
211     -700.00       -40.33        500.00        294.00        3.36          
212     -600.00       0.50          666.67        294.00        3.40          
213     -1066.67      -163.17       600.00        294.00        3.48          
214     -533.33       51.83         500.00        308.00        3.17          
215     -1233.33      -150.67       266.67        308.00        3.31          
216     -466.67       344.33        1333.33       308.00        3.32          
217     -466.67       326.67        1833.33       308.00        3.29          
218     -700.00       -67.33        366.67        308.00        3.33          
219     -466.67       365.17        1333.33       308.00        3.25          
220     -233.33       85.00         666.67        308.00        3.28          
221     -300.00       165.83        666.67        308.00        3.33          
