experiment_id: 5
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	number_of_sensors: 4
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: GRUNN
	hidden_layer_structure: [10]
	use_bias: False
elapsed_time: 3450.4391705989838

Genome Size: 620
Free Parameters: {'layer 0': {'input_weight_matrix': 300, 'hidden_weight_matrix': 300}, 'output_weight_matrix': 20}
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -466.67       28.17         333.33        -22.00        1.34          
1       -233.33       -45.50        166.67        -12.00        1.37          
2       -466.67       -4.83         333.33        14.00         1.36          
3       -466.67       51.00         166.67        14.00         1.43          
4       -466.67       -65.50        166.67        14.00         1.38          
5       -233.33       122.67        333.33        14.00         1.39          
6       -233.33       -59.83        0.00          14.00         1.38          
7       -233.33       24.67         333.33        14.00         1.40          
8       -233.33       -72.33        0.00          14.00         1.40          
9       -233.33       104.00        500.00        14.00         1.41          
10      -466.67       -30.50        500.00        14.00         1.36          
11      -233.33       -8.67         166.67        14.00         1.40          
12      -233.33       -18.83        166.67        36.00         1.38          
13      -700.00       -115.17       500.00        36.00         1.39          
14      -233.33       42.50         333.33        36.00         1.47          
15      -466.67       -57.83        500.00        36.00         1.39          
16      -466.67       -138.83       0.00          36.00         1.37          
17      -233.33       -62.17        166.67        36.00         1.35          
18      -533.33       56.50         333.33        36.00         1.37          
19      0.00          5.00          166.67        36.00         1.41          
20      -533.33       -14.83        166.67        36.00         1.36          
21      -466.67       51.00         333.33        36.00         1.34          
22      -233.33       109.83        333.33        36.00         1.40          
23      -233.33       2.67          166.67        36.00         1.40          
24      -233.33       -61.83        0.00          36.00         1.38          
25      0.00          0.00          0.00          36.00         1.35          
26      -466.67       13.17         166.67        36.00         1.35          
27      -466.67       19.00         333.33        36.00         1.44          
28      -233.33       -49.00        0.00          36.00         1.38          
29      -233.33       -25.83        333.33        36.00         1.41          
30      -233.33       30.17         166.67        36.00         1.37          
31      -233.33       -9.50         166.67        36.00         1.46          
32      -66.67        18.17         166.67        36.00         1.34          
33      0.00          2.50          166.67        36.00         1.39          
34      -466.67       -82.00        166.67        36.00         1.35          
35      -466.67       -60.50        333.33        36.00         1.36          
36      -233.33       3.00          166.67        36.00         1.39          
37      -233.33       -52.83        0.00          36.00         1.36          
38      -466.67       -21.67        333.33        36.00         1.39          
39      0.00          61.67         166.67        36.00         1.42          
40      -233.33       62.33         500.00        36.00         1.34          
41      -233.33       -1.17         0.00          36.00         1.40          
42      -466.67       -5.83         0.00          36.00         1.38          
43      -466.67       -31.83        166.67        36.00         1.36          
44      -700.00       -320.67       166.67        36.00         1.37          
45      -233.33       64.00         333.33        36.00         1.38          
46      0.00          38.33         333.33        36.00         1.37          
47      -466.67       -116.17       166.67        36.00         1.36          
48      -233.33       78.17         333.33        36.00         1.36          
49      -233.33       -142.50       166.67        36.00         1.39          
50      -933.33       -136.83       166.67        36.00         1.46          
51      -466.67       -70.17        166.67        36.00         1.40          
52      -233.33       -53.50        166.67        36.00         1.39          
