experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Reacher-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 50
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 3.0
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: True
	alpha: 0.1
elapsed_time: 14952.477064847946

Genome Size: 3200
Free Parameters: {'V': 550, 'W': 2500, 'T': 100, 'x_0': 50}
Inputs: 11
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -108.55       -99.00        -61.87        -76.50        13.98         
1       -109.60       -100.65       -78.26        -76.50        4.90          
2       -106.78       -98.04        -73.71        -72.62        5.53          
3       -109.67       -99.60        -71.91        -72.62        4.95          
4       -108.97       -98.88        -69.29        -72.62        5.05          
5       -108.75       -98.68        -75.96        -72.62        5.58          
6       -107.57       -96.95        -71.86        -72.62        5.31          
7       -107.13       -96.93        -68.60        -72.62        4.68          
8       -107.10       -97.12        -73.57        -72.62        6.10          
9       -105.89       -95.05        -70.43        -72.62        5.56          
10      -108.07       -98.39        -78.15        -72.62        4.92          
11      -108.70       -98.60        -70.74        -72.17        6.32          
12      -107.63       -97.02        -74.60        -69.96        4.69          
13      -107.87       -98.18        -72.83        -69.96        5.07          
14      -105.34       -94.18        -69.87        -69.96        6.26          
15      -107.94       -98.42        -72.07        -69.96        5.45          
16      -107.51       -96.34        -72.82        -69.96        5.97          
17      -107.44       -97.53        -72.03        -69.96        6.70          
18      -105.65       -95.41        -66.23        -69.96        5.36          
19      -109.26       -98.94        -74.92        -69.96        5.25          
20      -107.41       -96.74        -70.26        -69.96        6.65          
21      -104.49       -93.58        -73.83        -69.96        5.58          
22      -106.77       -95.21        -69.03        -67.88        4.96          
23      -106.45       -95.10        -66.15        -67.88        6.27          
24      -107.37       -96.30        -73.68        -67.88        5.80          
25      -106.99       -96.10        -75.49        -67.88        5.52          
26      -107.97       -95.92        -67.35        -67.88        6.98          
27      -107.24       -95.60        -74.66        -67.88        5.89          
28      -109.47       -97.24        -64.90        -67.88        6.36          
29      -106.28       -93.35        -73.11        -67.88        5.77          
30      -106.64       -93.68        -64.44        -67.88        6.36          
31      -106.68       -92.97        -68.40        -67.88        6.47          
32      -108.54       -96.02        -54.90        -67.88        5.78          
33      -107.76       -93.89        -71.11        -67.88        6.35          
34      -107.14       -93.54        -69.98        -67.88        5.85          
35      -106.02       -93.42        -51.08        -63.65        6.80          
36      -107.75       -95.57        -72.77        -63.65        5.57          
37      -106.95       -93.02        -70.08        -63.65        6.14          
38      -111.80       -96.73        -76.05        -63.65        5.68          
39      -107.76       -94.03        -61.20        -63.65        6.05          
40      -110.12       -94.08        -74.64        -63.65        6.53          
41      -106.92       -94.89        -69.86        -63.65        5.63          
42      -108.27       -95.63        -69.86        -63.65        4.97          
43      -109.03       -94.42        -69.22        -63.65        6.26          
44      -106.79       -92.39        -60.30        -63.65        6.08          
45      -108.01       -93.00        -68.27        -63.65        5.61          
46      -107.46       -92.77        -70.45        -63.65        7.21          
47      -106.22       -92.46        -71.56        -63.65        5.16          
48      -104.64       -90.89        -51.29        -63.65        5.61          
49      -106.10       -92.33        -63.57        -63.65        6.41          
50      -106.79       -94.80        -72.92        -63.65        4.88          
51      -108.05       -93.85        -73.25        -63.65        6.39          
52      -106.73       -93.28        -67.11        -63.65        5.47          
53      -106.39       -93.20        -65.97        -63.65        5.59          
54      -108.16       -92.50        -61.49        -63.65        6.78          
55      -108.39       -95.38        -70.68        -63.65        5.15          
56      -106.17       -92.10        -74.71        -63.65        5.25          
57      -105.51       -90.39        -67.36        -63.65        5.46          
58      -106.81       -93.44        -74.50        -63.65        4.91          
59      -106.19       -92.28        -67.74        -63.65        6.34          
60      -106.37       -92.57        -63.24        -63.65        6.30          
61      -105.42       -92.05        -69.05        -63.65        5.96          
62      -106.18       -94.47        -71.55        -63.65        6.80          
63      -106.66       -91.99        -66.00        -63.65        5.63          
64      -107.27       -93.25        -65.05        -63.65        5.73          
65      -105.97       -91.88        -73.87        -63.65        6.37          
66      -106.02       -91.72        -69.20        -63.65        6.05          
67      -106.11       -92.56        -66.59        -63.65        6.62          
68      -106.37       -90.62        -65.90        -63.65        5.04          
69      -109.52       -93.24        -69.39        -63.65        6.23          
70      -108.33       -92.15        -67.00        -63.65        6.02          
71      -107.16       -92.34        -63.40        -63.65        5.29          
72      -107.27       -91.85        -65.36        -63.65        6.69          
73      -106.79       -92.53        -69.60        -63.65        4.90          
74      -107.58       -93.35        -72.49        -63.65        5.86          
75      -106.54       -92.26        -68.00        -63.65        6.17          
76      -108.20       -92.32        -64.44        -63.65        5.51          
77      -110.42       -93.63        -65.84        -63.65        6.28          
78      -109.10       -93.56        -67.03        -63.65        6.03          
79      -107.89       -92.15        -68.51        -63.65        5.94          
80      -108.00       -93.75        -61.24        -63.65        5.98          
81      -110.29       -94.49        -63.88        -63.65        5.85          
82      -108.34       -93.65        -68.05        -63.65        6.33          
83      -105.59       -92.61        -60.30        -63.65        6.67          
84      -109.32       -95.68        -78.58        -63.65        6.27          
85      -107.21       -93.39        -70.71        -63.65        5.68          
86      -106.96       -92.20        -70.65        -63.65        5.50          
87      -106.89       -92.11        -70.04        -63.65        5.90          
88      -107.90       -91.88        -61.59        -63.65        6.04          
89      -109.55       -93.25        -72.92        -63.65        5.74          
90      -105.89       -91.57        -68.22        -63.65        6.13          
91      -107.00       -91.79        -65.56        -63.65        5.63          
92      -106.86       -91.82        -59.45        -63.65        5.69          
93      -108.31       -93.48        -68.91        -63.65        6.14          
94      -106.63       -93.63        -68.05        -63.65        6.58          
95      -108.84       -93.01        -65.45        -63.65        5.70          
96      -108.01       -91.42        -66.92        -63.65        5.86          
97      -108.76       -93.99        -70.53        -63.65        6.38          
