experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: InvertedDoublePendulum-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 20
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: True
	optimize_x0: False
elapsed_time: 1961.5603036880493

Genome Size: 640
Free Parameters: {'V': 220, 'W': 400, 'T': 20}
Inputs: 11
Outputs: 1

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       26.82         51.08         146.51        123.66        8.63          
1       26.81         50.12         108.65        123.66        0.71          
2       26.80         57.28         149.03        123.66        0.86          
3       29.49         60.84         145.56        123.66        0.71          
4       26.76         62.78         158.62        147.92        0.89          
5       29.53         72.92         166.41        147.92        0.73          
6       26.85         75.38         156.19        148.54        0.75          
7       26.81         82.78         186.50        148.54        0.69          
8       26.81         87.16         159.39        148.54        0.80          
9       26.76         90.35         183.93        148.54        0.71          
10      29.53         90.41         216.67        148.54        0.75          
11      26.84         90.94         191.35        148.54        0.85          
12      26.89         99.00         171.77        148.54        0.89          
13      26.87         93.78         173.75        148.54        0.77          
14      29.60         91.26         224.65        181.24        0.70          
15      29.72         93.25         146.31        181.24        1.30          
16      26.82         95.89         177.17        181.24        0.77          
17      26.88         94.14         173.91        181.24        0.82          
18      35.36         98.33         161.35        181.24        0.82          
19      32.87         93.23         180.20        181.24        0.73          
20      29.57         98.11         165.14        181.24        0.74          
21      29.52         96.12         180.38        181.24        0.92          
22      35.74         99.92         177.28        181.24        0.73          
23      35.68         100.66        177.54        181.24        0.68          
24      26.80         94.94         179.73        181.24        0.69          
25      57.41         99.54         183.12        181.24        0.71          
26      57.26         100.92        187.12        181.24        0.75          
27      63.15         100.52        164.77        181.24        0.73          
28      35.36         96.36         158.86        181.24        0.70          
29      35.72         98.20         167.77        181.24        0.79          
30      26.88         102.37        189.21        181.24        0.81          
31      26.84         100.46        185.95        181.24        0.73          
32      35.30         104.07        181.24        181.24        0.90          
33      45.13         99.37         210.19        181.24        0.74          
34      45.37         99.70         161.67        181.24        0.77          
35      63.29         95.81         158.64        181.24        0.86          
36      57.57         104.99        190.99        181.24        0.76          
37      32.73         99.49         192.23        181.24        0.75          
38      66.72         103.17        183.14        181.24        0.84          
39      66.31         101.22        178.93        181.24        0.83          
40      59.85         100.32        201.49        181.24        0.69          
41      72.84         102.03        195.42        181.24        0.77          
42      72.54         103.24        173.55        181.24        0.86          
43      38.71         100.10        164.74        181.24        0.72          
44      35.85         101.66        197.98        181.24        0.70          
45      63.23         105.80        201.44        181.24        0.66          
46      66.35         104.36        190.26        181.24        0.74          
47      60.23         103.00        182.62        181.24        0.68          
48      54.04         105.28        182.64        181.24        0.75          
49      45.21         108.63        183.01        181.24        0.88          
50      26.81         101.22        174.04        181.24        0.71          
51      42.39         109.20        176.36        181.24        0.75          
52      69.48         108.91        177.39        181.24        0.73          
53      60.47         100.54        173.65        181.24        0.81          
54      69.45         109.36        183.75        181.24        0.69          
55      66.73         107.56        177.92        181.24        0.77          
56      32.21         108.93        177.80        181.24        0.77          
57      63.04         104.15        180.96        181.24        0.83          
58      57.70         103.60        192.20        181.24        0.87          
59      45.20         100.29        165.69        181.24        0.70          
60      48.32         101.21        164.88        181.24        0.76          
61      51.66         104.32        192.37        181.24        0.70          
62      51.07         104.87        188.96        181.24        0.71          
63      63.85         107.31        178.24        181.24        0.69          
64      54.84         107.31        226.62        181.24        0.64          
65      66.57         104.71        180.87        181.24        0.78          
66      56.91         106.77        195.14        181.24        0.67          
67      63.98         108.18        182.79        181.24        0.66          
68      66.60         106.98        167.89        181.24        0.92          
69      66.48         107.49        172.24        181.24        0.69          
70      63.43         107.51        182.54        181.24        0.83          
71      57.07         104.30        183.20        181.24        0.70          
72      68.76         104.11        201.05        181.24        0.83          
73      59.95         108.28        177.16        181.24        0.82          
74      41.90         104.53        192.73        181.24        0.75          
75      39.15         104.14        207.34        181.24        0.93          
76      45.15         99.25         198.27        181.24        0.78          
77      45.09         104.46        176.83        181.24        0.73          
78      69.87         114.27        192.29        181.24        0.85          
