experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Reacher-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: GRUNN
	hidden_layer_structure: [5]
	use_bias: False
elapsed_time: 1748.75616979599

Genome Size: 250
Free Parameters: {'layer 0': {'input_weight_matrix': 165, 'hidden_weight_matrix': 75}, 'output_weight_matrix': 10}
Inputs: 11
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -8772.09      -1546.83      -46.19        -80.15        8.32          
1       -7014.53      -1303.11      -65.33        -80.15        0.75          
2       -7540.55      -1208.08      -53.01        -80.15        0.74          
3       -7313.87      -1124.63      -45.24        -80.15        0.77          
4       -6375.95      -1219.72      -45.91        -66.42        0.79          
5       -10141.29     -1162.33      -89.75        -66.42        0.73          
6       -7638.87      -1235.51      -48.27        -55.72        0.80          
7       -4855.84      -1004.28      -32.54        -46.43        0.77          
8       -6885.01      -963.17       -50.15        -46.43        0.69          
9       -4666.67      -1096.71      -22.73        -31.89        0.69          
10      -8104.73      -1120.60      -60.98        -31.89        0.80          
11      -5793.35      -986.78       -39.60        -31.89        0.74          
12      -6514.49      -998.10       -19.12        -20.17        0.81          
13      -7068.93      -969.73       -78.14        -20.17        0.68          
14      -4059.31      -990.97       -46.26        -20.17        0.71          
15      -5750.49      -1063.28      -21.39        -20.17        0.73          
16      -7167.43      -1061.47      -18.00        -20.17        0.77          
17      -5608.40      -995.74       -22.47        -20.17        0.65          
18      -6339.62      -919.57       -20.66        -20.17        0.70          
19      -4344.63      -983.22       -14.50        -20.17        0.80          
20      -6332.55      -967.05       -14.38        -20.17        0.68          
21      -4942.45      -973.87       -10.32        -20.17        0.72          
22      -6761.11      -893.82       -12.51        -11.54        0.66          
23      -7104.95      -906.24       -16.36        -11.54        0.70          
24      -4997.44      -908.81       -10.68        -11.54        0.72          
25      -4570.88      -755.43       -12.76        -11.54        0.75          
26      -5335.10      -763.76       -13.85        -11.54        0.73          
27      -6091.73      -836.83       -12.78        -11.54        0.68          
28      -8090.63      -843.90       -10.92        -9.92         0.76          
29      -11973.01     -817.74       -9.73         -9.92         0.74          
30      -5979.66      -703.04       -9.23         -9.92         0.74          
31      -7168.57      -793.27       -10.06        -9.92         0.71          
32      -8518.22      -885.36       -4.55         -9.92         0.72          
33      -12703.30     -1073.50      -9.94         -9.92         0.72          
34      -12286.72     -1090.34      -10.26        -9.83         0.71          
35      -11333.11     -1035.24      -11.73        -9.83         0.73          
36      -21795.97     -926.75       -10.78        -9.58         0.78          
37      -13476.79     -949.82       -6.08         -9.58         0.72          
38      -17029.25     -1109.60      -10.45        -9.33         0.67          
39      -8524.29      -937.20       -8.88         -9.33         0.72          
40      -19417.01     -1579.33      -7.65         -9.33         0.76          
41      -18032.59     -1007.71      -10.15        -9.33         0.70          
42      -42575.42     -1273.11      -7.60         -9.32         0.67          
43      -16485.94     -1323.97      -11.30        -9.32         0.73          
44      -10362.43     -770.10       -13.13        -9.32         0.68          
45      -23942.36     -1191.52      -8.14         -9.32         0.68          
46      -18290.46     -995.94       -9.27         -9.32         0.72          
47      -12485.06     -979.34       -11.39        -9.32         0.68          
48      -17226.29     -634.01       -6.12         -9.32         0.69          
49      -19268.86     -945.81       -7.56         -9.32         0.69          
50      -20839.76     -921.02       -8.74         -9.32         0.65          
51      -33649.26     -1647.79      -9.50         -9.32         0.66          
52      -16627.47     -819.29       -6.90         -9.32         0.74          
53      -16913.70     -922.03       -6.14         -9.32         0.67          
54      -19192.59     -1553.33      -10.94        -9.32         0.74          
55      -38101.72     -1437.55      -8.48         -9.32         0.66          
56      -30369.58     -1469.04      -11.39        -9.32         0.67          
57      -27325.51     -1040.27      -12.69        -9.32         0.71          
58      -33974.18     -1300.02      -11.19        -9.32         0.68          
59      -20782.00     -1554.07      -9.90         -9.32         0.73          
60      -18603.22     -926.94       -11.32        -9.32         0.76          
61      -56579.96     -1321.30      -10.94        -9.32         0.78          
62      -16293.38     -1452.06      -10.43        -9.32         0.65          
63      -43532.24     -1750.05      -10.10        -9.32         0.70          
64      -49422.50     -2185.21      -12.73        -9.32         0.71          
65      -36239.73     -1014.34      -9.44         -9.32         0.68          
66      -22674.47     -1195.08      -6.16         -9.32         0.71          
67      -34475.98     -1713.60      -9.19         -9.32         0.71          
68      -35780.37     -1958.95      -8.99         -9.32         0.71          
69      -43006.73     -1775.85      -3.69         -9.32         0.66          
