experiment_id: 5
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	number_of_sensors: 4
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 5
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: True
	optimize_x0: False
elapsed_time: 2713.1043050289154

Genome Size: 85
Free Parameters: {'V': 50, 'W': 25, 'T': 10}
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -66.67        14.67         333.33        -2.00         1.15          
1       -466.67       -5.50         166.67        -2.00         1.06          
2       -233.33       -77.33        266.67        -2.00         1.05          
3       -66.67        43.00         333.33        -2.00         1.07          
4       -66.67        148.00        166.67        -2.00         1.09          
5       -533.33       -131.17       333.33        -2.00         1.09          
6       -233.33       0.83          333.33        -2.00         1.07          
7       -233.33       23.83         166.67        -2.00         1.07          
8       0.00          83.33         500.00        -2.00         1.09          
9       -466.67       -47.83        166.67        -2.00         1.10          
10      -66.67        71.00         500.00        -2.00         1.07          
11      -300.00       6.67          333.33        -2.00         1.07          
12      -233.33       46.17         333.33        -2.00         1.07          
13      -466.67       -10.50        500.00        -2.00         1.12          
14      -233.33       -21.17        166.67        -2.00         1.07          
15      -466.67       -46.00        166.67        -2.00         1.07          
16      -700.00       -84.17        333.33        -2.00         1.05          
17      -466.67       -240.33       -233.33       -2.00         1.04          
18      -466.67       -15.83        0.00          -2.00         1.07          
19      -466.67       -17.33        333.33        -2.00         1.06          
20      -700.00       -64.83        166.67        -2.00         1.11          
21      -233.33       53.17         666.67        0.00          1.09          
22      -466.67       -35.17        166.67        0.00          1.06          
23      0.00          20.00         166.67        0.00          1.08          
24      -66.67        4.67          166.67        0.00          1.09          
25      -233.33       -63.67        166.67        0.00          1.09          
26      -233.33       -4.67         0.00          0.00          1.08          
27      -233.33       -3.83         0.00          0.00          1.09          
28      -233.33       -6.17         166.67        0.00          1.07          
29      -466.67       13.67         333.33        0.00          1.11          
30      -233.33       29.83         333.33        0.00          1.07          
31      -233.33       -20.33        166.67        0.00          1.11          
32      -700.00       -181.00       -66.67        0.00          1.04          
33      -1233.33      -92.50        166.67        0.00          1.07          
34      -233.33       -2.17         333.33        0.00          1.09          
35      -700.00       -12.67        333.33        10.00         1.08          
36      -233.33       -3.33         166.67        10.00         1.10          
37      -700.00       -119.00       333.33        10.00         1.09          
38      -233.33       64.33         500.00        10.00         1.08          
39      -466.67       -57.83        666.67        10.00         1.09          
40      -233.33       0.50          166.67        10.00         1.12          
41      0.00          0.00          0.00          10.00         1.08          
42      -700.00       -70.33        166.67        10.00         1.07          
43      -466.67       -0.17         333.33        10.00         1.07          
44      -233.33       4.17          333.33        10.00         1.08          
45      -466.67       26.67         333.33        10.00         1.06          
46      -300.00       0.67          333.33        10.00         1.07          
47      -300.00       -3.83         500.00        10.00         1.10          
48      -466.67       -27.50        333.33        10.00         1.07          
49      -233.33       56.17         500.00        22.00         1.07          
50      -466.67       -77.67        333.33        22.00         1.07          
51      -466.67       -13.50        0.00          22.00         1.12          
52      -700.00       -33.50        166.67        22.00         1.07          
53      -700.00       -43.50        0.00          22.00         1.08          
54      -233.33       55.50         333.33        22.00         1.07          
55      -466.67       -179.50       166.67        22.00         1.12          
56      -300.00       126.33        500.00        22.00         1.06          
57      -233.33       1.00          166.67        22.00         1.06          
58      -233.33       42.50         333.33        22.00         1.09          
59      -233.33       30.67         333.33        22.00         1.08          
60      -233.33       63.83         600.00        22.00         1.09          
61      -533.33       -41.50        266.67        22.00         1.07          
62      -466.67       46.83         500.00        22.00         1.10          
63      -933.33       -110.83       0.00          22.00         1.10          
64      -466.67       15.00         333.33        22.00         1.09          
65      -233.33       9.67          333.33        22.00         1.04          
66      -300.00       3.33          500.00        22.00         1.10          
67      -466.67       -0.67         166.67        22.00         1.08          
68      -466.67       19.50         333.33        22.00         1.06          
69      -700.00       -117.33       166.67        22.00         1.05          
70      -466.67       -21.17        333.33        22.00         1.07          
71      -700.00       -38.83        166.67        22.00         1.08          
72      -233.33       24.67         166.67        22.00         1.07          
73      -233.33       5.83          333.33        22.00         1.06          
74      -233.33       -8.33         333.33        22.00         1.05          
75      -466.67       -81.33        166.67        26.00         1.06          
76      -700.00       15.33         333.33        26.00         1.09          
77      -466.67       -10.50        166.67        26.00         1.12          
78      -233.33       23.33         333.33        26.00         1.13          
79      0.00          20.83         166.67        26.00         1.09          
80      -233.33       -45.17        166.67        26.00         1.08          
81      -233.33       -40.83        333.33        26.00         1.09          
82      -700.00       -291.67       -133.33       26.00         1.11          
83      -466.67       -45.50        166.67        26.00         1.08          
84      -233.33       -54.17        333.33        26.00         1.10          
85      -466.67       69.83         500.00        26.00         1.10          
86      -766.67       -67.67        333.33        26.00         1.09          
87      -933.33       -171.67       0.00          26.00         1.07          
88      -533.33       -96.00        333.33        26.00         1.04          
89      -300.00       22.67         500.00        26.00         1.13          
90      -233.33       -3.00         333.33        26.00         1.09          
91      -466.67       -37.00        333.33        26.00         1.12          
92      -700.00       -88.83        166.67        26.00         1.08          
93      -300.00       -79.83        166.67        26.00         1.08          
94      -466.67       -5.00         100.00        26.00         1.09          
95      -466.67       -34.00        333.33        26.00         1.08          
96      -700.00       -17.17        333.33        26.00         1.12          
97      -1166.67      -177.67       166.67        26.00         1.07          
98      -300.00       11.17         333.33        26.00         1.06          
99      -233.33       20.00         166.67        26.00         1.11          
100     -533.33       116.67        333.33        38.00         1.03          
101     -533.33       -72.33        166.67        38.00         1.10          
102     -466.67       -73.83        333.33        38.00         1.08          
103     -466.67       -54.17        166.67        38.00         1.10          
104     -700.00       -37.17        500.00        38.00         1.07          
105     -300.00       -12.00        0.00          38.00         1.13          
106     -466.67       -35.17        166.67        38.00         1.07          
107     -700.00       -107.83       166.67        38.00         1.11          
108     -366.67       -99.83        333.33        38.00         1.07          
109     -233.33       31.00         500.00        38.00         1.11          
110     -300.00       -11.17        333.33        38.00         1.05          
111     -233.33       0.50          166.67        38.00         1.11          
112     -700.00       -138.83       0.00          38.00         1.06          
113     -700.00       -157.67       100.00        38.00         1.07          
114     -233.33       -7.50         333.33        38.00         1.07          
115     -300.00       41.33         333.33        38.00         1.07          
116     -300.00       64.33         333.33        38.00         1.05          
117     -233.33       -3.50         0.00          38.00         1.08          
118     -300.00       -28.83        333.33        38.00         1.06          
119     -233.33       -0.50         166.67        38.00         1.08          
120     -700.00       -24.17        166.67        38.00         1.08          
121     -466.67       9.50          333.33        38.00         1.09          
122     -66.67        88.67         500.00        38.00         1.13          
123     -466.67       -6.50         500.00        38.00         1.13          
124     -466.67       -99.67        166.67        38.00         1.06          
125     -466.67       -72.83        500.00        38.00         1.08          
126     -233.33       32.83         1000.00       38.00         1.09          
127     -466.67       -29.33        166.67        38.00         1.09          
128     -466.67       86.00         500.00        38.00         1.09          
129     -233.33       57.50         500.00        38.00         1.10          
130     -366.67       39.50         500.00        38.00         1.10          
131     -233.33       -3.00         166.67        38.00         1.08          
132     -233.33       88.50         500.00        38.00         1.07          
133     -233.33       52.50         433.33        38.00         1.08          
134     -466.67       -51.00        333.33        38.00         1.10          
135     -233.33       94.33         433.33        38.00         1.10          
136     -466.67       -3.83         333.33        38.00         1.09          
137     -233.33       162.33        833.33        38.00         1.07          
138     -833.33       14.67         500.00        38.00         1.10          
139     -233.33       119.33        666.67        38.00         1.07          
140     -933.33       -273.50       166.67        68.00         1.11          
141     -466.67       -27.17        166.67        68.00         1.11          
142     -766.67       -34.50        333.33        68.00         1.08          
143     -133.33       120.17        500.00        68.00         1.07          
144     -1166.67      -261.67       266.67        68.00         1.09          
145     -466.67       74.83         500.00        68.00         1.10          
146     -300.00       42.33         166.67        68.00         1.10          
147     -300.00       65.33         666.67        68.00         1.06          
148     -466.67       -2.50         433.33        68.00         1.07          
149     -366.67       10.17         833.33        68.00         1.06          
150     -533.33       37.50         1166.67       68.00         1.07          
151     -1400.00      -291.17       766.67        68.00         1.07          
152     -466.67       10.00         333.33        68.00         1.08          
153     -466.67       -87.00        166.67        68.00         1.10          
154     -1166.67      -52.50        500.00        68.00         1.09          
155     -300.00       259.00        833.33        68.00         1.08          
156     -533.33       -20.33        600.00        68.00         1.09          
157     -466.67       13.33         500.00        68.00         1.12          
