experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: HalfCheetah-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
brain
	type: LSTMNN
	hidden_layer_structure: [10]
	use_bias: True
elapsed_time: 17064.961520910263

Genome Size: 1180
Free Parameters: {'layer 0': {'input_weight_matrix': 680, 'hidden_weight_matrix': 400, 'bias': 40}, 'output_weight_matrix': 60}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -1056.37      -275.56       89.90         53.68         10.94         
1       -963.33       -254.07       141.90        53.68         7.81          
2       -1003.62      -231.48       327.79        271.97        7.33          
3       -822.51       -238.01       294.98        271.97        7.67          
4       -743.43       -202.33       744.44        768.50        7.74          
5       -740.43       -180.24       322.41        768.50        7.81          
6       -890.75       -180.83       328.21        768.50        7.46          
7       -839.18       -159.51       145.81        768.50        8.30          
8       -703.85       -177.94       503.59        768.50        7.72          
9       -788.66       -178.10       250.38        768.50        7.90          
10      -536.55       -131.37       393.76        768.50        7.74          
11      -847.82       -121.79       340.80        768.50        8.00          
12      -580.55       -108.13       360.96        768.50        7.77          
13      -640.08       -88.01        518.15        768.50        7.77          
14      -734.77       -85.99        431.03        768.50        7.70          
15      -784.69       -83.30        487.81        768.50        7.78          
16      -1028.65      -54.87        647.95        768.50        7.94          
17      -446.87       -22.63        645.07        768.50        7.69          
18      -383.74       -11.62        658.42        768.50        7.55          
19      -416.13       34.68         498.19        768.50        7.86          
20      -386.42       24.39         642.40        768.50        7.75          
21      -672.85       47.97         828.21        838.36        7.80          
22      -406.63       67.64         649.20        838.36        8.50          
23      -459.33       50.44         716.66        838.36        7.77          
24      -454.24       86.58         719.22        838.36        7.56          
25      -777.89       128.02        665.98        838.36        7.56          
26      -607.23       115.63        745.83        838.36        7.68          
27      -780.08       159.86        840.53        838.36        7.52          
28      -929.05       120.66        690.81        838.36        7.83          
29      -483.55       155.45        838.96        838.36        7.47          
30      -687.14       160.72        803.61        838.36        7.73          
31      -532.86       188.35        892.18        838.36        7.48          
32      -419.07       233.40        994.56        838.36        7.41          
33      -347.50       272.03        998.21        1009.49       7.73          
34      -473.26       275.97        1032.87       1012.32       7.43          
35      -442.70       272.73        851.66        1012.32       7.78          
36      -465.43       290.41        1030.93       1012.32       7.18          
37      -398.54       300.60        1194.26       1012.32       7.50          
38      -422.10       308.25        989.69        1012.32       7.44          
39      -397.84       337.58        1047.99       1012.32       7.64          
40      -542.09       401.63        1095.42       1146.19       7.46          
41      -967.25       407.25        1681.47       1146.19       7.83          
42      -435.42       420.20        1066.45       1146.19       7.56          
43      -410.75       434.13        1183.96       1156.96       7.61          
44      -781.28       479.11        1149.68       1156.96       7.42          
45      -838.59       453.81        1222.62       1156.96       7.41          
