experiment_id: 5
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	number_of_sensors: 4
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 50
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: True
	alpha: 0.1
elapsed_time: 9070.902942419052

Genome Size: 3150
Free Parameters: {'V': 500, 'W': 2500, 'T': 100, 'x_0': 50}
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -466.67       -128.67       166.67        -36.00        3.07          
1       -133.33       52.67         333.33        10.00         3.14          
2       -466.67       -47.17        333.33        10.00         3.19          
3       -600.00       -131.00       333.33        10.00         3.17          
4       -533.33       20.83         333.33        10.00         3.22          
5       -466.67       14.00         666.67        10.00         3.47          
6       -700.00       -115.00       333.33        10.00         3.29          
7       -466.67       20.50         333.33        10.00         3.25          
8       -466.67       -120.83       0.00          10.00         3.33          
9       -233.33       21.67         166.67        10.00         3.32          
10      -533.33       -54.67        166.67        10.00         3.32          
11      -233.33       82.50         666.67        10.00         3.29          
12      -233.33       196.17        833.33        10.00         3.31          
13      -300.00       105.50        500.00        22.00         3.31          
14      -300.00       5.17          333.33        22.00         3.40          
15      -466.67       -102.00       166.67        22.00         3.39          
16      -466.67       -36.17        500.00        22.00         3.29          
17      -466.67       49.33         333.33        22.00         3.34          
18      -466.67       -14.83        166.67        22.00         3.49          
19      -466.67       -64.17        166.67        22.00         3.55          
20      -233.33       28.83         333.33        22.00         3.48          
21      -233.33       47.67         166.67        22.00         3.53          
22      -933.33       -223.50       333.33        22.00         3.41          
23      -533.33       60.17         500.00        22.00         3.40          
24      100.00        244.67        500.00        22.00         3.34          
25      -933.33       -53.67        333.33        22.00         3.43          
26      -233.33       283.50        500.00        22.00         3.36          
27      -700.00       -77.17        166.67        22.00         3.43          
28      -466.67       -14.67        166.67        22.00         3.42          
29      -300.00       -2.33         166.67        22.00         3.44          
30      -700.00       -34.50        333.33        22.00         3.52          
31      -300.00       30.33         166.67        22.00         3.54          
32      -466.67       -126.00       166.67        22.00         3.53          
33      -233.33       -22.50        166.67        22.00         3.54          
34      -466.67       -71.83        266.67        22.00         3.70          
35      -466.67       -109.83       500.00        22.00         3.70          
36      -466.67       -11.67        166.67        22.00         3.69          
37      -533.33       -116.17       333.33        22.00         3.68          
38      -466.67       -173.00       0.00          22.00         3.67          
39      -466.67       167.50        833.33        22.00         3.63          
40      -466.67       -157.33       166.67        22.00         3.50          
41      -466.67       -124.33       166.67        32.00         3.53          
42      -466.67       -121.33       166.67        32.00         3.43          
43      -466.67       -47.33        166.67        32.00         3.50          
44      -300.00       -59.83        333.33        32.00         3.59          
45      -466.67       -57.00        166.67        32.00         3.59          
46      -466.67       -80.67        166.67        32.00         3.63          
47      -233.33       0.83          166.67        32.00         3.66          
48      -233.33       63.17         500.00        32.00         3.69          
49      -366.67       145.50        500.00        32.00         3.68          
50      -466.67       -69.00        500.00        32.00         3.68          
51      -700.00       -164.33       0.00          32.00         3.70          
52      -766.67       -250.00       166.67        32.00         3.69          
53      -533.33       -18.50        333.33        32.00         3.74          
54      -233.33       3.17          166.67        32.00         3.56          
55      -466.67       -108.33       166.67        32.00         3.52          
56      -700.00       -234.33       166.67        32.00         3.63          
57      -233.33       -24.17        266.67        32.00         3.72          
58      -233.33       -3.83         0.00          32.00         3.69          
59      -300.00       -40.50        333.33        32.00         3.68          
60      -300.00       26.83         333.33        32.00         3.71          
61      -466.67       134.33        333.33        32.00         3.62          
62      -233.33       11.00         333.33        32.00         3.65          
63      -466.67       -62.83        166.67        32.00         3.52          
64      -466.67       -27.17        500.00        32.00         3.54          
65      0.00          124.17        500.00        64.00         3.45          
66      -300.00       180.00        500.00        64.00         3.47          
67      -466.67       -186.17       0.00          64.00         3.46          
68      -466.67       -89.17        166.67        64.00         3.49          
69      -466.67       49.00         333.33        64.00         3.53          
70      -700.00       -107.33       333.33        64.00         3.54          
71      -466.67       60.50         333.33        64.00         3.51          
72      -466.67       -96.50        166.67        64.00         3.53          
73      -466.67       65.00         333.33        64.00         3.76          
74      -466.67       -179.17       166.67        64.00         3.73          
75      -233.33       108.33        666.67        64.00         3.74          
76      -233.33       42.83         333.33        64.00         3.73          
77      -233.33       50.50         333.33        64.00         3.74          
78      -300.00       47.00         333.33        64.00         3.72          
79      -466.67       -138.67       333.33        64.00         3.71          
80      -466.67       111.17        500.00        64.00         3.75          
81      -533.33       -2.17         166.67        64.00         3.74          
82      -233.33       9.50          166.67        64.00         3.80          
83      0.00          130.83        333.33        64.00         3.58          
84      -700.00       -162.50       433.33        64.00         3.70          
85      -300.00       -22.33        333.33        64.00         3.56          
86      -466.67       0.50          166.67        64.00         3.70          
87      -533.33       -131.83       333.33        64.00         3.79          
88      -700.00       -181.50       0.00          64.00         3.80          
89      -466.67       20.50         333.33        64.00         3.84          
90      -300.00       30.00         333.33        64.00         3.56          
91      -466.67       92.00         500.00        64.00         3.55          
92      -233.33       9.33          333.33        64.00         3.54          
93      -700.00       -144.67       333.33        64.00         3.77          
94      0.00          116.00        333.33        64.00         3.75          
95      -66.67        95.50         333.33        64.00         3.72          
96      -233.33       332.83        666.67        64.00         3.72          
97      -700.00       -335.83       166.67        64.00         3.73          
98      -700.00       -36.50        333.33        64.00         3.71          
99      -766.67       -264.33       666.67        64.00         3.71          
100     -466.67       -2.33         500.00        64.00         3.72          
101     -233.33       53.83         166.67        64.00         3.72          
102     -700.00       -84.33        166.67        64.00         3.77          
103     -233.33       14.17         166.67        64.00         3.84          
104     -466.67       26.67         166.67        64.00         3.72          
105     -233.33       40.83         166.67        64.00         3.74          
106     -466.67       44.00         333.33        64.00         3.71          
107     -233.33       4.33          333.33        64.00         3.73          
108     -466.67       23.83         333.33        64.00         3.74          
109     -233.33       -4.00         333.33        64.00         3.73          
110     -233.33       -15.67        166.67        64.00         3.71          
111     -233.33       -48.50        333.33        64.00         3.55          
112     -466.67       -34.50        500.00        64.00         3.53          
113     -700.00       -140.33       333.33        64.00         3.57          
114     -466.67       -111.83       333.33        64.00         3.55          
115     -466.67       -79.67        333.33        64.00         3.65          
116     -233.33       -35.17        166.67        64.00         3.49          
117     -466.67       -94.17        333.33        64.00         3.50          
118     -466.67       62.33         433.33        64.00         3.53          
119     -300.00       75.67         333.33        64.00         3.60          
120     -533.33       -301.33       100.00        64.00         3.61          
121     -933.33       -84.83        500.00        64.00         3.53          
122     -466.67       -36.50        333.33        64.00         3.62          
123     -700.00       -51.33        0.00          64.00         3.68          
124     -533.33       118.50        500.00        64.00         3.52          
125     -466.67       -155.00       166.67        64.00         3.53          
126     -233.33       -19.67        166.67        64.00         3.68          
127     -66.67        4.33          166.67        64.00         3.61          
128     -466.67       -68.83        0.00          64.00         3.67          
129     -466.67       -8.00         166.67        64.00         3.68          
130     -766.67       -140.33       500.00        64.00         3.77          
131     -233.33       -9.83         166.67        64.00         3.72          
132     -533.33       -0.00         333.33        64.00         3.73          
133     -66.67        228.00        833.33        64.00         3.72          
134     -466.67       -127.17       166.67        64.00         3.57          
135     -300.00       61.83         166.67        64.00         3.58          
136     -233.33       143.67        500.00        64.00         3.55          
137     -466.67       -120.83       166.67        64.00         3.52          
138     -233.33       24.33         333.33        64.00         3.55          
139     -533.33       -12.17        333.33        64.00         3.72          
140     -700.00       -72.50        333.33        64.00         3.77          
141     -466.67       -98.50        166.67        64.00         3.56          
142     -466.67       -172.00       600.00        64.00         3.53          
143     -933.33       -338.83       0.00          64.00         3.47          
144     -233.33       -1.33         333.33        64.00         3.43          
145     -300.00       50.67         333.33        64.00         3.51          
146     -533.33       -6.83         333.33        64.00         3.61          
147     -700.00       -64.00        333.33        64.00         3.51          
148     -533.33       -89.00        166.67        64.00         3.52          
149     0.00          285.50        500.00        64.00         3.52          
150     -700.00       -133.67       500.00        64.00         3.62          
151     -300.00       8.83          500.00        64.00         3.65          
152     -233.33       114.17        666.67        64.00         3.68          
153     -233.33       64.83         500.00        64.00         3.70          
154     -233.33       -9.33         0.00          64.00         3.54          
155     -466.67       -113.17       333.33        64.00         3.57          
156     -466.67       63.83         500.00        64.00         3.69          
157     -233.33       135.33        333.33        64.00         3.78          
158     -233.33       159.50        500.00        64.00         3.81          
159     -466.67       5.67          166.67        64.00         3.73          
160     -233.33       -25.50        166.67        64.00         3.67          
161     -466.67       -292.17       100.00        64.00         3.67          
162     -466.67       4.00          333.33        64.00         3.61          
163     -300.00       0.67          333.33        64.00         3.73          
164     -533.33       -113.00       500.00        64.00         3.63          
165     -533.33       -105.17       166.67        64.00         3.81          
166     -933.33       18.33         766.67        64.00         3.87          
167     -700.00       -83.17        333.33        64.00         3.87          
168     -466.67       -192.00       0.00          64.00         3.99          
169     -300.00       120.17        333.33        64.00         3.82          
170     -700.00       -114.50       333.33        64.00         3.58          
171     -233.33       102.83        333.33        64.00         3.82          
172     -466.67       6.33          500.00        64.00         3.86          
173     -533.33       140.50        500.00        64.00         3.85          
174     -233.33       23.00         333.33        64.00         3.86          
175     -533.33       107.33        666.67        64.00         3.86          
176     -700.00       20.33         500.00        64.00         3.86          
177     -466.67       -168.83       333.33        64.00         3.88          
178     0.00          183.33        500.00        70.00         3.61          
179     -466.67       29.33         333.33        70.00         3.59          
180     -300.00       5.00          333.33        70.00         3.71          
181     -700.00       -194.50       166.67        70.00         3.69          
182     -233.33       139.83        333.33        70.00         3.73          
183     -233.33       -1.17         0.00          70.00         3.72          
184     -300.00       99.50         333.33        70.00         3.71          
185     -233.33       15.67         333.33        70.00         3.75          
186     -533.33       49.67         166.67        70.00         3.75          
187     -233.33       -0.33         333.33        70.00         3.72          
188     -233.33       -7.83         166.67        70.00         3.60          
189     -300.00       36.17         500.00        70.00         3.75          
190     -700.00       -24.67        333.33        70.00         3.76          
191     -466.67       -65.50        333.33        70.00         3.79          
192     -466.67       -25.50        333.33        70.00         3.78          
193     -233.33       91.00         500.00        70.00         3.79          
194     -466.67       -71.17        0.00          70.00         3.75          
195     -466.67       -16.50        166.67        70.00         3.79          
196     -233.33       10.00         166.67        70.00         3.68          
197     0.00          105.50        500.00        70.00         3.47          
198     -833.33       -6.67         333.33        70.00         3.53          
199     -700.00       -140.17       166.67        70.00         3.71          
200     -233.33       -93.67        166.67        70.00         3.62          
201     -700.00       -58.00        333.33        70.00         3.67          
202     -466.67       -21.33        333.33        70.00         3.73          
203     -233.33       74.67         166.67        70.00         3.83          
204     -233.33       46.50         333.33        70.00         3.68          
