experiment_id: 5
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	number_of_sensors: 4
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 5
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: True
elapsed_time: 2740.204482793808

Genome Size: 90
Free Parameters: {'V': 50, 'W': 25, 'T': 10, 'x_0': 5}
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -233.33       6.00          166.67        -32.00        1.11          
1       -700.00       -84.83        166.67        -22.00        1.14          
2       -466.67       -99.00        333.33        -22.00        1.07          
3       -533.33       -84.50        500.00        -2.00         1.09          
4       -700.00       -96.83        333.33        -2.00         1.09          
5       -233.33       30.00         333.33        -2.00         1.11          
6       -66.67        37.17         333.33        -2.00         1.11          
7       -466.67       -23.33        0.00          -2.00         1.07          
8       -466.67       -3.33         166.67        -2.00         1.16          
9       -233.33       1.33          166.67        -2.00         1.08          
10      -233.33       -21.50        333.33        -2.00         1.10          
11      -233.33       11.00         166.67        -2.00         1.08          
12      -233.33       9.83          333.33        -2.00         1.12          
13      -233.33       -1.17         0.00          -2.00         1.09          
14      -66.67        1.33          166.67        -2.00         1.07          
15      -233.33       4.83          166.67        -2.00         1.16          
16      -466.67       -178.50       100.00        -2.00         1.14          
17      -233.33       24.67         166.67        -2.00         1.10          
18      -233.33       4.17          166.67        -2.00         1.10          
19      -466.67       -83.67        166.67        -2.00         1.10          
20      -466.67       -31.17        166.67        -2.00         1.09          
21      -233.33       -10.50        0.00          -2.00         1.06          
22      -233.33       43.83         333.33        -2.00         1.06          
23      -466.67       -21.83        333.33        -2.00         1.11          
24      -466.67       -103.83       0.00          -2.00         1.13          
25      -466.67       -30.33        0.00          -2.00         1.17          
26      -466.67       -51.33        0.00          -2.00         1.12          
27      -466.67       -153.17       100.00        -2.00         1.09          
28      0.00          0.00          0.00          -2.00         1.09          
29      -466.67       -47.17        333.33        -2.00         1.04          
30      -466.67       -214.67       -66.67        -2.00         1.06          
31      -466.67       -40.00        166.67        -2.00         1.06          
32      -233.33       72.17         166.67        -2.00         1.06          
33      0.00          0.00          0.00          -2.00         1.07          
34      -233.33       11.83         166.67        -2.00         1.10          
35      0.00          0.00          0.00          -2.00         1.06          
36      0.00          58.33         500.00        6.00          1.10          
37      -233.33       24.83         333.33        6.00          1.07          
38      -300.00       5.00          333.33        6.00          1.06          
39      -700.00       -108.83       0.00          6.00          1.11          
40      -700.00       -61.50        166.67        6.00          1.08          
41      -600.00       67.67         833.33        14.00         1.05          
42      -233.33       1.50          166.67        14.00         1.08          
43      -700.00       -255.50       -66.67        14.00         1.09          
44      -233.33       117.83        500.00        14.00         1.08          
45      -1166.67      -137.17       0.00          14.00         1.09          
46      0.00          1.67          166.67        14.00         1.09          
47      -466.67       -79.33        0.00          14.00         1.09          
48      -233.33       2.33          333.33        14.00         1.08          
49      -466.67       -26.83        333.33        14.00         1.12          
50      -700.00       -66.33        166.67        14.00         1.12          
51      -300.00       -78.83        0.00          14.00         1.05          
52      -533.33       -118.50       333.33        14.00         1.12          
53      -700.00       -182.17       166.67        14.00         1.08          
54      -466.67       -13.67        166.67        14.00         1.13          
55      -466.67       -36.50        500.00        14.00         1.05          
56      -233.33       -2.83         166.67        14.00         1.10          
57      -300.00       61.50         500.00        14.00         1.10          
58      -533.33       33.00         833.33        14.00         1.10          
59      -466.67       -72.50        166.67        14.00         1.07          
60      -533.33       -25.83        0.00          14.00         1.11          
61      -700.00       -104.50       166.67        14.00         1.10          
62      -233.33       -104.50       0.00          14.00         1.05          
63      -466.67       -11.17        333.33        14.00         1.12          
64      -233.33       -1.67         166.67        14.00         1.06          
65      -466.67       -68.83        166.67        14.00         1.08          
66      -466.67       -46.67        166.67        14.00         1.12          
67      -66.67        54.17         500.00        14.00         1.14          
68      -466.67       33.67         166.67        14.00         1.10          
69      -233.33       1.50          166.67        14.00         1.11          
70      -233.33       37.00         333.33        14.00         1.11          
71      -233.33       4.67          166.67        14.00         1.09          
72      -700.00       -187.50       166.67        14.00         1.11          
73      -933.33       -24.17        666.67        14.00         1.08          
74      -233.33       2.00          333.33        14.00         1.12          
75      -700.00       70.00         500.00        14.00         1.09          
76      -300.00       -20.83        166.67        14.00         1.11          
77      -233.33       13.83         166.67        14.00         1.13          
78      -133.33       12.00         333.33        14.00         1.10          
79      -533.33       -22.17        166.67        14.00         1.13          
80      -700.00       10.00         166.67        14.00         1.10          
81      -233.33       -29.67        333.33        14.00         1.07          
82      -233.33       54.33         500.00        14.00         1.13          
83      -233.33       29.33         333.33        14.00         1.09          
84      -233.33       -23.17        166.67        14.00         1.08          
85      -700.00       -187.67       0.00          14.00         1.09          
86      -233.33       -13.17        333.33        14.00         1.07          
87      -533.33       -12.50        333.33        16.00         1.11          
88      -466.67       14.00         333.33        16.00         1.10          
89      -1166.67      -190.50       333.33        16.00         1.07          
90      -466.67       40.33         500.00        16.00         1.12          
91      -233.33       0.33          666.67        16.00         1.06          
92      -766.67       -17.33        333.33        16.00         1.05          
93      -466.67       -108.67       166.67        16.00         1.09          
94      -1766.67      -205.83       333.33        16.00         1.09          
95      -933.33       65.00         333.33        16.00         1.08          
96      -466.67       -38.50        333.33        20.00         1.08          
97      -233.33       52.50         500.00        20.00         1.09          
98      -533.33       -59.17        166.67        20.00         1.08          
99      -700.00       -97.00        333.33        20.00         1.10          
100     -66.67        55.50         666.67        20.00         1.10          
101     -233.33       1.33          166.67        20.00         1.07          
102     -466.67       -117.67       100.00        20.00         1.10          
103     -700.00       -2.67         433.33        20.00         1.11          
104     -300.00       115.67        500.00        20.00         1.09          
105     -466.67       -180.83       266.67        20.00         1.10          
106     -466.67       49.00         333.33        20.00         1.08          
107     -233.33       25.83         333.33        20.00         1.09          
108     -233.33       28.67         166.67        26.00         1.08          
109     -466.67       -14.17        166.67        26.00         1.08          
110     -933.33       -252.83       333.33        26.00         1.07          
111     -466.67       -2.67         500.00        26.00         1.08          
112     -466.67       -33.33        333.33        26.00         1.13          
113     -700.00       47.83         333.33        26.00         1.12          
114     -766.67       -81.33        166.67        26.00         1.13          
115     -300.00       18.17         166.67        26.00         1.12          
116     -466.67       -31.33        166.67        26.00         1.12          
117     -533.33       95.50         500.00        26.00         1.06          
118     -466.67       -174.33       166.67        26.00         1.11          
119     -700.00       4.33          333.33        26.00         1.07          
120     -233.33       -58.50        0.00          26.00         1.09          
121     -466.67       45.00         500.00        26.00         1.07          
122     -933.33       -18.50        166.67        26.00         1.15          
123     -300.00       -4.67         333.33        26.00         1.07          
124     -366.67       54.00         600.00        26.00         1.09          
125     -533.33       16.00         333.33        26.00         1.09          
126     -233.33       10.67         500.00        26.00         1.09          
127     -700.00       -9.33         500.00        26.00         1.11          
128     -466.67       -138.83       166.67        26.00         1.06          
129     -466.67       39.50         433.33        26.00         1.10          
130     -466.67       -37.67        333.33        26.00         1.12          
131     -466.67       22.83         333.33        26.00         1.10          
132     -1166.67      -126.83       166.67        26.00         1.09          
133     -933.33       -75.50        166.67        26.00         1.10          
134     -700.00       -26.17        166.67        26.00         1.09          
135     -466.67       29.33         166.67        26.00         1.07          
136     -466.67       -5.00         333.33        26.00         1.09          
137     -300.00       -9.67         166.67        26.00         1.07          
138     -700.00       -56.33        166.67        26.00         1.10          
139     -466.67       24.67         333.33        26.00         1.10          
140     -300.00       133.33        500.00        26.00         1.07          
141     -600.00       90.17         500.00        26.00         1.10          
142     -766.67       81.00         500.00        30.00         1.07          
143     -466.67       -18.17        333.33        30.00         1.11          
144     -466.67       104.00        500.00        30.00         1.11          
145     -466.67       91.83         666.67        30.00         1.10          
146     -700.00       -93.00        333.33        30.00         1.11          
147     -233.33       93.50         666.67        30.00         1.09          
148     -233.33       12.67         433.33        30.00         1.11          
149     -533.33       -42.17        666.67        30.00         1.12          
150     -1166.67      -386.33       333.33        30.00         1.06          
151     -533.33       -227.17       100.00        30.00         1.10          
152     -533.33       144.50        500.00        30.00         1.11          
153     -466.67       -78.17        333.33        30.00         1.06          
154     -533.33       -26.67        333.33        30.00         1.13          
155     -233.33       -8.00         166.67        30.00         1.09          
156     -700.00       -41.67        166.67        30.00         1.09          
157     -233.33       11.33         333.33        54.00         1.09          
158     -300.00       -67.00        166.67        92.00         1.12          
159     -233.33       3.33          166.67        92.00         1.08          
160     -233.33       -103.17       166.67        92.00         1.09          
161     -700.00       -120.83       833.33        92.00         1.13          
162     -533.33       36.17         166.67        92.00         1.11          
163     -233.33       -6.83         333.33        92.00         1.10          
164     -466.67       -41.00        166.67        92.00         1.10          
165     -700.00       -93.50        666.67        92.00         1.08          
166     -233.33       53.17         333.33        92.00         1.08          
167     -700.00       -252.67       166.67        92.00         1.11          
168     -466.67       -2.67         166.67        92.00         1.08          
169     -466.67       -29.17        333.33        92.00         1.09          
170     -766.67       -170.33       266.67        92.00         1.09          
171     -700.00       2.67          333.33        92.00         1.10          
172     -933.33       -9.83         500.00        92.00         1.08          
173     -300.00       -92.00        166.67        92.00         1.09          
174     -466.67       17.33         433.33        92.00         1.10          
175     -766.67       62.50         333.33        92.00         1.08          
176     -233.33       15.33         333.33        92.00         1.09          
177     -466.67       -50.17        0.00          92.00         1.11          
178     -300.00       -54.67        166.67        92.00         1.11          
179     -700.00       -193.17       166.67        92.00         1.09          
180     -466.67       19.83         333.33        92.00         1.07          
181     -300.00       23.67         333.33        92.00         1.07          
182     -466.67       -20.17        333.33        92.00         1.13          
183     -766.67       -71.67        333.33        92.00         1.09          
184     -366.67       86.00         500.00        92.00         1.07          
185     -833.33       69.50         500.00        92.00         1.07          
186     -700.00       -200.33       433.33        92.00         1.10          
187     -533.33       -104.33       333.33        92.00         1.12          
188     -700.00       80.67         500.00        92.00         1.07          
189     -233.33       3.50          500.00        92.00         1.08          
190     -1000.00      -101.50       166.67        92.00         1.06          
191     -233.33       9.83          333.33        92.00         1.10          
192     -766.67       1.17          333.33        92.00         1.12          
193     -466.67       46.50         500.00        94.00         1.12          
194     -466.67       -79.50        333.33        94.00         1.12          
195     -1233.33      -115.33       433.33        94.00         1.10          
196     -466.67       -27.33        500.00        94.00         1.11          
197     -466.67       -112.50       166.67        94.00         1.07          
198     -300.00       29.83         666.67        94.00         1.06          
199     -466.67       -140.00       333.33        94.00         1.09          
200     -533.33       93.17         500.00        94.00         1.08          
201     -466.67       -118.17       166.67        94.00         1.10          
202     -600.00       -13.67        500.00        94.00         1.12          
203     -700.00       -86.50        166.67        94.00         1.12          
204     -233.33       -5.83         333.33        94.00         1.10          
205     -533.33       42.33         500.00        94.00         1.07          
206     -300.00       100.17        333.33        94.00         1.10          
207     -766.67       -23.67        666.67        94.00         1.14          
208     -233.33       17.33         333.33        94.00         1.08          
209     -466.67       31.50         333.33        94.00         1.11          
210     -700.00       -251.67       100.00        94.00         1.08          
211     -466.67       66.67         333.33        94.00         1.10          
212     -700.00       5.33          333.33        94.00         1.05          
213     -700.00       -49.33        166.67        94.00         1.09          
214     -233.33       33.33         500.00        94.00         1.09          
215     -466.67       -15.83        500.00        94.00         1.14          
216     0.00          11.67         333.33        94.00         1.09          
217     -700.00       -52.83        166.67        94.00         1.14          
218     -300.00       2.50          333.33        94.00         1.08          
219     -533.33       64.50         500.00        94.00         1.09          
220     -533.33       -105.33       333.33        94.00         1.09          
221     -300.00       55.33         500.00        94.00         1.07          
222     -700.00       -0.33         500.00        94.00         1.10          
223     -766.67       -77.83        333.33        94.00         1.10          
224     -1166.67      -268.50       333.33        94.00         1.11          
225     -233.33       18.17         333.33        94.00         1.10          
226     -233.33       -9.50         166.67        94.00         1.09          
227     -300.00       68.67         833.33        94.00         1.10          
228     -1000.00      -167.83       166.67        94.00         1.11          
229     -1000.00      -262.50       166.67        94.00         1.11          
230     -1166.67      -197.67       333.33        94.00         1.09          
231     -533.33       33.00         833.33        94.00         1.11          
232     -700.00       -19.50        333.33        94.00         1.08          
233     -233.33       -12.17        333.33        94.00         1.14          
234     -300.00       50.50         600.00        94.00         1.11          
235     -700.00       40.17         1033.33       94.00         1.09          
236     -933.33       -20.17        433.33        94.00         1.10          
237     -700.00       -87.00        166.67        94.00         1.13          
238     -700.00       2.33          333.33        94.00         1.13          
239     -466.67       26.83         500.00        94.00         1.12          
240     -700.00       -42.67        333.33        94.00         1.07          
241     -1000.00      -184.50       666.67        94.00         1.11          
242     -700.00       -34.83        166.67        94.00         1.07          
243     -700.00       -58.83        166.67        94.00         1.11          
244     -766.67       -57.33        333.33        94.00         1.13          
245     0.00          164.17        500.00        94.00         1.12          
246     -700.00       -21.17        333.33        94.00         1.15          
247     -466.67       136.00        500.00        94.00         1.11          
248     -466.67       5.33          433.33        94.00         1.10          
249     -466.67       -27.67        166.67        94.00         1.08          
250     -466.67       -122.50       0.00          94.00         1.10          
251     -700.00       -29.50        333.33        94.00         1.09          
252     -466.67       31.00         500.00        94.00         1.09          
253     -466.67       154.33        666.67        94.00         1.08          
254     -466.67       49.50         333.33        94.00         1.12          
255     -933.33       -152.50       166.67        94.00         1.10          
256     -466.67       -14.00        0.00          94.00         1.11          
257     -233.33       72.50         666.67        94.00         1.08          
258     -233.33       83.67         500.00        94.00         1.14          
259     -300.00       49.33         500.00        94.00         1.13          
260     -700.00       -92.50        333.33        94.00         1.14          
261     -600.00       46.17         333.33        94.00         1.09          
262     -700.00       -137.17       166.67        94.00         1.08          
263     -233.33       65.50         333.33        94.00         1.09          
264     -466.67       71.00         500.00        94.00         1.06          
265     -466.67       209.67        766.67        94.00         1.11          
266     -466.67       -30.83        166.67        94.00         1.10          
267     -700.00       -235.67       0.00          94.00         1.09          
268     -466.67       -9.67         266.67        94.00         1.06          
269     -533.33       1.50          500.00        94.00         1.10          
270     -766.67       90.33         500.00        94.00         1.10          
271     -933.33       -64.67        366.67        94.00         1.10          
272     -700.00       -28.83        500.00        94.00         1.15          
273     -233.33       49.67         833.33        104.00        1.10          
274     -833.33       -121.17       500.00        104.00        1.11          
