experiment_id: 5
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	number_of_sensors: 4
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 5
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 3.0
	set_principle_diagonal_elements_of_W_negative: True
	optimize_x0: True
elapsed_time: 2710.9669935703278

Genome Size: 90
Free Parameters: {'V': 50, 'W': 25, 'T': 10, 'x_0': 5}
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -466.67       -21.83        333.33        -46.00        1.08          
1       -466.67       16.50         333.33        -16.00        1.08          
2       -466.67       -24.00        666.67        -16.00        1.08          
3       -233.33       -47.50        333.33        -12.00        1.07          
4       -533.33       -22.83        333.33        26.00         1.08          
5       -466.67       -245.17       -66.67        26.00         1.09          
6       -466.67       -50.67        166.67        26.00         1.07          
7       -466.67       116.83        666.67        26.00         1.20          
8       -233.33       -7.33         166.67        26.00         1.15          
9       -466.67       -97.17        333.33        26.00         1.13          
10      -233.33       -42.33        333.33        26.00         1.12          
11      -233.33       5.33          333.33        26.00         1.09          
12      -600.00       88.83         333.33        26.00         1.09          
13      -233.33       -27.33        166.67        26.00         1.07          
14      -466.67       0.83          333.33        26.00         1.15          
15      -466.67       -45.17        166.67        26.00         1.11          
16      -700.00       -6.83         166.67        26.00         1.06          
17      -466.67       -23.67        166.67        26.00         1.09          
18      -766.67       63.67         333.33        26.00         1.09          
19      -466.67       -56.33        166.67        26.00         1.15          
20      -466.67       -27.67        333.33        26.00         1.26          
21      -233.33       59.33         166.67        26.00         1.10          
22      -300.00       -67.33        166.67        26.00         1.09          
23      -466.67       -65.17        166.67        26.00         1.12          
24      -466.67       -12.67        166.67        26.00         1.06          
25      -700.00       8.50          833.33        26.00         1.16          
26      -533.33       -44.50        333.33        26.00         1.07          
27      -233.33       45.33         166.67        26.00         1.18          
28      -233.33       7.17          333.33        26.00         1.19          
29      -466.67       0.67          166.67        26.00         1.06          
30      -66.67        25.50         500.00        26.00         1.09          
31      -233.33       -7.33         333.33        26.00         1.07          
32      -466.67       -63.33        333.33        26.00         1.06          
33      -700.00       -39.00        166.67        26.00         1.05          
34      -233.33       5.83          333.33        26.00         1.06          
35      -233.33       3.67          166.67        26.00         1.07          
