experiment_id: 5
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	number_of_sensors: 4
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: ELMANNN
	hidden_layer_structure: [20]
	use_bias: True
elapsed_time: 2847.5699198246

Genome Size: 660
Free Parameters: {'layer 0': {'input_weight_matrix': 200, 'hidden_weight_matrix': 400, 'bias': 20}, 'output_weight_matrix': 40}
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -66.67        124.83        666.67        -32.00        1.07          
1       -233.33       -20.67        500.00        0.00          1.06          
2       -700.00       -182.50       166.67        0.00          1.05          
3       0.00          25.00         166.67        2.00          1.34          
4       -233.33       -44.33        166.67        2.00          1.13          
5       -466.67       -57.67        333.33        2.00          1.12          
6       -233.33       86.50         333.33        2.00          1.14          
7       -700.00       -47.00        166.67        2.00          1.15          
8       -533.33       132.00        333.33        2.00          1.17          
9       -466.67       1.50          333.33        2.00          1.17          
10      -466.67       5.00          166.67        16.00         1.31          
11      -233.33       45.17         666.67        16.00         1.16          
12      -233.33       2.83          333.33        16.00         1.14          
13      -300.00       36.17         500.00        16.00         1.15          
14      -466.67       -51.67        166.67        16.00         1.17          
15      -466.67       -24.83        166.67        16.00         1.20          
16      -533.33       -25.17        166.67        42.00         1.29          
17      -933.33       -248.50       166.67        42.00         1.16          
18      -466.67       -68.67        166.67        42.00         1.10          
19      -300.00       -32.67        166.67        42.00         1.10          
20      -466.67       -62.17        500.00        42.00         1.19          
21      -533.33       -104.50       333.33        42.00         1.20          
22      -533.33       -72.50        333.33        42.00         1.13          
23      -66.67        142.67        333.33        42.00         1.23          
24      -466.67       0.50          500.00        42.00         1.14          
25      -300.00       -146.17       166.67        42.00         1.21          
26      -300.00       -23.33        333.33        42.00         1.20          
27      -766.67       -14.83        166.67        42.00         1.24          
28      -466.67       -70.83        166.67        42.00         1.18          
29      -533.33       -27.67        500.00        42.00         1.26          
30      -466.67       -52.67        333.33        42.00         1.15          
31      -466.67       80.50         500.00        42.00         1.16          
32      -533.33       -43.00        500.00        42.00         1.18          
33      -466.67       -96.33        166.67        42.00         1.19          
34      -233.33       8.17          500.00        42.00         1.15          
35      -233.33       -23.67        166.67        42.00         1.24          
36      -233.33       119.50        333.33        42.00         1.12          
37      -466.67       -142.67       166.67        42.00         1.15          
38      -700.00       -96.33        166.67        42.00         1.16          
39      -233.33       -16.67        166.67        42.00         1.24          
40      -700.00       -74.67        0.00          42.00         1.15          
41      -466.67       74.33         333.33        42.00         1.31          
42      -466.67       -186.67       166.67        42.00         1.12          
43      -233.33       -21.00        333.33        42.00         1.14          
44      -300.00       120.50        666.67        42.00         1.15          
45      -233.33       1.00          333.33        42.00         1.20          
46      0.00          11.67         333.33        42.00         1.16          
47      -700.00       101.67        600.00        42.00         1.17          
48      -533.33       -42.83        333.33        42.00         1.21          
49      -233.33       96.67         500.00        42.00         1.18          
50      -66.67        132.83        833.33        42.00         1.19          
51      -233.33       4.67          166.67        42.00         1.25          
52      -766.67       -55.83        333.33        42.00         1.20          
