experiment_id: 5
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	number_of_sensors: 4
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 50
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: False
	alpha: 0.0
elapsed_time: 4525.471306800842

Genome Size: 3100
Free Parameters: {'V': 500, 'W': 2500, 'T': 100}
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -233.33       -100.67       166.67        -26.00        1.75          
1       -233.33       30.50         500.00        -6.00         1.85          
2       -233.33       9.67          166.67        -6.00         1.85          
3       -766.67       -102.33       166.67        2.00          1.79          
4       -233.33       -10.33        166.67        2.00          1.75          
5       -233.33       -41.67        166.67        2.00          1.73          
6       -533.33       1.17          333.33        4.00          1.72          
7       -466.67       -104.67       166.67        4.00          1.75          
8       -233.33       24.67         166.67        4.00          1.80          
9       -233.33       63.50         333.33        4.00          1.76          
10      -466.67       19.50         166.67        4.00          1.72          
11      -233.33       -42.33        333.33        4.00          1.70          
12      -233.33       -26.00        166.67        4.00          1.75          
13      -466.67       -96.50        333.33        4.00          1.74          
14      -233.33       80.50         333.33        4.00          1.76          
15      0.00          138.33        333.33        4.00          1.78          
16      -466.67       -71.83        333.33        4.00          1.73          
17      -233.33       236.00        666.67        4.00          1.76          
18      -466.67       -162.83       166.67        4.00          1.76          
19      -533.33       -85.83        433.33        4.00          1.75          
20      -466.67       -57.67        166.67        4.00          1.80          
21      -466.67       -63.33        166.67        4.00          1.80          
22      -533.33       -114.67       0.00          4.00          1.81          
23      -233.33       165.83        500.00        68.00         1.76          
24      -466.67       -81.67        0.00          68.00         1.76          
25      -466.67       -65.00        333.33        68.00         1.84          
26      -233.33       21.00         333.33        68.00         1.82          
27      -700.00       -129.50       0.00          68.00         1.81          
28      -233.33       8.50          166.67        68.00         1.83          
29      -466.67       -116.00       166.67        68.00         1.85          
30      -466.67       -84.67        333.33        68.00         1.84          
31      -466.67       1.00          166.67        68.00         1.83          
32      -233.33       -4.00         166.67        68.00         1.80          
33      -466.67       -135.17       166.67        68.00         1.78          
34      -233.33       13.67         166.67        68.00         1.84          
35      -466.67       -66.17        166.67        68.00         1.81          
36      -233.33       60.33         333.33        68.00         1.85          
37      -233.33       111.50        666.67        68.00         1.88          
38      -233.33       106.83        333.33        68.00         1.81          
39      0.00          65.83         333.33        68.00         1.78          
40      -233.33       125.17        666.67        68.00         1.82          
41      -233.33       4.67          333.33        68.00         1.78          
42      -233.33       70.67         500.00        68.00         1.83          
43      -466.67       0.33          333.33        68.00         1.79          
44      -233.33       -84.67        166.67        68.00         1.80          
45      -300.00       -57.50        166.67        68.00         1.78          
46      -466.67       -93.17        333.33        68.00         1.80          
47      -933.33       -155.33       166.67        68.00         1.82          
48      -233.33       17.17         333.33        68.00         1.89          
49      -533.33       5.83          166.67        68.00         1.78          
50      -66.67        16.00         166.67        68.00         1.79          
51      -700.00       -34.17        333.33        68.00         1.79          
52      -466.67       -26.67        166.67        68.00         1.77          
53      -933.33       -51.33        0.00          68.00         1.80          
54      -233.33       124.50        500.00        68.00         1.78          
55      -300.00       -78.50        166.67        68.00         1.78          
56      -700.00       -110.50       166.67        68.00         1.80          
57      -466.67       -145.67       0.00          68.00         1.83          
58      -233.33       6.83          166.67        68.00         1.78          
59      -933.33       -77.67        333.33        68.00         1.79          
60      -66.67        20.17         166.67        68.00         1.80          
61      -466.67       -52.17        166.67        68.00         1.85          
62      -233.33       -7.33         333.33        68.00         1.87          
63      -233.33       21.00         166.67        68.00         1.81          
64      -233.33       88.50         333.33        68.00         1.79          
65      -700.00       -63.83        500.00        68.00         1.79          
66      -933.33       -338.17       166.67        68.00         1.77          
67      -233.33       196.67        500.00        68.00         1.79          
68      -466.67       -96.17        166.67        68.00         1.86          
69      -466.67       -76.00        166.67        68.00         1.86          
70      -233.33       125.17        333.33        68.00         1.86          
71      -233.33       -16.17        166.67        68.00         1.84          
72      -300.00       -34.17        166.67        68.00         1.87          
73      -466.67       -100.83       166.67        68.00         1.82          
74      -66.67        157.00        333.33        68.00         1.82          
75      -466.67       -76.50        166.67        68.00         1.80          
76      -466.67       -88.67        0.00          68.00         1.85          
77      -233.33       38.83         333.33        68.00         1.83          
78      -466.67       -102.67       0.00          68.00         1.82          
79      -466.67       -71.83        333.33        68.00         1.81          
80      -233.33       73.50         333.33        68.00         1.81          
81      -933.33       -233.33       0.00          68.00         1.83          
82      -700.00       -152.17       166.67        68.00         1.84          
83      -700.00       -182.83       333.33        68.00         1.84          
84      -233.33       -93.17        333.33        68.00         1.79          
85      -700.00       -46.17        333.33        68.00         1.83          
86      -233.33       78.00         333.33        68.00         1.79          
87      -233.33       58.67         333.33        68.00         1.79          
88      -466.67       -35.50        333.33        68.00         1.78          
89      -466.67       25.50         333.33        68.00         1.76          
90      -466.67       -127.33       166.67        68.00         1.79          
91      -466.67       -196.83       0.00          68.00         1.79          
92      0.00          85.00         333.33        68.00         1.79          
93      -766.67       -15.67        166.67        68.00         1.77          
94      -300.00       146.67        333.33        68.00         1.86          
95      -233.33       74.67         333.33        68.00         1.80          
96      -233.33       34.67         166.67        68.00         1.86          
97      -533.33       -73.33        266.67        68.00         1.81          
98      -300.00       -10.33        333.33        68.00         1.82          
99      0.00          246.83        666.67        68.00         1.83          
100     -233.33       47.50         666.67        68.00         1.79          
101     -466.67       -113.17       0.00          68.00         1.77          
102     -233.33       -7.67         166.67        68.00         1.77          
103     -233.33       136.00        333.33        68.00         1.78          
104     -233.33       -51.00        166.67        68.00         1.75          
105     -466.67       -24.33        166.67        68.00         1.77          
106     -233.33       5.33          166.67        68.00         1.79          
107     -466.67       -81.17        166.67        68.00         1.77          
108     -233.33       95.33         333.33        68.00         1.80          
109     -466.67       -108.00       166.67        68.00         1.78          
110     -466.67       -119.67       166.67        68.00         1.79          
111     -466.67       -75.33        333.33        68.00         1.79          
112     -233.33       67.50         333.33        68.00         1.80          
113     -233.33       55.17         500.00        68.00         1.80          
114     0.00          169.17        500.00        68.00         1.81          
115     -233.33       36.67         333.33        68.00         1.79          
116     -233.33       27.00         166.67        68.00         1.80          
117     -66.67        8.67          333.33        68.00         1.79          
118     -233.33       21.00         333.33        68.00         1.76          
119     -233.33       94.00         666.67        68.00         1.78          
120     -466.67       -47.83        666.67        68.00         1.79          
121     -466.67       -48.33        166.67        68.00         1.77          
122     -66.67        13.83         500.00        68.00         1.83          
123     -466.67       -38.00        166.67        68.00         1.78          
124     -466.67       22.50         166.67        68.00         1.78          
125     -533.33       -99.17        166.67        68.00         1.76          
126     -300.00       83.50         500.00        68.00         1.78          
127     -233.33       -4.17         166.67        68.00         1.80          
128     -466.67       -51.00        166.67        68.00         1.80          
129     -466.67       -37.17        166.67        68.00         1.80          
130     -700.00       -98.67        166.67        68.00         1.78          
131     0.00          41.67         333.33        68.00         1.88          
132     0.00          40.83         166.67        68.00         1.85          
133     -466.67       -81.33        166.67        68.00         1.84          
134     -233.33       -45.17        500.00        68.00         1.85          
135     -466.67       -0.00         333.33        68.00         1.86          
136     -300.00       -89.00        0.00          68.00         1.80          
137     0.00          52.50         500.00        68.00         1.84          
138     -300.00       19.83         333.33        68.00         1.80          
139     -233.33       35.17         500.00        68.00         1.85          
140     -466.67       -44.33        166.67        68.00         1.84          
141     -466.67       -225.67       100.00        68.00         1.81          
142     -700.00       -85.33        333.33        68.00         1.83          
143     -233.33       31.83         333.33        68.00         1.81          
144     -700.00       -64.67        333.33        68.00         1.84          
145     -233.33       117.33        333.33        68.00         1.79          
146     -700.00       -128.17       333.33        68.00         1.78          
147     -300.00       -0.67         166.67        68.00         1.81          
148     -466.67       -132.17       166.67        68.00         1.82          
149     -466.67       -92.17        0.00          68.00         1.79          
150     -233.33       137.17        500.00        68.00         1.82          
151     -466.67       -19.17        166.67        68.00         1.80          
152     -466.67       -107.33       0.00          68.00         1.80          
153     -233.33       113.83        333.33        68.00         1.89          
154     -466.67       -73.00        333.33        68.00         1.85          
155     -300.00       57.83         166.67        68.00         1.84          
156     -466.67       -19.17        166.67        68.00         1.85          
157     -466.67       -5.17         166.67        68.00         1.84          
158     -466.67       -16.50        333.33        68.00         1.85          
159     -300.00       140.83        500.00        68.00         1.75          
160     -700.00       -180.50       333.33        68.00         1.77          
161     0.00          24.17         166.67        68.00         1.77          
162     -466.67       -197.00       333.33        68.00         1.81          
163     -766.67       -66.17        166.67        68.00         1.82          
164     -466.67       76.83         500.00        68.00         1.79          
165     -233.33       162.83        500.00        68.00         1.78          
166     -700.00       57.17         333.33        68.00         1.80          
167     -233.33       86.50         500.00        68.00         1.84          
168     -466.67       -115.50       666.67        68.00         1.82          
169     -466.67       -40.83        500.00        68.00         1.80          
170     0.00          0.00          0.00          68.00         1.86          
171     -466.67       -54.83        333.33        68.00         1.84          
172     -700.00       -75.33        166.67        68.00         1.82          
173     -233.33       93.00         333.33        68.00         1.84          
174     -466.67       130.00        500.00        68.00         1.78          
175     -700.00       -122.50       0.00          68.00         1.80          
176     -233.33       81.17         333.33        68.00         1.82          
177     -700.00       -105.67       333.33        68.00         1.79          
178     -300.00       26.33         333.33        68.00         1.81          
179     -233.33       11.33         333.33        68.00         1.81          
180     -233.33       54.83         500.00        68.00         1.83          
181     -233.33       -15.50        0.00          68.00         1.81          
182     -66.67        141.00        333.33        68.00         1.81          
183     -466.67       -14.83        333.33        68.00         1.80          
184     0.00          100.17        333.33        68.00         1.78          
185     -233.33       26.00         333.33        68.00         1.81          
186     0.00          2.50          166.67        68.00         1.81          
187     -233.33       -0.33         166.67        68.00         1.80          
188     -233.33       100.83        333.33        68.00         1.82          
189     -700.00       -200.83       333.33        68.00         1.79          
190     -300.00       -41.83        166.67        68.00         1.79          
191     -466.67       -65.83        333.33        68.00         1.78          
192     -700.00       -336.00       0.00          68.00         1.77          
193     -233.33       99.67         500.00        68.00         1.79          
194     -700.00       -194.33       333.33        68.00         1.79          
