experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: InvertedPendulum-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 20
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: True
	optimize_x0: False
elapsed_time: 6944.047860145569

Genome Size: 500
Free Parameters: {'V': 80, 'W': 400, 'T': 20}
Inputs: 4
Outputs: 1

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       10.33         22.67         76.33         71.98         7.96          
1       12.00         27.59         70.33         71.98         0.63          
2       11.00         26.32         76.67         71.98         0.77          
3       11.33         25.78         56.33         71.98         0.84          
4       11.67         29.86         65.00         71.98         0.75          
5       11.00         32.69         75.33         74.70         0.75          
6       12.33         32.16         83.00         74.70         0.81          
7       13.00         37.05         78.00         74.70         0.70          
8       13.33         38.18         88.33         86.52         0.72          
9       11.67         42.20         88.33         86.52         0.68          
10      16.33         42.24         80.00         86.52         0.73          
11      14.33         48.50         98.67         86.52         0.85          
12      14.33         48.22         97.00         87.58         0.70          
13      15.33         48.91         119.33        99.22         0.73          
14      21.67         51.10         98.33         99.22         0.88          
15      20.33         52.33         90.33         99.22         0.85          
16      22.67         52.94         109.33        99.22         0.71          
17      21.33         56.08         113.00        116.42        0.77          
18      31.33         59.86         110.33        116.42        0.76          
19      23.33         57.01         138.67        116.42        0.71          
20      25.67         58.83         156.67        167.08        0.80          
21      26.67         60.18         128.67        167.08        0.74          
22      26.33         61.54         135.33        169.24        0.73          
23      27.67         62.69         247.33        247.40        0.78          
24      28.00         60.95         162.33        247.40        0.87          
25      25.33         62.05         420.67        247.40        1.00          
26      23.67         60.41         130.67        247.40        0.77          
27      29.67         62.59         126.33        247.40        0.76          
28      29.67         64.30         389.33        613.30        0.85          
29      28.00         66.15         254.67        613.30        0.77          
30      24.33         61.70         153.67        613.30        0.89          
31      29.33         63.69         200.67        613.30        0.89          
32      22.67         65.88         382.00        613.30        0.88          
33      22.67         68.02         207.00        613.30        0.75          
34      28.67         73.76         1000.00       981.14        1.22          
35      31.33         73.08         457.33        981.14        0.86          
36      22.67         77.06         713.00        981.14        0.99          
37      29.00         70.90         210.33        981.14        0.77          
38      23.00         76.46         702.00        981.14        0.89          
39      31.00         75.07         192.00        981.14        0.81          
40      23.33         73.36         242.33        981.14        0.81          
41      32.00         78.21         419.00        981.14        1.04          
42      29.67         76.91         1000.00       981.14        0.95          
43      29.67         83.28         362.00        981.14        0.80          
44      25.67         79.24         423.00        981.14        0.80          
45      26.00         88.62         583.33        981.14        0.94          
46      25.33         74.14         246.00        981.14        0.79          
47      29.00         81.36         396.00        981.14        1.14          
48      31.33         90.24         690.00        981.14        0.91          
49      22.33         95.11         1000.00       981.14        0.98          
50      27.00         85.07         1000.00       981.14        0.95          
51      26.00         95.17         1000.00       981.70        1.21          
52      26.00         90.01         1000.00       1000.00       1.07          
53      24.67         82.32         418.00        1000.00       0.89          
54      26.00         89.57         1000.00       1000.00       1.05          
55      23.33         89.96         691.33        1000.00       0.92          
56      27.00         99.86         1000.00       1000.00       1.09          
57      31.00         99.55         1000.00       1000.00       1.16          
58      21.00         101.23        1000.00       1000.00       0.99          
59      22.00         93.69         708.67        1000.00       1.00          
60      28.33         108.25        1000.00       1000.00       1.10          
61      20.33         114.73        1000.00       1000.00       1.33          
62      30.33         120.82        1000.00       1000.00       1.10          
63      29.00         124.27        1000.00       1000.00       1.16          
64      25.67         110.68        1000.00       1000.00       1.11          
65      27.67         143.89        1000.00       1000.00       1.20          
66      19.67         121.22        1000.00       1000.00       1.07          
67      24.00         126.41        1000.00       1000.00       1.23          
68      22.00         117.83        1000.00       1000.00       1.03          
69      20.33         118.88        1000.00       1000.00       1.23          
70      26.00         140.16        1000.00       1000.00       1.29          
71      24.33         108.48        694.67        1000.00       0.96          
72      24.00         112.91        1000.00       1000.00       1.17          
73      28.00         120.93        1000.00       1000.00       1.19          
74      28.33         140.95        1000.00       1000.00       1.34          
75      24.00         140.97        1000.00       1000.00       1.07          
76      16.67         137.09        1000.00       1000.00       1.12          
77      22.67         147.32        1000.00       1000.00       1.22          
78      18.33         135.26        1000.00       1000.00       1.13          
79      19.00         140.22        1000.00       1000.00       1.24          
80      20.33         138.18        1000.00       1000.00       1.17          
81      21.00         152.28        1000.00       1000.00       1.23          
82      21.33         158.99        1000.00       1000.00       1.34          
83      18.00         160.08        1000.00       1000.00       1.48          
84      19.33         185.91        1000.00       1000.00       1.26          
85      21.33         125.71        1000.00       1000.00       1.19          
86      22.00         145.60        1000.00       1000.00       1.33          
87      17.33         140.87        1000.00       1000.00       1.20          
88      18.00         149.14        1000.00       1000.00       1.26          
89      17.33         165.84        1000.00       1000.00       1.26          
90      16.67         197.64        1000.00       1000.00       1.43          
91      19.00         138.67        1000.00       1000.00       1.18          
92      21.33         179.88        1000.00       1000.00       1.30          
93      17.67         183.70        1000.00       1000.00       1.32          
94      17.00         144.91        1000.00       1000.00       1.31          
95      23.00         180.84        1000.00       1000.00       1.33          
96      16.67         143.52        1000.00       1000.00       1.23          
97      18.33         176.00        1000.00       1000.00       1.45          
98      16.00         219.21        1000.00       1000.00       1.39          
99      12.67         171.57        1000.00       1000.00       1.27          
100     14.67         180.94        1000.00       1000.00       1.27          
101     19.33         219.94        1000.00       1000.00       1.51          
102     16.00         192.50        1000.00       1000.00       1.51          
103     22.00         205.24        1000.00       1000.00       1.38          
104     17.00         224.01        1000.00       1000.00       1.66          
105     16.67         195.94        1000.00       1000.00       1.34          
106     11.33         157.18        1000.00       1000.00       1.40          
107     14.33         193.41        1000.00       1000.00       1.38          
108     10.00         179.25        1000.00       1000.00       1.29          
