experiment_id: 5
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	number_of_sensors: 4
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 5
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 1.0
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: False
	alpha: 0.0
elapsed_time: 2768.457034111023

Genome Size: 85
Free Parameters: {'V': 50, 'W': 25, 'T': 10}
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -466.67       -62.00        333.33        -50.00        1.10          
1       -366.67       -23.33        333.33        -32.00        1.08          
2       -300.00       17.67         166.67        6.00          1.13          
3       -233.33       11.67         333.33        12.00         1.08          
4       -233.33       -5.83         0.00          12.00         1.16          
5       -233.33       14.17         500.00        12.00         1.13          
6       -466.67       -28.17        166.67        12.00         1.10          
7       -533.33       -32.83        666.67        12.00         1.13          
8       -466.67       -183.83       333.33        12.00         1.07          
9       -300.00       52.33         500.00        12.00         1.10          
10      -233.33       -3.00         166.67        12.00         1.11          
11      -133.33       128.33        433.33        20.00         1.13          
12      -466.67       -64.50        333.33        20.00         1.14          
13      -700.00       -137.67       0.00          20.00         1.09          
14      -466.67       28.00         333.33        20.00         1.09          
15      -233.33       -1.17         0.00          20.00         1.13          
16      -233.33       35.00         333.33        20.00         1.11          
17      -233.33       -0.17         166.67        20.00         1.08          
18      -466.67       -141.17       0.00          20.00         1.14          
19      -233.33       -46.67        0.00          20.00         1.09          
20      -700.00       -274.83       100.00        20.00         1.11          
21      -233.33       34.00         166.67        20.00         1.12          
22      -233.33       -3.00         166.67        20.00         1.11          
23      -466.67       40.17         166.67        20.00         1.10          
24      -233.33       -17.17        166.67        20.00         1.06          
25      -233.33       -12.83        0.00          20.00         1.12          
26      -233.33       -9.00         166.67        20.00         1.15          
27      -233.33       -3.67         166.67        20.00         1.13          
28      -233.33       5.17          166.67        20.00         1.07          
29      -233.33       77.83         333.33        20.00         1.14          
30      -466.67       -57.17        333.33        20.00         1.09          
31      -466.67       -47.83        0.00          20.00         1.13          
32      -700.00       -95.50        166.67        20.00         1.10          
33      -233.33       -22.67        166.67        20.00         1.09          
34      -233.33       65.17         333.33        20.00         1.10          
35      -466.67       -20.50        166.67        20.00         1.11          
36      -466.67       -41.67        166.67        20.00         1.11          
37      -700.00       -43.00        166.67        20.00         1.09          
38      -466.67       -131.17       166.67        20.00         1.15          
39      -233.33       6.83          166.67        20.00         1.13          
40      -466.67       -72.33        333.33        20.00         1.11          
41      -466.67       -26.50        166.67        20.00         1.11          
42      -66.67        32.67         333.33        20.00         1.13          
43      -233.33       33.17         166.67        20.00         1.11          
44      0.00          2.50          166.67        20.00         1.11          
45      -66.67        33.00         166.67        20.00         1.12          
46      -233.33       19.00         333.33        20.00         1.09          
47      -466.67       -232.67       -66.67        20.00         1.11          
48      0.00          1.67          166.67        20.00         1.10          
49      -233.33       -49.67        166.67        20.00         1.08          
50      -233.33       -31.33        333.33        20.00         1.12          
51      -300.00       69.50         333.33        20.00         1.12          
52      -233.33       4.50          166.67        20.00         1.10          
53      -300.00       -11.00        166.67        20.00         1.10          
54      -466.67       -205.67       -66.67        20.00         1.09          
55      -233.33       -2.33         266.67        50.00         1.07          
56      -233.33       -21.67        333.33        50.00         1.12          
57      -233.33       20.83         500.00        50.00         1.14          
58      -466.67       -69.67        166.67        50.00         1.11          
59      -233.33       18.50         333.33        50.00         1.13          
60      -700.00       -145.50       166.67        50.00         1.09          
61      -233.33       -4.17         166.67        50.00         1.08          
62      -466.67       41.83         333.33        50.00         1.10          
63      -233.33       -13.83        166.67        50.00         1.12          
64      -466.67       14.17         333.33        50.00         1.14          
65      -233.33       10.17         333.33        50.00         1.13          
66      -233.33       48.83         333.33        50.00         1.11          
67      -466.67       -46.83        333.33        50.00         1.15          
68      -233.33       59.67         333.33        50.00         1.11          
69      -466.67       -55.50        166.67        50.00         1.14          
70      -233.33       93.17         500.00        50.00         1.11          
71      -466.67       -61.00        0.00          50.00         1.07          
72      -466.67       -53.17        0.00          50.00         1.11          
73      -233.33       -12.17        333.33        50.00         1.13          
74      -233.33       8.00          166.67        50.00         1.09          
75      -700.00       -67.67        0.00          50.00         1.09          
76      -300.00       70.50         500.00        50.00         1.15          
77      -233.33       55.17         166.67        50.00         1.15          
78      -466.67       -70.33        0.00          50.00         1.06          
79      -233.33       -82.50        100.00        50.00         1.07          
80      -700.00       -44.67        166.67        50.00         1.13          
81      -233.33       -4.83         166.67        50.00         1.09          
82      -233.33       55.50         333.33        50.00         1.10          
83      -700.00       -173.67       166.67        50.00         1.11          
84      -233.33       2.00          166.67        50.00         1.13          
85      -233.33       25.00         166.67        50.00         1.10          
86      -233.33       -11.00        333.33        50.00         1.09          
87      -466.67       24.17         333.33        50.00         1.09          
88      -533.33       19.50         500.00        50.00         1.10          
89      -466.67       -15.83        166.67        50.00         1.10          
90      -233.33       10.17         166.67        50.00         1.12          
91      -533.33       -84.00        500.00        50.00         1.13          
92      -233.33       -45.50        0.00          50.00         1.16          
93      -233.33       18.83         166.67        50.00         1.14          
94      -233.33       -8.67         166.67        50.00         1.12          
95      -233.33       -38.33        166.67        50.00         1.14          
96      -233.33       74.83         333.33        50.00         1.13          
97      -233.33       33.50         333.33        50.00         1.10          
98      -466.67       -56.67        166.67        50.00         1.10          
99      -466.67       -10.17        333.33        50.00         1.09          
100     -233.33       -5.83         166.67        50.00         1.10          
101     -233.33       48.83         666.67        50.00         1.15          
102     -466.67       -43.67        166.67        50.00         1.09          
103     -233.33       -5.50         166.67        50.00         1.12          
104     -466.67       12.67         500.00        50.00         1.13          
105     -233.33       6.17          333.33        50.00         1.11          
106     -466.67       -62.17        0.00          50.00         1.14          
107     -233.33       -3.83         166.67        50.00         1.12          
108     -466.67       9.33          333.33        50.00         1.11          
109     -466.67       -61.17        333.33        50.00         1.11          
110     -233.33       47.00         166.67        50.00         1.09          
111     -700.00       22.67         333.33        50.00         1.11          
112     -233.33       -34.50        166.67        50.00         1.10          
113     -466.67       -43.50        500.00        50.00         1.12          
114     -233.33       1.00          166.67        50.00         1.15          
115     -300.00       15.33         266.67        50.00         1.11          
116     -466.67       22.17         166.67        50.00         1.09          
117     -233.33       -3.50         0.00          50.00         1.14          
118     -466.67       -100.00       166.67        50.00         1.07          
119     -233.33       -4.83         166.67        50.00         1.12          
120     -466.67       -24.83        166.67        50.00         1.11          
121     -233.33       37.00         333.33        50.00         1.12          
122     -233.33       -1.17         0.00          50.00         1.11          
123     -233.33       -1.83         166.67        50.00         1.14          
124     -466.67       10.33         333.33        50.00         1.10          
125     -233.33       23.83         166.67        50.00         1.12          
126     -466.67       -47.17        166.67        50.00         1.10          
127     -466.67       -62.67        333.33        50.00         1.15          
128     -766.67       -202.33       0.00          50.00         1.06          
129     -466.67       -66.00        166.67        50.00         1.12          
130     0.00          53.33         333.33        50.00         1.09          
131     -466.67       -23.50        333.33        50.00         1.10          
132     -466.67       -28.83        166.67        50.00         1.13          
133     -233.33       -70.00        0.00          50.00         1.12          
134     -233.33       -25.67        0.00          50.00         1.11          
135     -233.33       -29.33        333.33        50.00         1.17          
136     -466.67       -15.83        333.33        50.00         1.15          
137     -233.33       -15.17        0.00          50.00         1.12          
138     -466.67       4.00          166.67        50.00         1.11          
139     -66.67        153.33        333.33        50.00         1.12          
140     -466.67       -62.17        166.67        50.00         1.13          
141     -233.33       39.33         333.33        50.00         1.11          
142     -466.67       -35.67        333.33        50.00         1.08          
