experiment_id: 5
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	number_of_sensors: 4
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: GRUNN
	hidden_layer_structure: [5]
	use_bias: True
elapsed_time: 3204.257663011551

Genome Size: 250
Free Parameters: {'layer 0': {'input_weight_matrix': 150, 'hidden_weight_matrix': 75, 'bias': 15}, 'output_weight_matrix': 10}
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -300.00       -3.83         166.67        -4.00         1.25          
1       -466.67       -242.83       166.67        -4.00         1.26          
2       -233.33       -2.33         0.00          -4.00         1.32          
3       -466.67       -38.50        0.00          16.00         1.23          
4       0.00          35.83         166.67        16.00         1.32          
5       -233.33       -2.67         166.67        16.00         1.27          
6       -466.67       -95.33        166.67        16.00         1.22          
7       0.00          62.50         500.00        16.00         1.25          
8       -233.33       27.00         333.33        16.00         1.30          
9       -700.00       -19.83        0.00          16.00         1.23          
10      0.00          16.67         166.67        16.00         1.24          
11      -233.33       4.67          166.67        16.00         1.27          
12      -233.33       15.33         333.33        16.00         1.27          
13      -66.67        3.17          166.67        18.00         1.25          
14      0.00          35.83         166.67        18.00         1.27          
15      -233.33       37.33         333.33        18.00         1.29          
16      -233.33       12.83         333.33        18.00         1.29          
17      -233.33       -2.33         0.00          18.00         1.26          
18      -300.00       48.50         333.33        18.00         1.23          
19      -66.67        39.67         500.00        18.00         1.25          
20      0.00          10.83         333.33        18.00         1.26          
21      -466.67       -12.17        166.67        18.00         1.26          
22      -233.33       17.33         333.33        18.00         1.26          
23      0.00          89.17         333.33        18.00         1.26          
24      -233.33       -3.50         333.33        18.00         1.25          
25      -233.33       -36.00        166.67        18.00         1.26          
26      -233.33       -34.00        333.33        18.00         1.25          
27      0.00          1.67          166.67        18.00         1.25          
28      -233.33       -4.00         166.67        18.00         1.27          
29      -233.33       17.50         333.33        26.00         1.24          
30      -233.33       16.17         333.33        26.00         1.28          
31      -466.67       -16.50        166.67        26.00         1.28          
32      -233.33       -2.67         166.67        26.00         1.29          
33      -233.33       47.83         333.33        26.00         1.24          
34      -233.33       14.33         333.33        26.00         1.29          
35      -466.67       -9.33         166.67        26.00         1.23          
36      -533.33       -29.00        266.67        26.00         1.23          
37      -233.33       -78.17        0.00          26.00         1.26          
38      -233.33       -7.00         0.00          26.00         1.28          
39      -233.33       -33.83        0.00          26.00         1.22          
40      -466.67       -74.67        0.00          26.00         1.29          
41      -933.33       -188.83       166.67        26.00         1.29          
42      -466.67       26.50         333.33        26.00         1.26          
43      0.00          0.00          0.00          26.00         1.29          
44      -466.67       -111.83       166.67        26.00         1.26          
45      0.00          135.00        500.00        26.00         1.28          
46      -233.33       -7.33         166.67        26.00         1.25          
47      0.00          5.00          166.67        26.00         1.27          
