experiment_id: 5
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	number_of_sensors: 4
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
brain
	type: FFNN
	hidden_layers: [20, 20]
	neuron_activation: tanh
	neuron_activation_output: tanh
	use_bias: False
elapsed_time: 2871.8079397678375

Genome Size: 640
Free Parameters: {'individual_size': 640}
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -233.33       -16.33        0.00          -8.00         1.12          
1       -233.33       -63.17        166.67        -4.00         1.12          
2       -233.33       55.50         166.67        10.00         1.15          
3       -233.33       2.17          166.67        10.00         1.24          
4       0.00          0.00          0.00          10.00         1.09          
5       -233.33       19.67         333.33        10.00         1.10          
6       -233.33       -39.67        0.00          10.00         1.14          
7       0.00          70.00         333.33        10.00         1.12          
8       -233.33       -57.17        0.00          10.00         1.14          
9       -233.33       20.50         166.67        10.00         1.14          
10      -700.00       -100.33       0.00          16.00         1.16          
11      0.00          29.17         166.67        16.00         1.12          
12      0.00          39.17         166.67        16.00         1.11          
13      -233.33       44.50         500.00        16.00         1.12          
14      -233.33       11.83         166.67        16.00         1.12          
15      -233.33       10.83         333.33        16.00         1.11          
16      -300.00       -9.50         166.67        16.00         1.13          
17      -233.33       -58.17        166.67        16.00         1.14          
18      -233.33       1.17          166.67        16.00         1.12          
19      0.00          0.83          166.67        16.00         1.13          
20      -466.67       -6.17         333.33        16.00         1.11          
21      -233.33       7.67          166.67        16.00         1.12          
22      0.00          40.00         166.67        16.00         1.14          
23      -233.33       -30.00        166.67        16.00         1.12          
24      -233.33       -30.50        166.67        16.00         1.14          
