experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: InvertedPendulum-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: FFNN
	hidden_layers: [20, 20]
	neuron_activation: tanh
	neuron_activation_output: tanh
	use_bias: True
elapsed_time: 7110.615236282349

Genome Size: 541
Free Parameters: {'individual_size': 541}
Inputs: 4
Outputs: 1

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       4.00          6.33          37.67         38.64         8.37          
1       4.00          6.13          35.33         38.64         0.72          
2       4.00          7.48          57.33         64.26         0.94          
3       4.00          6.71          65.00         64.26         0.59          
4       4.00          6.72          44.00         64.26         0.64          
5       4.00          6.86          44.67         64.26         0.66          
6       4.00          7.37          105.67        88.90         0.72          
7       4.00          7.63          64.33         88.90         0.64          
8       4.00          8.15          66.00         88.90         0.73          
9       4.00          8.52          55.33         88.90         0.64          
10      4.00          8.33          66.67         88.90         0.65          
11      4.00          7.55          48.33         88.90         0.75          
12      4.00          8.12          34.33         88.90         0.67          
13      4.00          8.75          57.33         88.90         0.68          
14      4.00          8.20          48.67         88.90         0.62          
15      4.00          9.54          52.00         88.90         0.65          
16      4.00          9.56          44.67         88.90         0.74          
17      4.00          10.97         70.33         88.90         0.68          
18      4.00          10.90         61.67         88.90         0.64          
19      4.00          11.71         76.33         88.90         0.69          
20      4.00          11.03         62.67         88.90         0.60          
21      4.00          12.05         66.00         88.90         0.66          
22      4.00          12.94         63.33         88.90         0.72          
23      4.00          14.11         77.00         88.90         0.65          
24      4.00          15.24         85.00         88.90         0.68          
25      4.00          14.77         74.33         88.90         0.62          
26      4.00          17.25         200.67        119.64        0.63          
27      4.00          16.73         69.33         119.64        0.62          
28      4.00          20.11         137.00        119.64        0.66          
29      4.00          18.05         78.00         119.64        0.73          
30      4.00          19.65         85.00         119.64        0.69          
31      4.00          21.12         157.00        128.38        0.85          
32      4.00          21.56         106.33        128.38        1.11          
33      4.00          22.80         101.00        128.38        0.74          
34      4.00          24.56         103.00        128.38        0.78          
35      4.00          26.53         124.67        128.38        0.67          
36      4.00          28.95         111.00        128.38        0.71          
37      4.00          25.97         151.00        128.38        0.68          
38      4.00          30.89         160.67        131.82        0.78          
39      4.00          25.88         162.00        131.82        0.74          
40      4.00          32.44         435.67        366.60        0.79          
41      4.00          36.56         209.00        366.60        0.72          
42      4.00          35.27         151.00        366.60        0.83          
43      4.00          36.52         178.00        366.60        0.69          
44      4.00          37.26         220.00        366.60        0.71          
45      4.00          37.44         134.33        366.60        0.75          
46      4.00          37.58         489.00        366.60        0.75          
47      4.00          39.30         123.00        366.60        0.73          
48      4.00          47.78         195.33        366.60        0.75          
49      4.00          47.62         581.33        866.20        0.94          
50      4.00          51.60         1000.00       941.36        1.09          
51      4.00          46.30         404.00        941.36        0.93          
52      4.00          50.26         397.67        941.36        0.82          
53      4.00          46.74         175.00        941.36        0.95          
54      4.00          47.28         234.33        941.36        0.77          
55      4.00          59.02         1000.00       965.38        1.16          
56      4.00          55.42         1000.00       965.38        0.96          
57      4.00          45.30         246.33        965.38        0.77          
58      4.00          61.66         803.33        965.38        0.89          
59      4.00          59.04         846.33        965.38        1.01          
60      4.00          66.72         604.00        965.38        0.81          
61      4.00          66.53         513.00        965.38        0.93          
62      4.00          69.03         769.67        965.38        0.92          
63      4.00          79.87         558.33        965.38        0.95          
64      4.00          68.34         654.33        965.38        0.81          
65      4.00          88.31         1000.00       965.38        1.00          
66      4.00          86.86         1000.00       965.38        1.10          
67      4.00          88.04         1000.00       1000.00       1.10          
68      4.00          107.20        1000.00       1000.00       1.23          
69      4.00          99.50         1000.00       1000.00       1.26          
70      4.00          119.34        1000.00       1000.00       1.19          
71      4.00          136.25        1000.00       1000.00       1.18          
72      4.00          146.01        1000.00       1000.00       1.12          
73      4.00          191.25        1000.00       1000.00       1.27          
74      4.00          186.68        1000.00       1000.00       1.31          
75      4.00          209.80        1000.00       1000.00       1.32          
76      4.00          240.47        1000.00       1000.00       1.39          
77      4.00          223.10        1000.00       1000.00       1.43          
78      4.00          228.76        1000.00       1000.00       1.40          
79      4.00          248.86        1000.00       1000.00       1.47          
80      4.00          283.09        1000.00       1000.00       1.52          
81      4.00          278.14        1000.00       1000.00       1.66          
82      4.00          295.89        1000.00       1000.00       1.57          
83      4.00          331.40        1000.00       1000.00       1.63          
84      4.00          294.20        1000.00       1000.00       1.45          
85      4.00          314.84        1000.00       1000.00       1.59          
86      4.00          307.31        1000.00       1000.00       1.58          
87      4.00          390.66        1000.00       1000.00       1.79          
88      4.00          354.13        1000.00       1000.00       1.60          
89      4.00          324.09        1000.00       1000.00       1.67          
90      4.00          347.19        1000.00       1000.00       1.68          
91      4.00          386.98        1000.00       1000.00       1.83          
92      4.00          382.83        1000.00       1000.00       1.65          
93      4.00          374.64        1000.00       1000.00       1.65          
94      4.00          381.94        1000.00       1000.00       1.68          
95      4.00          393.94        1000.00       1000.00       1.67          
96      4.00          401.07        1000.00       1000.00       1.77          
97      4.00          363.07        1000.00       1000.00       1.77          
98      4.00          371.35        1000.00       1000.00       1.75          
99      4.00          436.65        1000.00       1000.00       1.86          
100     4.00          482.60        1000.00       1000.00       1.95          
101     4.00          415.78        1000.00       1000.00       1.87          
102     4.00          461.86        1000.00       1000.00       1.84          
103     4.00          438.17        1000.00       1000.00       1.88          
104     4.00          473.39        1000.00       1000.00       1.96          
105     4.00          513.11        1000.00       1000.00       1.97          
106     4.00          441.65        1000.00       1000.00       2.06          
107     4.00          544.57        1000.00       1000.00       2.14          
108     4.00          504.93        1000.00       1000.00       1.93          
109     4.00          502.41        1000.00       1000.00       1.91          
110     4.00          538.90        1000.00       1000.00       2.15          
111     4.00          468.15        1000.00       1000.00       1.92          
112     4.00          577.18        1000.00       1000.00       2.01          
113     4.00          589.60        1000.00       1000.00       2.04          
114     4.00          534.45        1000.00       1000.00       2.07          
115     4.00          576.57        1000.00       1000.00       2.26          
116     4.00          524.90        1000.00       1000.00       2.07          
117     4.00          581.07        1000.00       1000.00       2.20          
118     4.00          523.79        1000.00       1000.00       2.02          
119     4.00          596.80        1000.00       1000.00       2.11          
120     4.00          617.60        1000.00       1000.00       2.20          
