experiment_id: 5
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	number_of_sensors: 4
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 20
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 3.0
	set_principle_diagonal_elements_of_W_negative: True
	optimize_x0: False
elapsed_time: 3080.5495376586914

Genome Size: 640
Free Parameters: {'V': 200, 'W': 400, 'T': 40}
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -466.67       49.83         333.33        -30.00        1.16          
1       -700.00       -40.50        333.33        12.00         1.20          
2       -466.67       -139.17       533.33        12.00         1.16          
3       -600.00       177.33        666.67        12.00         1.21          
4       -700.00       -19.67        333.33        12.00         1.20          
5       -233.33       58.83         166.67        12.00         1.20          
6       -466.67       86.67         500.00        12.00         1.21          
7       -533.33       61.83         333.33        26.00         1.21          
8       -233.33       101.67        1000.00       26.00         1.28          
9       -466.67       -35.67        166.67        26.00         1.21          
10      -533.33       10.17         333.33        80.00         1.17          
11      -766.67       37.00         200.00        80.00         1.22          
12      -466.67       -43.00        333.33        102.00        1.25          
13      -533.33       -22.50        333.33        102.00        1.24          
14      -933.33       -175.17       500.00        102.00        1.37          
15      -533.33       2.50          766.67        102.00        1.21          
16      -300.00       210.00        766.67        102.00        1.29          
17      -466.67       15.67         500.00        102.00        1.45          
18      -933.33       -120.83       0.00          102.00        1.24          
19      -1166.67      -41.33        166.67        102.00        1.18          
20      -300.00       50.83         500.00        102.00        1.36          
21      -233.33       109.00        666.67        102.00        1.19          
22      -700.00       21.00         500.00        102.00        1.23          
23      -700.00       -64.00        666.67        102.00        1.40          
24      -700.00       -83.17        500.00        102.00        1.20          
25      -266.67       113.83        666.67        102.00        1.20          
26      -933.33       -90.50        333.33        102.00        1.23          
27      -466.67       -33.83        333.33        102.00        1.28          
28      -766.67       -67.33        500.00        102.00        1.18          
29      -233.33       170.17        833.33        102.00        1.29          
30      -700.00       46.50         333.33        102.00        1.28          
31      -1300.00      -89.00        433.33        102.00        1.22          
32      -466.67       -37.83        433.33        102.00        1.25          
33      -700.00       -42.50        666.67        102.00        1.20          
34      -766.67       -25.50        333.33        102.00        1.22          
35      -1400.00      -420.50       100.00        102.00        1.20          
36      -533.33       76.50         666.67        102.00        1.20          
37      -466.67       40.33         500.00        102.00        1.17          
38      -1166.67      -222.17       333.33        102.00        1.19          
39      -1166.67      -115.83       333.33        102.00        1.23          
40      -466.67       4.00          166.67        102.00        1.23          
