experiment_id: 5
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	number_of_sensors: 4
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 5
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 1.0
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: True
	alpha: 0.1
elapsed_time: 2761.993672609329

Genome Size: 90
Free Parameters: {'V': 50, 'W': 25, 'T': 10, 'x_0': 5}
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -233.33       5.50          166.67        -44.00        1.09          
1       -233.33       101.83        333.33        22.00         1.06          
2       -466.67       2.50          333.33        22.00         1.09          
3       -233.33       -28.17        166.67        22.00         1.07          
4       0.00          16.67         333.33        22.00         1.21          
5       -233.33       -10.17        166.67        22.00         1.09          
6       -233.33       38.67         166.67        22.00         1.15          
7       -466.67       -4.00         166.67        22.00         1.10          
8       -300.00       -18.17        166.67        22.00         1.14          
9       -300.00       250.50        666.67        22.00         1.06          
10      -466.67       -49.17        333.33        22.00         1.13          
11      -466.67       -29.67        166.67        22.00         1.16          
12      -233.33       -32.17        333.33        22.00         1.12          
13      -466.67       -64.67        333.33        22.00         1.08          
14      -466.67       31.83         166.67        22.00         1.15          
15      -233.33       -2.17         166.67        22.00         1.17          
16      -233.33       8.00          333.33        22.00         1.06          
17      -233.33       -18.50        166.67        22.00         1.12          
18      -233.33       5.50          333.33        22.00         1.12          
19      0.00          34.17         333.33        22.00         1.13          
20      0.00          49.17         333.33        22.00         1.13          
21      -233.33       -2.33         0.00          22.00         1.11          
22      -233.33       0.50          166.67        22.00         1.11          
23      -233.33       -70.33        500.00        22.00         1.13          
24      0.00          54.17         333.33        22.00         1.11          
25      -233.33       17.00         166.67        22.00         1.15          
26      -233.33       -43.17        0.00          22.00         1.08          
27      -233.33       -1.50         166.67        22.00         1.07          
28      -233.33       71.17         333.33        22.00         1.10          
29      -233.33       -35.17        333.33        22.00         1.09          
30      -466.67       -66.00        166.67        22.00         1.11          
31      -66.67        130.33        333.33        38.00         1.11          
32      -466.67       -38.00        166.67        38.00         1.09          
33      0.00          52.50         333.33        38.00         1.08          
34      -300.00       -3.00         500.00        38.00         1.10          
35      -466.67       -95.33        166.67        38.00         1.08          
36      -233.33       -3.00         166.67        38.00         1.08          
37      -466.67       -45.50        166.67        38.00         1.09          
38      -233.33       81.33         333.33        38.00         1.11          
39      -700.00       -95.67        0.00          38.00         1.10          
40      -700.00       -52.50        0.00          38.00         1.11          
41      -700.00       4.50          166.67        38.00         1.07          
42      -466.67       -5.83         0.00          38.00         1.11          
43      -300.00       -1.83         333.33        38.00         1.06          
44      0.00          0.83          166.67        38.00         1.09          
45      -466.67       3.17          333.33        38.00         1.12          
46      -233.33       1.50          333.33        38.00         1.07          
47      0.00          23.33         500.00        38.00         1.10          
48      -66.67        16.00         166.67        38.00         1.12          
49      -466.67       -40.00        166.67        38.00         1.12          
50      -700.00       1.17          166.67        38.00         1.11          
51      -233.33       97.67         500.00        38.00         1.12          
52      -466.67       -16.33        0.00          38.00         1.10          
53      -466.67       -66.00        333.33        38.00         1.13          
54      0.00          104.17        500.00        38.00         1.07          
55      -233.33       -5.50         166.67        38.00         1.11          
56      -66.67        108.33        500.00        40.00         1.13          
57      0.00          45.00         166.67        40.00         1.09          
58      -233.33       -47.83        0.00          40.00         1.13          
59      -466.67       21.00         166.67        40.00         1.11          
60      -66.67        151.17        333.33        40.00         1.13          
61      -700.00       -27.50        666.67        40.00         1.07          
62      -233.33       66.50         166.67        40.00         1.08          
63      -233.33       -38.00        166.67        40.00         1.08          
64      -466.67       -13.50        333.33        40.00         1.15          
65      -700.00       -78.83        0.00          40.00         1.08          
66      -233.33       49.17         500.00        40.00         1.07          
67      0.00          61.67         500.00        40.00         1.11          
68      -233.33       -5.83         0.00          40.00         1.13          
69      -66.67        3.17          166.67        40.00         1.10          
70      -466.67       -60.83        166.67        40.00         1.07          
71      -466.67       -189.83       500.00        40.00         1.12          
72      -233.33       19.50         166.67        40.00         1.09          
73      -700.00       -58.67        166.67        40.00         1.11          
74      -466.67       14.33         333.33        40.00         1.12          
75      0.00          80.00         333.33        40.00         1.12          
76      -466.67       -78.50        333.33        40.00         1.12          
77      -233.33       13.00         166.67        40.00         1.11          
78      -233.33       -1.17         0.00          40.00         1.12          
79      -700.00       -143.00       166.67        40.00         1.11          
80      -233.33       39.17         166.67        40.00         1.10          
81      -466.67       -0.50         166.67        40.00         1.13          
82      -466.67       -10.50        0.00          40.00         1.12          
83      -233.33       25.33         333.33        40.00         1.11          
84      -466.67       -33.17        333.33        40.00         1.12          
85      -233.33       -57.83        166.67        40.00         1.12          
86      -466.67       -87.83        166.67        40.00         1.15          
87      -466.67       -189.50       100.00        40.00         1.13          
88      -233.33       -66.50        0.00          40.00         1.08          
89      -233.33       4.83          166.67        40.00         1.12          
90      -466.67       47.67         333.33        40.00         1.11          
91      -233.33       33.17         166.67        40.00         1.10          
92      -300.00       -70.83        166.67        40.00         1.11          
93      -233.33       -2.17         166.67        40.00         1.11          
94      -700.00       -30.83        333.33        40.00         1.15          
95      -466.67       -57.00        333.33        40.00         1.13          
96      0.00          0.00          0.00          40.00         1.12          
97      -600.00       -156.67       266.67        40.00         1.09          
98      -466.67       -17.83        166.67        40.00         1.09          
99      -533.33       -82.67        333.33        40.00         1.10          
100     -466.67       -9.50         166.67        40.00         1.09          
101     -233.33       0.33          333.33        40.00         1.10          
102     -233.33       35.00         166.67        40.00         1.08          
103     -233.33       107.17        333.33        40.00         1.09          
104     -466.67       -8.83         333.33        40.00         1.08          
105     -233.33       37.17         166.67        40.00         1.12          
106     0.00          48.33         333.33        40.00         1.08          
107     -233.33       -1.17         0.00          40.00         1.10          
108     -466.67       -174.83       166.67        40.00         1.13          
109     -233.33       74.83         500.00        40.00         1.13          
110     -66.67        123.83        333.33        40.00         1.12          
111     -233.33       -29.83        166.67        40.00         1.10          
112     -233.33       30.83         500.00        40.00         1.14          
113     -233.33       22.50         666.67        40.00         1.08          
114     -466.67       -78.50        0.00          40.00         1.07          
115     -233.33       -1.17         166.67        40.00         1.12          
116     -466.67       -120.17       0.00          40.00         1.08          
117     -233.33       -7.67         166.67        40.00         1.08          
118     -233.33       -0.33         166.67        40.00         1.08          
119     -233.33       -42.00        333.33        40.00         1.12          
120     -233.33       -4.67         0.00          40.00         1.11          
121     -466.67       -3.33         166.67        40.00         1.09          
122     -233.33       -46.00        166.67        40.00         1.11          
123     -700.00       -166.83       0.00          40.00         1.10          
124     -233.33       25.00         333.33        40.00         1.09          
125     -233.33       -6.83         166.67        40.00         1.09          
126     -466.67       -62.50        166.67        40.00         1.08          
127     -766.67       -181.83       333.33        40.00         1.09          
128     -233.33       15.33         166.67        40.00         1.11          
129     -466.67       -55.50        0.00          40.00         1.10          
130     -533.33       141.33        333.33        40.00         1.12          
131     0.00          97.50         500.00        40.00         1.07          
132     -233.33       21.67         166.67        40.00         1.12          
133     -466.67       -108.50       0.00          40.00         1.11          
134     -233.33       -4.17         333.33        40.00         1.07          
135     -233.33       110.50        333.33        40.00         1.12          
136     -466.67       -71.50        166.67        40.00         1.10          
137     0.00          40.00         333.33        40.00         1.09          
138     0.00          86.67         333.33        40.00         1.10          
139     0.00          85.00         500.00        40.00         1.10          
140     -66.67        65.17         500.00        40.00         1.15          
141     -233.33       -1.33         166.67        40.00         1.07          
142     -233.33       -21.00        0.00          40.00         1.14          
143     -233.33       0.50          166.67        40.00         1.10          
