experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Hopper-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 5
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 1.0
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: False
	alpha: 0.0
elapsed_time: 17236.01532316208

Genome Size: 95
Free Parameters: {'V': 55, 'W': 25, 'T': 15}
Inputs: 11
Outputs: 3

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -0.77         19.22         161.29        163.02        8.08          
1       0.35          23.55         374.40        360.71        1.00          
2       0.06          21.32         692.23        500.59        1.51          
3       -0.65         17.43         134.86        500.59        0.83          
4       -0.81         18.94         149.22        500.59        0.75          
5       -0.98         22.67         184.30        500.59        1.05          
6       -0.04         21.65         521.24        522.25        1.42          
7       -0.87         27.08         1009.26       1009.52       1.99          
8       -0.73         32.23         1011.50       1011.64       1.92          
9       -0.37         29.53         353.83        1011.64       1.23          
10      -0.63         30.62         428.04        1011.64       1.22          
11      -0.74         26.49         173.73        1011.64       0.75          
12      -1.15         39.69         1015.34       1016.39       2.04          
13      -1.03         44.34         1013.75       1016.39       1.89          
14      -0.53         36.35         974.56        1016.39       1.85          
15      -0.88         35.88         332.55        1016.39       1.08          
16      -0.53         46.42         973.05        1016.39       2.17          
17      -1.01         49.49         1007.49       1016.39       2.09          
18      -1.25         45.24         1020.35       1021.10       1.98          
19      -1.12         54.41         1014.66       1021.10       2.00          
20      -0.53         60.32         819.06        1021.10       1.85          
21      -1.02         69.12         1019.65       1021.10       2.34          
22      -1.39         68.37         1017.85       1021.10       2.56          
23      -0.94         77.95         1014.37       1021.10       2.30          
24      -1.23         73.07         1000.14       1021.10       2.05          
25      -1.45         95.32         1024.47       1025.11       2.25          
26      -1.36         111.42        1013.01       1025.11       2.52          
27      -1.09         116.65        1026.86       1026.61       2.79          
28      -1.57         116.08        1021.10       1026.61       2.59          
29      -1.66         119.22        1000.32       1026.61       2.94          
30      -1.43         121.94        1009.21       1026.61       2.66          
31      -1.43         142.91        1023.19       1026.61       2.82          
32      -0.12         135.46        1019.37       1026.61       2.54          
33      -1.39         131.88        1014.49       1026.61       2.86          
34      -1.75         144.64        1016.30       1026.61       3.00          
35      -1.24         122.73        1024.21       1026.61       2.72          
36      -1.36         168.63        1020.66       1026.61       2.92          
37      -1.64         194.63        1026.89       1026.61       3.03          
38      -1.20         193.13        1027.18       1026.61       3.16          
39      -1.46         224.48        1024.80       1026.61       3.43          
40      -1.57         192.43        1027.94       1027.19       3.25          
41      -1.27         218.22        1028.42       1028.30       3.28          
42      -1.30         198.02        1023.14       1028.30       3.25          
43      -1.23         228.00        1028.77       1028.30       3.57          
44      -1.35         249.82        1029.72       1030.10       3.48          
45      -1.33         250.32        1033.81       1030.10       3.57          
46      -1.70         259.04        1033.28       1033.49       3.62          
47      1.02          236.97        1023.65       1033.49       3.79          
48      -1.58         292.93        1042.92       1040.56       4.18          
49      -1.57         282.00        1027.42       1040.56       3.75          
50      -1.27         274.55        1029.16       1040.56       3.83          
51      -1.59         247.40        1027.51       1040.56       3.22          
52      -1.45         250.07        1032.54       1040.56       3.63          
53      -1.23         219.29        1029.27       1040.56       3.31          
54      -1.27         333.06        1029.91       1040.56       4.16          
55      -1.47         345.72        1027.61       1040.56       4.63          
56      -1.67         333.48        1027.78       1040.56       4.26          
57      -1.58         354.32        1037.31       1040.56       4.22          
58      -1.26         429.58        1030.21       1040.56       5.06          
59      -1.51         408.27        1029.18       1040.56       5.07          
60      -1.31         489.32        1033.53       1040.56       5.43          
61      3.82          478.02        1029.96       1040.56       5.45          
62      0.59          488.78        1052.21       1040.56       5.36          
63      -0.67         479.54        1030.50       1040.56       5.52          
64      2.43          412.72        1035.24       1040.56       4.73          
65      -1.44         511.70        1029.28       1040.56       5.83          
66      -0.79         477.55        1043.11       1040.56       5.27          
67      -1.11         503.16        1033.32       1040.56       5.86          
68      -0.93         516.44        1043.60       1040.56       5.74          
69      3.10          567.14        1033.01       1040.56       6.18          
70      -1.59         568.06        1041.97       1048.62       5.90          
71      -1.75         563.80        1030.29       1048.62       6.12          
72      3.90          504.66        1030.95       1048.62       5.68          
73      5.32          635.60        1030.52       1048.62       6.57          
74      4.28          546.64        1030.66       1048.62       5.95          
75      6.36          671.68        1031.11       1048.62       6.79          
76      5.61          590.36        1033.00       1048.62       6.38          
77      1.06          613.06        1031.41       1048.62       6.40          
78      4.70          640.21        1031.76       1048.62       6.65          
79      17.15         690.31        1031.54       1048.62       6.82          
80      3.48          652.41        1031.09       1048.62       6.63          
81      4.64          712.02        1032.96       1048.62       6.85          
82      -0.89         653.32        1032.12       1048.62       6.76          
83      8.95          671.02        1031.84       1048.62       6.72          
84      17.10         682.30        1032.34       1048.62       6.86          
85      5.38          601.85        1032.40       1048.62       6.29          
86      7.57          682.72        1032.83       1048.62       6.69          
87      6.92          701.68        1033.63       1048.62       7.14          
88      21.12         693.16        1032.50       1048.62       6.80          
89      22.35         694.57        1033.30       1048.62       6.93          
90      9.27          785.21        1033.19       1048.62       7.53          
91      9.51          696.90        1032.86       1048.62       7.03          
92      9.02          696.13        1033.71       1048.62       6.76          
93      12.69         732.04        1035.75       1048.62       7.10          
94      -1.44         734.97        1034.81       1048.62       6.92          
95      23.50         690.77        1034.89       1048.62       6.78          
96      29.19         725.98        1036.74       1048.62       7.34          
97      15.23         691.25        1031.99       1048.62       6.72          
98      40.24         770.48        1032.30       1048.62       7.58          
99      40.20         682.98        1033.78       1048.62       6.70          
100     30.89         776.35        1033.50       1048.62       7.32          
101     33.73         720.94        1036.38       1048.62       7.04          
102     56.35         718.32        1045.63       1048.62       6.97          
103     17.50         774.79        1032.86       1048.62       7.49          
104     108.37        733.27        1032.48       1048.62       7.09          
105     110.05        752.42        1033.02       1048.62       7.19          
106     44.77         732.75        1032.57       1048.62       7.16          
107     79.77         741.60        1032.80       1048.62       7.46          
108     3.26          731.08        1032.78       1048.62       7.08          
109     41.93         727.26        1038.38       1048.62       7.10          
110     21.15         660.19        1051.78       1048.62       6.50          
111     34.19         749.54        1034.40       1048.62       7.35          
112     5.30          654.56        1038.86       1048.62       6.41          
113     19.12         739.72        1059.09       1057.03       7.18          
114     10.00         712.47        1032.91       1057.03       6.73          
115     37.86         706.69        1033.08       1057.03       6.79          
116     41.61         778.34        1035.09       1057.03       7.48          
117     70.22         709.45        1041.52       1057.03       7.23          
118     17.24         745.13        1033.45       1057.03       7.16          
119     64.55         796.58        1034.44       1057.03       7.97          
120     66.05         700.34        1034.09       1057.03       6.90          
121     78.45         770.65        1032.82       1057.03       7.33          
122     71.43         769.36        1033.05       1057.03       7.49          
123     7.59          779.02        1045.79       1057.03       7.46          
124     16.49         778.64        1033.07       1057.03       7.59          
125     6.96          744.43        1033.19       1057.03       7.10          
126     84.35         703.89        1037.02       1057.03       6.96          
127     99.13         763.22        1032.37       1057.03       7.19          
128     39.60         698.05        1037.58       1057.03       7.12          
129     79.83         815.54        1039.82       1057.03       7.58          
130     79.20         765.67        1043.68       1057.03       7.55          
131     39.13         790.94        1034.24       1057.03       7.42          
132     52.47         758.97        1039.82       1057.03       7.61          
133     81.80         779.28        1033.54       1057.03       7.55          
134     124.20        771.20        1033.61       1057.03       7.56          
135     40.18         751.03        1049.55       1057.03       7.13          
136     92.72         753.34        1034.69       1057.03       7.27          
137     101.11        809.77        1044.15       1057.03       7.57          
138     120.36        779.40        1034.46       1057.03       7.64          
139     75.19         745.56        1036.74       1057.03       7.09          
140     42.82         789.37        1064.70       1057.03       7.42          
141     110.88        837.30        1066.76       1066.34       7.99          
142     43.97         747.62        1045.55       1066.34       7.34          
143     130.13        788.76        1034.75       1066.34       7.59          
144     102.12        842.57        1054.77       1066.34       8.19          
145     63.98         834.91        1046.48       1066.34       8.06          
146     58.15         760.14        1050.05       1066.34       7.27          
147     26.16         842.33        1049.53       1066.34       7.85          
148     46.99         777.77        1045.74       1066.34       7.36          
149     19.38         790.90        1058.13       1066.34       7.42          
150     28.06         764.49        1062.35       1066.34       7.43          
151     24.51         827.73        1077.04       1066.34       7.61          
152     50.94         804.42        1060.85       1066.34       7.69          
153     26.84         777.53        1063.81       1066.34       7.52          
154     5.29          780.37        1064.35       1066.34       7.32          
155     35.37         813.47        1063.48       1066.34       7.83          
156     5.32          862.09        1062.37       1066.34       7.91          
157     28.79         851.14        1081.30       1066.34       7.83          
158     32.96         841.50        1063.44       1066.34       7.56          
159     55.92         817.60        1060.86       1066.34       7.73          
160     60.04         865.24        1062.76       1066.34       8.01          
161     51.97         804.71        1060.36       1066.34       7.54          
162     23.24         825.89        1083.57       1073.98       7.84          
163     85.83         855.35        1062.57       1073.98       7.82          
164     71.46         909.92        1066.83       1073.98       8.22          
165     87.87         869.76        1067.62       1073.98       8.07          
166     120.88        866.82        1064.94       1073.98       7.86          
167     43.56         824.60        1075.97       1073.98       7.61          
168     89.11         853.65        1073.50       1073.98       7.71          
169     33.42         840.95        1073.37       1073.98       7.84          
170     63.50         856.63        1077.30       1073.98       7.57          
171     13.18         859.87        1072.51       1073.98       7.85          
172     36.35         842.43        1084.44       1073.98       7.71          
173     28.61         812.28        1082.21       1073.98       7.59          
174     28.44         839.38        1074.16       1073.98       7.70          
