experiment_id: 5
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	number_of_sensors: 4
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
brain
	type: LSTMNN
	hidden_layer_structure: [5]
	use_bias: False
elapsed_time: 3584.6373167037964

Genome Size: 310
Free Parameters: {'layer 0': {'input_weight_matrix': 200, 'hidden_weight_matrix': 100}, 'output_weight_matrix': 10}
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -233.33       -1.17         0.00          16.00         1.45          
1       -233.33       -6.17         166.67        16.00         1.39          
2       -233.33       9.00          166.67        16.00         1.43          
3       -233.33       -233.33       -233.33       16.00         1.50          
4       -466.67       -6.67         333.33        16.00         1.44          
5       -233.33       -17.50        0.00          16.00         1.49          
6       -233.33       -6.00         166.67        16.00         1.61          
7       -233.33       85.83         333.33        16.00         1.67          
8       -233.33       -12.67        166.67        16.00         1.52          
9       166.67        205.83        333.33        16.00         1.44          
10      -466.67       -229.00       -66.67        16.00         1.64          
11      -233.33       12.83         166.67        16.00         1.55          
12      -233.33       20.83         333.33        16.00         1.58          
13      -233.33       70.67         333.33        16.00         1.46          
14      0.00          40.00         333.33        16.00         1.53          
15      -466.67       -56.17        333.33        16.00         1.48          
16      -233.33       1.00          166.67        16.00         1.41          
17      -233.33       -24.50        0.00          16.00         1.44          
18      0.00          0.00          0.00          16.00         1.42          
19      -233.33       24.67         166.67        16.00         1.39          
20      -300.00       -38.50        166.67        16.00         1.47          
21      -466.67       -49.00        0.00          16.00         1.50          
22      0.00          5.83          166.67        16.00         1.49          
23      -233.33       -1.17         0.00          16.00         1.40          
24      0.00          0.00          0.00          16.00         1.53          
25      0.00          0.00          0.00          16.00         1.45          
26      -466.67       -26.00        166.67        16.00         1.47          
27      -233.33       -24.83        166.67        16.00         1.50          
28      0.00          195.00        333.33        16.00         1.39          
29      -66.67        123.83        333.33        16.00         1.47          
30      -466.67       -37.17        333.33        16.00         1.41          
31      -66.67        0.50          166.67        16.00         1.51          
32      0.00          0.00          0.00          16.00         1.55          
33      -466.67       11.67         166.67        16.00         1.44          
34      0.00          60.00         166.67        16.00         1.44          
35      0.00          20.83         333.33        16.00         1.40          
36      0.00          12.50         166.67        16.00         1.44          
37      -700.00       19.83         333.33        16.00         1.39          
38      -233.33       21.83         166.67        16.00         1.38          
39      -233.33       -3.83         333.33        16.00         1.47          
40      0.00          0.00          0.00          16.00         1.41          
41      -66.67        153.00        166.67        16.00         1.44          
42      0.00          20.00         166.67        16.00         1.52          
43      -233.33       4.67          166.67        16.00         1.59          
44      -233.33       -28.33        166.67        16.00         1.38          
45      0.00          13.33         166.67        16.00         1.39          
46      -66.67        68.00         166.67        16.00         1.44          
47      -233.33       -36.50        0.00          16.00         1.43          
48      0.00          0.00          0.00          16.00         1.40          
