experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: InvertedDoublePendulum-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: FFNN
	hidden_layers: [10, 10]
	neuron_activation: tanh
	neuron_activation_output: tanh
	use_bias: True
elapsed_time: 1657.320434808731

Genome Size: 241
Free Parameters: {'individual_size': 241}
Inputs: 11
Outputs: 1

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       26.82         46.53         131.65        107.43        8.42          
1       26.82         46.46         110.47        107.43        0.64          
2       29.50         47.19         116.58        107.43        0.67          
3       26.83         44.32         106.85        110.78        0.61          
4       26.79         46.05         116.66        111.10        0.57          
5       26.79         46.11         101.42        111.10        0.57          
6       26.80         48.46         126.29        136.94        0.62          
7       26.80         50.85         165.53        197.18        0.51          
8       26.80         48.80         156.87        197.18        0.49          
9       26.79         46.56         113.30        197.18        0.57          
10      26.80         50.10         131.99        197.18        0.56          
11      26.68         49.54         119.15        197.18        0.58          
12      26.75         52.17         138.27        197.18        0.52          
13      26.83         54.69         146.71        197.18        0.56          
14      26.73         57.98         172.02        197.18        0.54          
15      26.80         61.83         147.69        197.18        0.50          
16      26.80         61.14         137.75        197.18        0.51          
17      29.48         58.66         110.14        197.18        0.47          
18      29.47         64.64         134.68        197.18        0.51          
19      26.80         61.95         116.27        197.18        0.54          
20      29.45         62.62         144.17        197.18        0.49          
21      26.81         66.50         125.69        197.18        0.49          
22      26.79         64.71         113.45        197.18        0.48          
23      26.80         67.79         116.51        197.18        0.48          
24      26.79         68.76         137.75        197.18        0.55          
25      26.80         69.31         137.47        197.18        0.58          
26      26.76         70.55         116.83        197.18        0.59          
27      26.83         69.46         116.43        197.18        0.48          
28      26.84         71.21         110.48        197.18        0.59          
29      26.83         70.65         150.23        197.18        0.71          
30      26.81         70.73         118.67        197.18        0.67          
31      29.52         71.87         127.54        197.18        0.55          
32      26.75         71.05         121.54        197.18        0.54          
33      26.82         74.61         146.55        197.18        0.59          
34      26.79         69.61         147.23        197.18        0.55          
35      26.80         73.52         151.74        197.18        0.56          
36      26.81         72.23         205.48        197.18        0.52          
37      29.46         80.77         165.87        197.18        0.55          
38      26.82         71.93         159.46        197.18        0.53          
39      26.82         74.78         174.23        197.18        0.52          
40      26.84         72.78         134.47        197.18        0.61          
41      26.83         77.37         147.17        197.18        0.54          
42      29.47         73.73         137.92        197.18        0.55          
43      26.83         75.76         143.06        197.18        0.48          
44      26.82         86.35         174.25        197.18        0.56          
45      29.47         74.01         155.65        197.18        0.54          
46      26.81         83.76         168.98        197.18        0.55          
47      26.78         73.07         128.27        197.18        0.51          
48      26.81         87.31         150.27        197.18        0.49          
49      26.83         74.95         137.32        197.18        0.52          
50      26.67         77.50         167.92        197.18        0.52          
51      29.49         72.59         128.92        197.18        0.52          
52      26.84         76.28         134.35        197.18        0.51          
53      26.86         84.62         168.23        197.18        0.50          
54      26.74         87.48         177.24        197.18        0.55          
55      29.50         85.60         171.40        197.18        0.49          
56      26.83         75.64         146.37        197.18        0.49          
57      26.80         75.83         198.87        197.18        0.51          
58      26.75         75.92         186.81        197.18        0.54          
59      26.74         71.97         132.02        197.18        0.45          
60      26.85         75.40         159.29        197.18        0.52          
61      26.83         76.57         122.62        197.18        0.72          
62      26.82         74.72         152.75        197.18        0.59          
63      26.79         81.22         140.27        197.18        0.57          
64      29.50         81.65         143.18        197.18        0.54          
