experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: HalfCheetah-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 5
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 3.0
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: True
	alpha: 0.0
elapsed_time: 10980.055930376053

Genome Size: 145
Free Parameters: {'V': 85, 'W': 25, 'T': 30, 'x_0': 5}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -885.53       -509.33       -4.19         -446.17       9.50          
1       -811.66       -505.79       -57.80        -199.44       5.27          
2       -879.31       -505.07       174.87        137.04        5.59          
3       -754.05       -501.56       -24.75        137.04        5.43          
4       -716.49       -486.99       239.05        137.04        5.35          
5       -966.69       -499.79       24.19         137.04        5.53          
6       -690.79       -476.31       96.72         137.04        5.37          
7       -1199.50      -482.98       -54.36        137.04        5.40          
8       -612.14       -474.82       -59.23        137.04        5.44          
9       -685.07       -465.46       75.09         137.04        5.21          
10      -679.55       -465.15       370.88        137.04        5.55          
11      -1038.60      -465.21       347.14        137.04        5.61          
12      -941.58       -459.74       605.61        377.21        5.37          
13      -840.88       -461.22       1250.43       377.21        5.26          
14      -935.56       -430.53       483.52        377.21        5.37          
15      -1087.91      -408.76       706.68        434.54        5.20          
16      -808.47       -397.77       563.41        434.54        5.25          
17      -1016.38      -378.98       620.86        434.54        5.26          
18      -983.27       -360.60       733.63        995.21        5.12          
19      -1047.99      -348.38       858.73        995.21        5.18          
20      -1207.73      -324.44       1365.38       995.21        5.25          
21      -998.72       -236.37       1093.49       995.21        5.04          
22      -1738.10      -264.64       1466.23       995.21        5.19          
23      -1172.01      -200.36       1150.98       995.21        5.05          
24      -1040.37      -132.61       1457.64       995.21        5.06          
25      -1089.16      -109.68       1552.21       995.21        5.06          
26      -1737.38      -141.39       1372.55       995.21        4.82          
27      -2119.85      18.20         1402.72       995.21        4.94          
28      -1325.95      -110.73       1635.44       1377.25       4.97          
29      -1480.98      28.24         1172.32       1377.25       5.00          
30      -1051.81      -75.20        1075.16       1377.25       4.96          
31      -1624.66      119.85        1402.18       1377.25       4.88          
32      -1687.02      75.19         1473.35       1377.25       5.09          
33      -1037.46      66.34         1173.67       1377.25       4.88          
34      -1505.20      174.75        1172.80       1377.25       4.69          
35      -943.29       189.48        1346.72       1377.25       4.81          
36      -1821.57      97.09         1239.77       1377.25       4.66          
37      -1053.55      211.69        1326.05       1377.25       4.81          
38      -1174.42      150.56        1171.81       1377.25       4.80          
39      -1293.22      244.68        1143.77       1377.25       4.79          
40      -1342.70      292.95        1193.57       1377.25       4.70          
41      -869.94       334.99        1370.53       1377.25       4.84          
42      -2206.04      313.79        1230.10       1377.25       4.73          
43      -1492.96      361.76        1323.51       1377.25       4.49          
44      -1127.59      507.29        1287.04       1377.25       4.78          
45      -1621.59      547.17        1187.30       1377.25       4.53          
46      -1359.18      518.46        1175.07       1377.25       4.54          
47      -1574.54      486.49        1166.99       1377.25       4.46          
48      -1533.67      502.63        1249.53       1377.25       4.66          
49      -2080.82      491.95        1212.88       1377.25       4.76          
50      -1137.88      491.73        1306.39       1377.25       4.55          
51      -1036.41      599.12        1239.71       1377.25       4.76          
52      -1098.97      544.96        1218.45       1377.25       4.47          
53      -1971.14      591.90        1301.32       1377.25       4.58          
54      -2389.58      492.15        1170.19       1377.25       4.57          
55      -2044.49      581.91        1227.34       1377.25       4.67          
56      -1217.52      669.60        1125.39       1377.25       4.61          
57      -1397.12      648.15        1251.85       1377.25       4.46          
58      -1157.06      694.06        1134.05       1377.25       4.48          
59      -1139.60      719.33        1252.14       1377.25       4.34          
60      -1112.29      673.72        1191.38       1377.25       4.44          
61      -1233.46      771.11        1183.26       1377.25       4.55          
62      -1092.78      508.52        1082.39       1377.25       4.53          
63      -1251.66      783.96        1304.82       1377.25       4.48          
64      -1819.80      812.61        1218.42       1377.25       4.55          
65      -568.58       632.17        1225.23       1377.25       4.43          
66      -1136.29      822.23        1327.44       1377.25       4.50          
67      -1347.51      795.15        1240.70       1377.25       4.51          
68      -980.83       758.74        1315.33       1377.25       4.63          
69      -1457.24      711.28        1176.50       1377.25       4.46          
