experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: HalfCheetah-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 20
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: True
	optimize_x0: True
elapsed_time: 15388.039571285248

Genome Size: 880
Free Parameters: {'V': 340, 'W': 400, 'T': 120, 'x_0': 20}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -633.76       -591.80       -545.75       -562.02       10.59         
1       -662.90       -589.93       -536.45       -562.02       6.72          
2       -641.13       -585.64       -493.37       -538.01       6.47          
3       -655.48       -588.42       -522.99       -538.01       6.49          
4       -673.89       -585.51       -543.10       -538.01       6.49          
5       -639.93       -585.54       -515.86       -538.01       6.57          
6       -725.48       -585.82       -508.21       -538.01       6.57          
7       -641.24       -587.08       -525.04       -538.01       6.69          
8       -630.77       -582.51       -527.04       -533.18       6.52          
9       -618.13       -583.82       -491.20       -533.18       6.33          
10      -612.65       -582.96       -512.88       -533.18       6.56          
11      -636.68       -583.01       -518.92       -533.18       6.46          
12      -667.28       -584.42       -530.76       -533.18       6.63          
13      -619.29       -584.10       -514.18       -533.18       6.71          
14      -617.35       -580.19       -475.56       -533.18       6.55          
15      -638.35       -581.06       -447.36       -521.14       6.86          
16      -814.09       -583.00       -480.65       -521.14       6.25          
17      -639.06       -581.66       -493.60       -488.83       6.73          
18      -652.45       -579.09       -525.52       -488.83       6.67          
19      -650.49       -577.85       -511.63       -488.83       6.47          
20      -625.55       -576.39       -500.00       -488.83       6.54          
21      -694.48       -580.18       -504.33       -488.83       6.79          
22      -672.78       -572.78       -439.03       -488.83       6.55          
23      -761.29       -577.48       -384.44       -449.86       6.63          
24      -668.30       -570.58       -472.03       -449.86       6.53          
25      -723.88       -569.15       -346.35       -379.90       6.44          
26      -623.93       -571.62       -493.89       -379.90       6.60          
27      -695.19       -572.65       -447.66       -379.90       6.38          
28      -646.63       -566.45       -238.18       -379.90       6.57          
29      -640.77       -566.52       -452.17       -379.90       6.52          
30      -669.34       -567.03       -281.18       -379.90       6.40          
31      -635.52       -567.37       -362.72       -379.90       6.74          
32      -722.14       -566.39       -393.31       -379.90       6.31          
33      -722.81       -565.60       -374.21       -292.40       6.62          
34      -755.56       -564.64       -450.63       -292.40       6.36          
35      -724.03       -564.91       -407.74       -292.40       6.88          
36      -637.44       -556.56       -240.91       -292.40       6.55          
37      -715.37       -558.70       -320.71       -292.40       6.41          
38      -732.58       -564.84       -354.66       -292.40       6.70          
39      -740.58       -561.02       -386.35       -292.40       6.51          
40      -718.28       -558.74       -313.86       -292.40       6.53          
41      -742.03       -558.67       -242.18       -292.40       6.57          
42      -694.04       -561.66       -290.66       -292.40       6.52          
43      -720.03       -559.14       74.98         -227.04       6.61          
44      -737.44       -559.19       -217.03       -227.04       6.50          
45      -796.67       -553.06       -83.14        -227.04       6.58          
46      -756.95       -550.11       118.23        -137.88       6.62          
47      -739.07       -547.78       -316.73       -137.88       6.60          
48      -753.33       -551.65       -59.98        -137.88       6.28          
49      -627.49       -541.25       -185.32       -137.88       6.75          
50      -760.44       -547.85       -46.90        -137.88       6.26          
51      -824.84       -540.30       -149.78       -137.88       6.43          
52      -692.75       -543.42       -37.75        -137.88       6.65          
53      -715.23       -545.79       -188.54       -137.88       6.75          
54      -812.75       -540.40       -100.87       -137.88       6.63          
55      -712.73       -550.10       46.04         -137.88       6.24          
56      -716.45       -548.05       -174.89       -137.88       6.66          
57      -884.25       -542.44       101.49        -137.88       6.59          
58      -763.21       -532.77       384.68        -137.88       6.58          
59      -739.20       -539.55       102.34        143.98        6.32          
60      -734.48       -528.42       523.79        143.98        6.57          
61      -707.33       -518.08       313.13        143.98        6.65          
62      -672.11       -517.15       83.97         143.98        6.35          
63      -828.68       -537.52       -93.44        143.98        6.55          
64      -718.79       -496.25       99.49         143.98        6.67          
65      -670.27       -477.30       383.30        143.98        6.32          
66      -728.19       -492.51       634.00        143.98        6.56          
67      -722.26       -473.50       892.37        344.90        6.40          
68      -744.26       -471.34       335.69        344.90        6.81          
69      -757.05       -451.24       423.70        344.90        6.45          
70      -717.28       -427.48       607.86        344.90        6.57          
71      -759.72       -459.11       323.67        344.90        6.63          
72      -797.82       -451.13       712.13        522.27        6.65          
73      -711.23       -432.10       1303.04       522.27        6.68          
74      -719.22       -413.97       1199.34       860.56        6.56          
75      -668.33       -359.73       903.82        860.56        6.44          
76      -696.08       -369.14       775.27        860.56        6.53          
77      -660.44       -333.64       830.25        860.56        6.42          
78      -669.80       -395.67       800.14        860.56        6.83          
79      -668.12       -300.76       1042.05       860.56        6.39          
80      -714.81       -378.91       1147.27       860.56        6.64          
81      -652.58       -349.54       957.99        860.56        6.61          
82      -724.02       -381.26       868.85        860.56        6.57          
83      -793.82       -319.26       678.85        860.56        6.78          
84      -665.87       -278.05       1205.92       860.56        6.59          
85      -677.95       -333.52       994.25        872.20        6.62          
86      -661.36       -236.53       1117.89       899.53        6.71          
87      -691.84       -270.81       1000.39       899.53        6.56          
88      -697.92       -282.65       1358.45       917.90        6.63          
89      -653.80       -254.43       1287.04       917.90        6.59          
90      -667.91       -177.58       1332.19       1027.50       6.67          
91      -652.32       -205.21       1230.18       1083.63       6.71          
