experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Hopper-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 5
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: True
	alpha: 0.0
elapsed_time: 19154.80157804489

Genome Size: 100
Free Parameters: {'V': 55, 'W': 25, 'T': 15, 'x_0': 5}
Inputs: 11
Outputs: 3

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -0.60         14.07         139.64        119.06        8.51          
1       -0.68         15.47         178.26        179.64        0.80          
2       -0.57         18.13         193.43        193.96        0.84          
3       -0.17         15.95         135.64        193.96        0.72          
4       -0.61         18.97         124.61        193.96        0.75          
5       0.01          19.22         133.59        193.96        0.77          
6       0.23          21.99         131.70        193.96        0.81          
7       -0.72         21.87         194.08        197.33        0.80          
8       -0.62         21.81         130.81        197.33        0.81          
9       0.23          21.88         118.08        197.33        0.80          
10      0.19          27.42         157.78        197.33        0.80          
11      -0.95         32.27         223.31        197.33        1.03          
12      0.26          29.40         120.74        197.33        0.78          
13      -0.31         29.81         121.92        197.33        0.89          
14      -0.33         30.76         201.42        206.08        0.79          
15      -0.51         31.89         212.23        211.34        0.77          
16      0.15          34.49         178.45        211.34        0.78          
17      -0.59         33.61         157.12        211.34        0.79          
18      -0.54         31.26         143.63        211.34        0.79          
19      -0.84         31.49         185.76        211.34        0.78          
20      -1.36         34.22         211.21        211.34        0.87          
21      -0.53         39.49         188.92        211.34        0.88          
22      -1.16         40.64         274.33        211.34        0.94          
23      -1.37         41.60         191.47        211.34        0.90          
24      -0.50         46.21         308.11        253.87        1.05          
25      -1.10         42.35         215.37        253.87        1.01          
26      -1.04         43.55         243.17        253.87        0.92          
27      -0.49         41.82         286.68        270.12        1.16          
28      -1.31         44.20         209.53        270.12        0.95          
29      -0.40         55.10         236.00        270.12        0.95          
30      -1.15         65.06         361.13        351.20        1.28          
31      -1.19         56.69         263.26        351.20        1.00          
32      -1.16         65.92         442.83        351.20        1.27          
33      -0.75         72.98         295.58        351.20        1.13          
34      -1.47         66.30         392.11        351.20        1.15          
35      -1.19         76.58         476.40        452.83        1.44          
36      -0.59         74.71         330.29        452.83        1.22          
37      -0.58         71.42         284.21        452.83        1.18          
38      -1.16         83.23         386.03        452.83        1.34          
39      -1.28         87.90         590.55        563.24        1.69          
40      -1.32         80.03         421.54        563.24        1.31          
41      -0.89         97.60         691.99        761.92        1.96          
42      0.35          94.00         501.07        761.92        1.53          
43      -1.30         112.27        1004.23       816.37        2.19          
44      -1.23         99.50         661.43        816.37        1.99          
45      -1.35         101.00        693.42        816.37        1.88          
46      -1.42         89.91         995.68        978.57        2.47          
47      -1.67         87.32         709.57        978.57        1.76          
48      -1.32         94.08         988.12        978.57        2.22          
49      -1.23         93.08         958.71        978.57        2.19          
50      -1.49         96.20         870.53        978.57        2.06          
51      -1.79         106.30        548.39        978.57        1.78          
52      1.59          104.99        549.97        978.57        1.66          
53      -1.54         106.70        983.03        978.57        2.45          
54      -1.44         93.99         779.43        978.57        1.95          
55      -1.58         100.53        1025.26       978.57        2.19          
56      -1.66         127.91        732.04        978.57        1.91          
57      -0.89         132.63        974.11        978.57        2.38          
58      -1.48         147.45        987.12        984.86        2.78          
59      -1.36         118.19        1004.15       997.52        2.50          
60      -1.68         120.54        798.51        997.52        2.09          
61      -1.33         124.00        993.58        997.52        2.50          
62      -1.73         137.29        1006.75       1004.79       2.73          
63      -1.32         123.98        1009.48       1015.17       2.50          
64      -1.71         122.88        699.13        1015.17       1.92          
65      -1.16         117.45        637.80        1015.17       1.79          
66      -1.70         135.66        975.30        1015.17       2.58          
67      2.20          165.97        1008.73       1015.17       2.52          
68      -1.17         156.52        893.77        1015.17       2.40          
69      -1.43         207.64        1000.28       1015.17       3.18          
70      -1.54         198.90        992.27        1015.17       3.16          
71      1.72          213.36        1009.40       1015.17       3.05          
72      -1.47         246.44        1027.10       1015.17       3.51          
73      -1.66         216.26        1021.29       1015.17       3.38          
74      -1.45         235.21        1021.78       1015.17       3.71          
75      2.72          229.60        1021.26       1015.17       3.26          
76      1.57          213.71        1009.09       1015.17       3.20          
77      1.88          237.00        1013.07       1015.17       3.75          
78      3.89          221.11        1013.05       1015.17       3.39          
79      -1.01         300.55        1016.19       1015.17       3.81          
80      -1.51         336.61        1020.61       1015.17       4.06          
81      4.27          344.64        1013.00       1015.17       4.18          
82      2.93          317.28        1028.09       1019.16       3.90          
83      -0.00         336.98        1034.44       1019.16       4.31          
84      4.91          359.89        1027.11       1019.16       4.43          
85      5.10          342.31        1027.56       1019.16       4.32          
86      -0.79         422.88        1027.69       1019.16       4.79          
87      2.43          367.38        1024.12       1019.16       4.32          
88      3.79          431.47        1025.50       1019.16       4.88          
89      3.77          431.57        1020.15       1019.16       5.17          
90      5.99          423.01        1022.93       1019.16       4.67          
91      5.23          391.98        1018.70       1019.16       4.66          
92      5.24          460.73        1026.07       1019.16       5.25          
93      -1.51         403.11        1019.99       1019.16       4.71          
94      5.03          473.04        1021.71       1019.16       5.31          
95      6.16          512.64        1025.85       1019.16       5.43          
96      6.98          537.32        1027.61       1019.16       5.95          
97      6.70          539.30        1026.74       1019.16       5.53          
98      5.50          551.23        1025.23       1019.16       5.96          
99      4.94          590.02        1032.53       1019.16       6.06          
100     4.82          544.91        1026.79       1019.16       5.90          
101     4.12          586.79        1027.84       1026.73       6.02          
102     6.09          588.83        1028.54       1026.73       6.09          
103     3.07          565.87        1030.31       1026.73       5.96          
104     3.07          606.61        1028.75       1026.73       6.21          
105     5.90          616.13        1025.87       1026.73       6.38          
106     6.28          595.69        1029.84       1026.73       6.20          
107     10.58         695.15        1028.76       1026.73       6.86          
108     22.28         648.75        1028.22       1026.73       6.62          
109     7.54          683.38        1027.41       1026.73       6.87          
110     11.65         751.42        1028.51       1026.73       7.09          
111     20.22         706.73        1027.61       1026.73       6.92          
112     13.07         753.89        1027.33       1026.73       7.39          
113     20.61         735.07        1030.64       1026.73       6.91          
114     123.91        745.51        1030.37       1026.73       7.36          
115     8.35          779.55        1031.81       1028.34       7.57          
116     29.35         757.41        1028.88       1028.34       7.09          
117     4.11          767.47        1030.84       1028.34       7.42          
118     1.72          738.80        1032.12       1028.34       7.18          
119     4.41          817.05        1029.43       1028.34       7.67          
120     152.91        849.76        1027.05       1028.34       7.92          
121     110.67        824.53        1031.48       1028.34       7.94          
122     210.01        833.52        1029.67       1028.34       7.92          
123     171.81        834.80        1030.05       1028.34       7.74          
124     24.41         833.12        1032.72       1028.34       7.82          
125     179.75        853.77        1029.97       1028.34       7.94          
126     145.08        836.48        1031.95       1028.34       7.89          
127     333.21        884.76        1032.35       1028.34       7.93          
128     221.10        853.98        1029.98       1028.34       7.98          
129     249.00        874.04        1031.45       1028.34       8.27          
130     264.94        843.59        1030.37       1028.34       7.80          
131     85.06         853.01        1031.03       1028.34       8.02          
132     250.55        870.15        1032.10       1028.34       8.09          
