experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Swimmer-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: GRUNN
	hidden_layer_structure: [20]
	use_bias: False
elapsed_time: 20266.95421409607

Genome Size: 1720
Free Parameters: {'layer 0': {'input_weight_matrix': 480, 'hidden_weight_matrix': 1200}, 'output_weight_matrix': 40}
Inputs: 8
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -59.62        -6.50         182.05        170.37        12.10         
1       -82.24        -6.51         112.79        170.37        8.84          
2       -95.30        -6.23         95.27         170.37        9.03          
3       -72.47        -5.26         153.01        170.37        8.55          
4       -69.23        -1.69         84.30         170.37        8.37          
5       -81.94        -0.69         146.20        170.37        8.73          
6       -67.91        -0.73         129.23        170.37        9.32          
7       -122.49       -1.85         86.99         170.37        8.65          
8       -107.18       0.48          120.85        170.37        8.73          
9       -92.27        8.28          143.58        170.37        8.70          
10      -53.58        15.96         195.71        186.68        8.73          
11      -81.57        16.66         127.52        186.68        8.55          
12      -36.55        20.71         195.23        202.87        8.46          
13      -119.18       26.96         169.58        202.87        8.31          
14      -124.92       24.51         167.45        202.87        8.46          
15      -202.58       34.75         178.91        202.87        8.72          
16      -88.26        43.63         197.32        202.87        8.81          
17      -36.29        56.73         209.34        203.97        8.48          
18      -144.73       54.29         206.44        203.97        8.30          
19      -98.32        65.15         223.94        223.16        8.59          
20      -66.39        75.64         206.15        223.16        8.61          
21      -86.26        93.05         236.49        232.02        8.04          
22      -49.18        91.96         240.54        238.84        8.41          
23      -106.13       94.64         233.40        238.84        8.34          
24      -107.23       102.51        309.67        303.19        8.13          
25      -85.82        96.55         219.67        303.19        8.31          
26      -161.67       99.03         242.69        303.19        8.28          
27      -40.57        107.64        252.27        303.19        8.27          
28      -58.80        116.91        256.99        303.19        8.15          
29      -29.20        119.12        321.37        325.08        8.05          
30      -35.14        130.58        281.27        325.08        8.09          
31      -57.36        122.03        253.21        325.08        8.23          
32      -39.62        117.22        297.16        325.08        8.44          
33      -71.63        128.88        273.74        325.08        7.65          
34      -56.66        146.91        290.50        325.08        8.19          
35      -40.43        136.88        277.56        325.08        8.08          
36      -55.23        141.35        282.93        325.08        9.02          
37      -45.61        140.30        294.06        325.08        8.00          
38      -35.37        150.49        280.22        325.08        8.49          
39      -50.35        147.30        293.10        325.08        8.86          
40      -6.37         153.88        293.11        325.08        8.21          
41      -61.85        147.56        277.65        325.08        8.45          
42      -68.98        147.82        322.40        325.08        8.04          
43      -30.32        151.86        279.89        325.08        8.53          
44      -51.83        153.78        280.53        325.08        8.70          
45      -7.00         151.92        279.39        325.08        8.59          
46      -47.34        160.96        285.89        325.08        8.17          
47      -37.77        160.31        294.93        325.08        8.43          
48      -59.98        152.42        321.84        325.08        8.76          
49      -84.35        167.29        307.74        325.08        7.98          
50      -41.20        155.98        308.38        325.08        8.79          
51      -29.42        165.42        317.52        325.08        7.92          
52      -74.71        156.78        302.45        325.08        8.24          
53      -28.54        172.50        312.93        325.08        7.63          
54      -15.61        181.71        323.10        325.08        8.52          
55      -54.00        164.94        308.55        325.08        8.61          
56      -16.60        170.75        323.68        325.08        7.94          
57      -17.42        172.66        314.83        325.08        8.33          
58      -37.60        166.99        308.99        325.08        8.19          
59      -40.02        169.25        330.31        326.77        8.36          
60      -18.39        167.46        324.80        326.77        8.22          
61      -89.38        175.18        317.97        326.77        8.20          
62      -39.23        165.62        319.47        326.77        7.97          
63      -63.13        177.08        317.96        326.77        8.17          
64      -34.00        173.49        303.19        326.77        7.95          
65      -111.30       187.57        298.32        326.77        8.08          
66      -109.10       178.99        320.79        326.77        7.78          
67      -8.76         182.32        323.86        326.77        8.27          
68      -14.68        193.18        321.28        326.77        7.84          
69      2.24          191.72        316.69        326.77        7.92          
70      -41.06        187.11        320.42        326.77        7.80          
71      -85.83        186.25        321.32        326.77        8.43          
72      -27.22        179.67        327.02        330.44        7.91          
73      -12.78        185.34        312.60        330.44        8.21          
74      -8.49         184.62        320.10        330.44        7.66          
75      -51.78        179.86        324.43        330.44        8.09          
76      -68.29        193.27        330.94        330.44        7.72          
77      -38.37        186.37        319.64        330.44        7.71          
78      -23.92        199.07        325.61        330.44        8.08          
79      -24.00        195.43        326.71        330.44        7.98          
80      -55.63        193.39        325.76        330.44        8.00          
81      -72.36        188.05        325.53        330.44        8.22          
82      -32.50        191.49        315.96        330.44        7.66          
83      -71.19        193.79        316.12        330.44        8.22          
84      -65.27        197.18        321.43        330.44        7.78          
85      -30.45        198.12        323.25        330.44        8.19          
86      -22.90        202.87        325.30        330.44        7.80          
87      -50.34        199.37        321.25        330.44        8.22          
88      -7.90         207.70        322.06        330.44        7.91          
89      -80.60        189.71        317.40        330.44        7.91          
90      -98.88        197.52        325.77        330.44        8.10          
91      -47.60        195.29        314.61        330.44        7.80          
92      -46.49        189.56        315.08        330.44        8.22          
93      -73.25        202.21        328.13        330.44        8.07          
94      -62.54        207.54        326.72        330.44        7.75          
95      -40.61        205.79        325.27        330.44        7.72          
96      -55.57        212.29        329.65        330.44        7.71          
97      -43.05        201.56        326.67        330.44        7.76          
98      -27.70        212.57        327.69        330.44        7.82          
99      -38.67        199.48        324.02        330.44        7.99          
100     -23.48        207.01        327.42        330.44        8.37          
101     -15.99        213.22        326.47        330.44        8.23          
102     6.44          212.50        331.50        330.44        8.79          
103     -56.57        209.25        325.56        330.44        7.90          
104     -18.71        197.46        332.46        330.44        8.63          
105     -11.43        211.49        318.34        330.44        8.01          
106     -110.12       200.84        327.11        330.44        8.06          
107     -47.65        203.38        328.57        331.97        7.99          
108     -86.40        199.45        326.66        331.97        8.49          
109     -28.37        205.79        331.54        335.02        8.10          
110     -49.99        202.56        325.21        335.02        8.07          
111     -70.30        216.94        322.87        335.02        8.31          
112     -63.31        219.06        331.34        335.02        8.67          
113     -92.87        211.21        322.89        335.02        8.08          
114     -44.95        200.19        334.00        335.02        8.23          
115     -49.62        214.00        328.04        335.02        8.16          
116     -92.76        212.20        336.81        335.02        8.42          
117     -33.28        200.43        326.58        335.02        8.39          
118     -11.12        206.96        326.84        335.02        7.48          
119     -38.67        217.71        325.95        335.02        8.07          
120     -74.32        215.62        328.26        335.02        7.93          
121     -1.82         226.87        340.95        340.41        8.01          
122     -47.58        217.94        333.08        340.41        7.70          
123     -39.78        212.14        336.98        340.41        7.87          
124     -39.12        202.88        342.01        340.41        7.94          
125     -38.36        212.28        332.51        340.41        8.08          
126     -22.12        219.88        330.85        340.41        8.13          
127     -31.65        224.37        337.94        340.41        8.31          
128     -64.98        229.46        326.57        340.41        7.84          
129     -64.98        232.12        328.81        340.41        7.87          
130     -16.34        226.43        333.55        340.41        8.17          
131     -45.65        229.98        329.94        340.41        8.05          
132     -24.34        240.47        342.36        341.28        7.79          
133     -5.89         221.11        336.15        341.28        8.17          
134     -16.25        228.98        336.06        341.28        7.90          
135     -56.52        234.00        333.73        341.28        7.87          
136     -43.43        233.92        333.74        341.28        7.63          
137     -4.62         236.18        332.54        341.28        7.68          
138     -41.08        228.65        335.29        341.28        7.33          
139     -27.63        232.39        344.44        341.97        7.92          
140     -60.90        227.80        333.25        341.97        7.77          
141     -62.25        235.41        331.65        341.97        8.09          
142     -49.25        235.30        334.78        341.97        7.67          
143     -69.69        231.51        336.29        341.97        7.89          
144     -66.73        240.16        335.45        341.97        8.15          
145     -15.47        238.85        337.86        341.97        7.72          
146     -10.31        238.08        328.67        341.97        8.02          
147     0.48          241.84        338.71        341.97        7.83          
