experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Reacher-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: GRUNN
	hidden_layer_structure: [5]
	use_bias: True
elapsed_time: 1741.941208600998

Genome Size: 265
Free Parameters: {'layer 0': {'input_weight_matrix': 165, 'hidden_weight_matrix': 75, 'bias': 15}, 'output_weight_matrix': 10}
Inputs: 11
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -7366.88      -1579.85      -18.52        -52.68        8.56          
1       -6040.90      -1077.32      -63.87        -52.68        0.76          
2       -7567.08      -1283.14      -24.15        -24.58        0.81          
3       -11528.89     -1212.99      -17.43        -24.58        0.69          
4       -5803.34      -1001.27      -29.99        -24.58        0.91          
5       -4787.39      -1071.69      -55.86        -24.58        0.68          
6       -8103.72      -1025.99      -29.66        -24.58        0.72          
7       -6182.07      -1063.66      -46.49        -24.58        0.75          
8       -5743.48      -1028.33      -41.33        -24.58        0.73          
9       -7778.31      -1143.52      -29.96        -24.58        0.73          
10      -4729.12      -1035.51      -100.56       -24.58        0.76          
11      -4611.73      -1067.60      -43.52        -24.58        0.79          
12      -4711.18      -1025.71      -30.80        -21.95        0.74          
13      -5076.67      -973.25       -28.03        -21.95        0.68          
14      -6659.31      -930.49       -30.37        -21.95        0.68          
15      -4832.90      -1004.63      -18.64        -21.95        0.69          
16      -5010.85      -1078.22      -18.67        -21.95        0.73          
17      -4433.47      -905.17       -31.88        -21.95        0.69          
18      -6719.29      -919.38       -13.53        -13.44        0.73          
19      -6972.98      -941.76       -26.68        -13.44        0.68          
20      -4150.84      -906.24       -9.38         -13.44        0.71          
21      -4891.93      -943.54       -34.96        -13.44        0.68          
22      -3743.73      -835.43       -20.95        -13.44        0.64          
23      -4835.03      -791.35       -10.77        -11.82        0.71          
24      -3264.50      -838.53       -22.92        -11.82        0.76          
25      -4036.02      -831.75       -10.56        -11.82        0.73          
26      -3438.50      -803.47       -10.17        -11.82        0.70          
27      -4440.35      -809.70       -6.97         -11.82        0.83          
28      -5517.22      -723.41       -7.94         -11.15        0.73          
29      -5141.13      -692.19       -10.55        -11.15        0.66          
30      -3094.98      -544.47       -11.29        -11.15        0.72          
31      -5192.58      -531.02       -10.85        -10.79        0.80          
32      -4033.99      -539.98       -10.99        -10.79        0.70          
33      -4739.89      -515.32       -10.61        -10.79        0.68          
34      -6215.71      -471.73       -5.35         -10.79        0.68          
35      -4958.45      -355.34       -7.78         -10.79        0.69          
36      -8795.85      -515.14       -9.28         -10.79        0.72          
37      -3042.91      -338.06       -9.37         -9.86         0.69          
38      -7635.31      -502.24       -9.85         -9.34         0.67          
39      -3463.65      -492.84       -9.43         -9.34         0.68          
40      -4836.40      -478.06       -9.67         -9.34         0.69          
41      -8246.17      -568.61       -7.00         -9.34         0.70          
42      -4624.68      -433.04       -9.08         -9.34         0.71          
43      -4904.26      -355.02       -8.58         -9.34         0.71          
44      -7520.96      -488.46       -8.35         -9.34         0.79          
45      -8488.03      -422.76       -8.37         -9.34         0.68          
46      -18156.46     -562.21       -10.05        -9.34         0.71          
47      -7681.49      -461.22       -8.72         -9.34         0.74          
48      -9498.10      -361.00       -10.53        -9.34         0.69          
49      -12504.80     -483.49       -6.17         -9.34         0.70          
50      -10781.61     -357.26       -9.95         -9.31         0.66          
51      -10481.29     -278.57       -8.58         -9.31         0.67          
52      -9472.07      -495.71       -9.56         -9.31         0.61          
53      -13008.87     -291.42       -10.26        -9.31         0.67          
54      -7045.50      -346.96       -10.11        -9.31         0.72          
55      -14274.11     -390.64       -8.54         -9.31         0.71          
56      -7636.79      -304.42       -10.16        -9.31         0.67          
57      -2567.87      -165.12       -10.52        -9.31         0.68          
58      -10011.69     -258.40       -10.85        -9.31         0.69          
59      -8997.99      -337.68       -9.97         -9.31         0.70          
60      -9040.61      -322.60       -8.59         -9.31         0.71          
61      -17681.62     -550.59       -8.51         -9.18         0.72          
62      -8181.35      -454.70       -9.35         -9.18         0.80          
63      -14717.49     -455.89       -6.51         -9.18         0.70          
64      -14353.83     -453.87       -7.36         -9.08         0.71          
65      -15801.44     -617.97       -7.34         -9.08         0.69          
66      -10435.35     -526.27       -7.43         -9.08         0.68          
67      -8771.32      -367.36       -9.74         -9.08         0.68          
68      -13488.43     -439.17       -9.22         -9.08         0.75          
69      -14760.82     -551.65       -9.56         -9.08         0.73          
70      -11362.21     -342.89       -9.43         -9.08         0.68          
71      -10204.19     -460.95       -10.24        -9.08         0.72          
72      -6497.22      -368.34       -9.60         -9.08         0.74          
73      -5840.82      -320.73       -10.27        -9.08         0.72          
