experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Reacher-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 5
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: False
	alpha: 0.0
elapsed_time: 1572.7098906040192

Genome Size: 90
Free Parameters: {'V': 55, 'W': 25, 'T': 10}
Inputs: 11
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -107.50       -88.02        -22.79        -29.66        8.51          
1       -105.54       -86.88        -34.25        -29.66        0.72          
2       -105.65       -85.47        -33.38        -29.66        0.70          
3       -106.88       -86.40        -28.69        -29.66        0.68          
4       -105.19       -84.35        -15.83        -17.79        0.72          
5       -105.89       -82.57        -24.04        -17.79        0.67          
6       -106.91       -81.01        -18.05        -17.79        0.64          
7       -104.34       -80.90        -13.90        -17.79        0.68          
8       -107.53       -77.29        -17.49        -17.79        0.68          
9       -108.71       -80.24        -15.72        -15.60        0.67          
10      -107.00       -80.23        -17.97        -15.60        0.67          
11      -104.68       -74.52        -13.14        -15.60        0.64          
12      -106.41       -75.77        -20.70        -15.60        0.68          
13      -107.98       -78.64        -16.30        -15.60        0.61          
14      -107.53       -77.45        -16.60        -13.27        0.60          
15      -107.72       -75.99        -16.07        -13.27        0.63          
16      -106.85       -72.98        -11.88        -12.88        0.66          
17      -107.27       -74.53        -22.79        -12.88        0.63          
18      -103.87       -74.32        -14.90        -12.88        0.68          
19      -108.56       -75.52        -20.97        -12.88        0.62          
20      -106.25       -77.26        -22.99        -12.88        0.62          
21      -104.41       -75.55        -18.43        -12.88        0.67          
22      -107.02       -75.85        -19.66        -12.88        0.65          
23      -103.87       -72.64        -20.26        -12.88        0.61          
24      -107.05       -71.52        -18.88        -12.88        0.63          
25      -107.24       -72.89        -9.58         -10.54        0.64          
26      -108.49       -74.12        -17.43        -10.54        0.63          
27      -108.33       -73.75        -23.20        -10.54        0.65          
28      -104.83       -71.88        -19.52        -10.54        0.63          
29      -104.96       -69.41        -11.27        -10.54        0.63          
30      -106.39       -73.89        -17.65        -10.54        0.66          
31      -104.17       -71.24        -18.59        -10.54        0.62          
32      -105.22       -67.68        -13.85        -10.54        0.62          
33      -102.92       -65.28        -19.03        -10.54        0.63          
34      -106.02       -65.76        -16.24        -10.54        0.63          
35      -101.92       -63.81        -16.79        -10.54        0.62          
36      -103.67       -63.05        -13.44        -10.54        0.62          
37      -102.27       -57.98        -13.94        -10.54        0.64          
38      -103.31       -58.70        -13.45        -10.54        0.65          
39      -103.17       -57.96        -15.17        -10.54        0.64          
40      -102.23       -54.51        -10.49        -10.54        0.61          
41      -105.19       -53.84        -10.96        -10.54        0.66          
42      -102.00       -53.53        -7.02         -10.54        0.63          
43      -105.81       -51.37        -10.59        -10.54        0.63          
44      -104.21       -57.08        -13.56        -10.54        0.61          
45      -100.81       -51.26        -10.71        -10.54        0.60          
46      -104.72       -46.97        -11.70        -10.54        0.60          
47      -104.78       -53.01        -14.63        -10.54        0.67          
48      -105.54       -48.58        -8.61         -10.54        0.60          
49      -105.77       -51.48        -11.56        -10.54        0.61          
50      -102.48       -49.81        -10.41        -10.54        0.59          
51      -102.76       -50.50        -10.45        -10.54        0.64          
52      -103.78       -47.76        -11.60        -10.34        0.64          
53      -101.87       -45.89        -8.41         -10.34        0.64          
54      -100.35       -43.73        -9.08         -10.34        0.64          
55      -101.05       -45.79        -6.17         -10.34        0.64          
56      -99.95        -49.71        -14.23        -10.34        0.61          
57      -101.05       -45.69        -11.32        -10.34        0.64          
58      -102.07       -42.75        -12.44        -10.30        0.60          
59      -100.25       -42.42        -10.24        -10.30        0.64          
60      -101.45       -42.17        -12.39        -10.30        0.67          
61      -99.40        -35.36        -6.06         -10.30        0.62          
62      -99.48        -32.37        -10.12        -10.30        0.65          
