experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Swimmer-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 50
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 1.0
	set_principle_diagonal_elements_of_W_negative: True
	optimize_x0: True
elapsed_time: 5517.918798446655

Genome Size: 3050
Free Parameters: {'V': 400, 'W': 2500, 'T': 100, 'x_0': 50}
Inputs: 8
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -76.20        -0.20         73.81         67.20         19.70         
1       -144.00       -2.89         74.35         67.20         2.40          
2       -68.62        -1.63         104.17        100.98        2.38          
3       -85.31        0.23          166.68        160.27        2.41          
4       -54.81        1.97          140.73        160.27        2.37          
5       -62.74        5.75          107.97        160.27        2.36          
6       -87.18        1.90          150.24        160.27        2.38          
7       -75.70        3.37          91.65         160.27        2.37          
8       -63.80        6.15          126.35        160.27        2.37          
9       -55.85        7.35          121.21        160.27        2.38          
10      -135.31       10.73         166.30        172.64        2.37          
11      -150.49       19.48         204.97        193.92        2.39          
12      -74.93        23.24         212.04        196.01        2.36          
13      -88.30        24.18         163.67        196.01        2.37          
14      -100.38       28.84         225.40        223.26        2.35          
15      -39.36        41.29         213.21        223.26        2.34          
16      -74.44        54.98         206.36        223.26        2.34          
17      -45.73        74.54         248.49        250.96        2.30          
18      -43.00        82.38         248.55        250.96        2.32          
19      -89.11        97.32         258.20        258.61        2.34          
20      -77.36        113.52        247.49        258.61        2.28          
21      -45.38        128.65        275.66        270.65        2.22          
22      -125.02       143.73        285.52        288.98        2.18          
23      -89.94        148.43        289.64        290.09        2.19          
24      -23.31        171.69        290.29        290.09        2.17          
25      -37.22        166.76        289.63        290.32        2.17          
26      -25.18        178.77        320.89        319.24        2.18          
27      -34.78        177.17        314.55        321.31        2.20          
28      -12.18        198.36        330.69        324.34        2.21          
29      -21.90        193.19        324.36        324.34        2.27          
30      -27.07        196.00        324.64        325.60        2.23          
31      -29.69        202.70        331.06        334.10        2.20          
32      -31.08        206.70        330.36        334.10        2.21          
33      -65.65        219.57        339.23        337.12        2.25          
34      -12.89        222.01        342.67        339.51        2.23          
35      -26.58        222.93        330.68        339.51        2.26          
36      -43.45        226.90        336.38        339.51        2.24          
37      -27.34        244.57        355.76        354.66        2.24          
38      -71.74        240.35        335.65        354.66        2.18          
39      -34.11        245.51        342.70        354.66        2.21          
40      3.85          248.53        344.00        354.66        2.21          
41      -13.49        248.64        344.82        354.66        2.25          
42      -38.83        248.30        348.05        354.66        2.19          
43      -61.33        248.51        355.78        355.19        2.19          
44      -9.22         250.86        354.44        355.28        2.21          
45      -28.27        261.34        349.95        355.28        2.25          
46      -29.82        270.49        354.40        355.28        2.22          
47      -28.03        261.83        352.94        355.28        2.20          
48      -58.72        269.40        358.55        355.28        2.24          
49      -23.22        261.55        351.47        356.42        2.21          
50      -14.34        280.02        352.56        356.42        2.20          
51      -38.70        267.55        355.98        356.42        2.16          
52      -68.28        279.45        359.37        357.50        2.18          
53      0.87          291.34        360.37        359.07        2.17          
54      0.48          268.59        357.89        359.24        2.15          
55      -5.99         287.60        355.82        359.24        2.24          
56      -107.30       283.27        355.42        359.24        2.24          
57      -74.46        293.03        357.52        359.24        2.20          
58      -62.91        288.70        355.79        359.24        2.24          
59      -51.02        292.27        357.93        359.24        2.25          
60      24.93         306.88        359.60        359.24        2.27          
61      -99.06        295.05        357.75        359.24        2.26          
62      19.14         308.07        359.82        359.24        2.24          
63      -34.53        304.75        362.16        360.74        2.23          
64      4.55          307.38        356.35        360.74        2.22          
65      -58.52        308.53        361.02        360.74        2.18          
66      -64.55        293.63        359.07        360.74        2.25          
67      -38.37        313.52        360.16        360.74        2.20          
68      36.75         317.21        360.64        360.74        2.21          
69      -1.11         308.73        360.69        360.74        2.20          
70      83.52         315.36        358.65        360.74        2.23          
71      -67.53        310.52        358.56        360.74        2.25          
72      -83.09        308.09        361.32        360.74        2.22          
73      -115.47       314.32        359.08        360.74        2.16          
74      -4.03         314.50        360.86        361.84        2.17          
75      81.00         321.84        361.06        362.46        2.16          
76      -53.96        310.62        358.65        362.46        2.16          
77      79.46         317.53        360.77        362.64        2.15          
78      83.93         317.89        364.58        362.64        2.14          
79      -12.93        311.93        360.60        362.64        2.17          
80      -36.06        312.67        360.72        362.64        2.23          
81      -8.34         316.74        359.51        362.64        2.23          
82      69.20         320.88        358.75        362.64        2.25          
83      -63.30        323.60        359.53        362.64        2.25          
84      -91.21        321.18        362.25        362.64        2.22          
85      -109.65       323.68        360.42        362.64        2.21          
86      24.85         322.76        360.72        362.64        2.16          
87      -5.45         326.37        359.53        362.64        2.20          
88      34.68         330.02        360.97        362.64        2.22          
89      142.29        329.39        360.92        362.64        2.25          
90      -31.91        322.68        362.89        362.64        2.18          
91      -51.59        317.11        358.27        362.64        2.17          
92      -5.95         322.73        363.92        362.68        2.16          
93      61.87         325.18        361.87        363.56        2.25          
94      -27.61        321.24        360.75        363.56        2.24          
95      10.33         322.73        360.12        363.56        2.22          
96      -54.22        315.54        363.00        363.56        2.21          
97      -40.15        323.14        360.82        363.56        2.23          
98      -47.21        328.51        361.14        363.56        2.24          
99      -6.06         325.28        358.91        363.56        2.25          
100     35.92         329.85        361.28        363.56        2.21          
101     24.10         319.94        362.25        363.56        2.19          
102     -75.73        321.41        360.67        363.56        2.15          
103     48.74         322.65        360.60        363.56        2.13          
104     -72.13        318.50        360.70        363.56        2.13          
105     -50.24        316.74        364.36        363.56        2.14          
106     -4.60         328.43        361.28        363.56        2.13          
107     -67.86        311.68        364.03        363.56        2.13          
108     -39.44        313.49        361.33        363.56        2.16          
109     -61.09        323.94        363.78        363.56        2.15          
110     76.13         328.75        361.26        363.56        2.19          
111     73.69         323.73        362.65        363.56        2.23          
112     -68.13        323.49        361.12        363.56        2.24          
113     -35.57        322.70        361.65        363.56        2.22          
114     70.07         326.68        365.90        363.56        2.21          
115     -85.01        316.25        363.03        363.56        2.23          
116     -31.15        315.91        361.25        363.56        2.21          
117     -74.71        317.73        360.37        363.56        2.20          
118     -112.17       317.58        360.21        363.56        2.25          
119     -98.69        328.10        361.33        363.56        2.17          
120     -123.84       310.07        361.99        363.56        2.14          
121     -69.39        312.50        362.96        363.56        2.14          
122     -90.28        310.65        361.36        363.56        2.15          
123     -88.82        306.41        365.23        364.55        2.14          
124     -85.28        307.16        363.09        364.55        2.17          
125     -64.78        310.27        362.57        364.55        2.18          
126     -106.40       312.40        364.11        364.55        2.18          
127     -130.03       308.08        365.32        364.55        2.16          
128     -110.99       293.86        363.79        364.55        2.14          
129     -36.87        326.28        363.15        364.55        2.18          
130     -63.56        313.08        361.62        364.55        2.15          
131     -78.23        322.04        362.31        364.55        2.17          
132     -78.67        320.26        361.14        364.55        2.19          
133     -92.05        317.27        364.16        364.55        2.19          
134     -92.19        311.46        363.20        364.55        2.16          
135     -56.00        328.27        364.26        364.55        2.18          
136     -67.70        327.68        362.44        364.55        2.17          
137     -86.14        317.50        365.20        364.98        2.19          
138     -123.44       318.26        363.80        364.98        2.20          
139     -56.34        320.98        363.74        364.98        2.18          
140     -93.67        312.58        361.83        364.98        2.16          
141     -105.71       305.72        361.69        364.98        2.15          
142     -117.18       305.22        363.03        364.98        2.17          
143     -71.76        318.20        362.86        364.98        2.15          
144     -96.70        303.51        366.32        365.52        2.16          
145     -87.56        308.86        362.37        365.52        2.17          
146     -85.56        292.93        360.43        365.52        2.28          
147     -73.80        315.48        360.40        365.52        2.20          
148     -77.63        316.07        364.03        365.52        2.25          
149     -75.29        314.75        363.35        365.52        2.23          
150     -104.96       311.01        364.77        365.52        2.21          
151     -84.92        300.95        363.82        365.52        2.21          
152     -79.94        309.91        361.92        365.52        2.14          
153     -25.92        318.60        361.13        365.52        2.16          
