experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Walker2d-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 10
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: False
elapsed_time: 7846.919557332993

Genome Size: 330
Free Parameters: {'V': 170, 'W': 100, 'T': 60}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -113.38       -6.86         73.88         9.66          18.38         
1       -60.69        -6.34         66.62         18.49         0.43          
2       -66.08        -5.81         115.46        108.91        0.46          
3       -93.75        -0.14         306.47        287.69        0.74          
4       -38.81        -4.06         136.21        287.69        0.50          
5       -54.03        4.63          304.43        326.07        0.54          
6       -41.35        4.18          963.24        874.57        1.18          
7       -65.45        8.67          460.80        874.57        0.66          
8       -77.99        9.31          346.37        874.57        0.57          
9       -58.72        25.61         423.59        874.57        0.80          
10      -95.79        16.97         325.70        874.57        0.58          
11      -53.62        33.17         1040.50       1041.83       1.28          
12      -77.55        27.29         328.49        1041.83       0.64          
13      -82.43        37.52         375.17        1041.83       0.68          
14      -60.42        48.10         486.81        1041.83       0.78          
15      -76.48        68.37         382.39        1041.83       0.71          
16      -121.46       72.81         825.50        1041.83       1.12          
17      -65.52        77.22         585.59        1041.83       1.04          
18      -74.56        104.35        1006.21       1041.83       1.29          
19      -103.33       97.49         493.88        1041.83       1.01          
20      -52.24        113.21        961.54        1041.83       1.30          
21      -90.11        112.73        987.72        1041.83       1.37          
22      -70.48        113.62        640.50        1041.83       1.22          
23      -68.80        126.42        1031.99       1041.83       1.30          
24      -38.17        137.77        1009.09       1041.83       1.43          
25      -43.03        145.57        1069.93       1041.83       1.37          
26      -46.68        162.25        968.61        1041.83       1.38          
27      -53.56        169.03        1025.02       1041.83       1.44          
28      -51.24        153.18        1034.47       1041.83       1.35          
29      -30.47        169.20        1037.95       1041.83       1.46          
30      -46.29        209.74        1035.43       1041.83       1.42          
31      -76.43        211.91        1081.37       1083.68       1.51          
32      -40.96        234.30        1035.70       1083.68       1.41          
33      -64.31        244.70        1064.69       1083.68       1.59          
34      -33.43        232.12        1052.34       1083.68       1.55          
35      -34.50        312.61        1084.41       1083.68       1.79          
36      -60.12        350.62        1056.29       1083.68       1.86          
37      -69.66        375.94        1054.24       1083.68       1.95          
38      -115.21       388.25        1058.24       1083.68       1.85          
39      -32.31        396.34        1056.36       1083.68       1.98          
40      -13.64        470.40        1078.64       1083.68       2.13          
41      -47.27        396.12        1078.77       1083.68       1.78          
42      -53.04        448.12        1068.23       1083.68       2.10          
43      1.64          514.82        1068.54       1083.68       2.10          
44      -26.49        462.36        1119.02       1127.39       2.09          
45      -29.21        525.64        1125.72       1127.39       2.21          
46      -41.32        517.68        1069.18       1127.39       2.04          
47      -35.76        443.94        1102.32       1127.39       1.92          
48      -46.72        490.44        1084.94       1127.39       2.09          
49      -20.47        534.33        1179.16       1127.39       2.04          
50      -38.72        523.40        1079.35       1127.39       2.18          
51      -69.45        536.77        1136.47       1127.39       2.17          
52      -38.27        554.01        1104.35       1127.39       2.18          
53      -16.63        517.25        1078.41       1127.39       2.12          
54      -21.71        474.27        1084.52       1127.39       2.09          
55      -37.20        612.29        1087.49       1127.39       2.25          
56      -21.47        601.75        1083.37       1127.39       2.23          
