experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Hopper-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 10
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: False
elapsed_time: 18258.99903702736

Genome Size: 240
Free Parameters: {'V': 110, 'W': 100, 'T': 30}
Inputs: 11
Outputs: 3

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -1.53         9.81          121.14        150.78        8.25          
1       -1.67         11.12         155.94        158.53        0.81          
2       -1.52         11.01         127.31        158.53        0.84          
3       -1.30         12.17         162.55        169.68        0.71          
4       -0.78         14.00         166.23        186.29        0.78          
5       -1.96         14.53         182.04        186.29        0.94          
6       -1.03         20.47         181.96        186.29        0.79          
7       -1.26         19.02         117.03        186.29        0.79          
8       -1.10         21.31         141.69        186.29        0.81          
9       -1.00         23.71         160.68        186.29        0.80          
10      -1.59         28.31         505.73        530.87        1.32          
11      0.13          36.97         982.25        982.48        2.20          
12      -0.91         43.30         483.91        982.48        1.45          
13      0.23          37.60         174.65        982.48        0.85          
14      1.28          43.27         614.05        982.48        1.62          
15      0.36          48.72         991.85        994.06        2.38          
16      -0.32         60.19         540.85        994.06        1.37          
17      1.45          68.55         1024.91       1025.98       2.30          
18      -1.39         63.96         993.14        1025.98       2.30          
19      -1.54         76.22         1006.88       1025.98       2.38          
20      0.63          82.79         980.65        1025.98       2.40          
21      1.29          84.38         1000.72       1025.98       2.34          
22      1.34          97.66         994.48        1025.98       2.42          
23      3.54          119.84        992.78        1025.98       2.75          
24      3.12          109.48        1015.26       1025.98       2.62          
25      2.78          107.19        1017.94       1025.98       2.77          
26      0.37          123.48        1003.20       1025.98       2.62          
27      3.71          138.71        1025.63       1026.12       3.20          
28      1.65          131.35        1016.97       1026.12       2.89          
29      3.90          100.80        985.40        1026.12       2.59          
30      1.00          133.53        1010.67       1026.12       3.32          
31      -1.22         129.05        1029.75       1028.34       2.71          
32      -0.45         144.42        1015.54       1028.34       2.92          
33      3.98          140.95        1010.91       1028.34       2.72          
34      4.98          142.47        1027.05       1028.34       3.28          
35      3.11          191.10        1024.59       1028.34       3.14          
36      -0.97         171.39        1006.21       1028.34       2.93          
37      4.12          194.47        1028.06       1028.34       3.14          
38      5.47          166.64        1003.45       1028.34       3.44          
39      4.30          199.63        1029.52       1030.05       3.64          
40      5.05          208.42        1023.73       1030.05       3.71          
41      6.17          160.25        1010.71       1030.05       3.06          
42      6.06          203.87        1021.14       1030.05       3.26          
43      8.78          238.24        1027.36       1030.05       3.85          
44      6.15          220.11        1029.58       1030.05       3.19          
45      8.55          264.46        1022.28       1030.05       4.11          
46      6.71          215.97        1002.21       1030.05       3.38          
47      3.66          218.38        1025.16       1030.05       3.35          
48      5.42          277.70        1027.72       1030.05       3.88          
49      5.86          267.20        1031.04       1030.06       4.22          
50      4.78          268.64        1018.43       1030.06       3.97          
51      8.73          259.53        1028.89       1030.06       3.47          
52      7.98          231.83        1030.79       1030.98       3.66          
53      4.64          229.33        1061.04       1030.98       3.26          
54      5.65          250.81        1033.85       1030.98       3.79          
55      6.01          273.79        1029.16       1030.98       3.74          
56      5.64          253.02        1025.43       1030.98       3.54          
57      5.54          288.92        1038.40       1030.98       4.18          
58      5.05          296.76        1035.40       1030.98       4.00          
59      5.29          330.98        1026.30       1030.98       4.69          
60      8.76          300.99        1032.23       1032.08       3.92          
61      6.87          378.50        1032.25       1032.90       4.61          
62      7.77          315.26        1030.45       1032.90       4.34          
63      9.25          327.02        1031.84       1032.90       4.13          
64      7.42          306.46        1032.81       1032.90       4.59          
65      4.19          316.00        1031.90       1032.90       4.64          
66      4.92          387.09        1024.68       1032.90       4.92          
67      4.24          374.94        1029.56       1032.90       4.66          
68      6.01          353.33        1034.15       1032.90       4.94          
69      6.70          416.59        1031.15       1032.90       5.18          
70      8.95          410.87        1032.21       1032.90       5.18          
71      4.91          444.65        1032.53       1032.90       5.46          
72      2.60          363.07        1037.26       1032.90       4.33          
73      6.04          386.09        1033.88       1032.90       4.65          
74      8.79          401.80        1035.97       1036.18       5.25          
75      5.17          413.99        1027.79       1036.18       4.95          
76      7.03          461.31        1030.65       1036.18       5.63          
77      7.99          460.83        1031.90       1036.18       5.59          
78      7.46          462.81        1033.22       1036.18       5.40          
79      5.94          470.24        1035.87       1036.18       5.75          
80      9.95          507.09        1034.25       1036.18       5.86          
81      5.89          479.85        1037.14       1036.18       5.53          
82      6.01          437.59        1035.20       1036.18       5.18          
83      10.95         479.16        1035.22       1036.18       5.91          
84      3.38          435.73        1036.09       1036.18       5.33          
85      6.74          522.33        1033.45       1036.18       5.96          
86      8.07          439.93        1035.44       1036.18       5.29          
87      9.41          460.64        1034.97       1036.18       5.42          
88      9.69          472.20        1036.69       1036.18       5.59          
89      10.51         486.99        1038.20       1036.18       5.83          
90      10.99         517.41        1035.98       1036.18       6.12          
91      9.22          496.43        1036.41       1036.18       6.11          
92      17.37         498.44        1037.35       1036.18       5.73          
93      15.56         514.39        1037.27       1036.18       6.13          
94      14.60         561.25        1037.00       1036.18       6.43          
95      14.61         504.91        1034.41       1036.18       5.75          
96      5.58          554.52        1037.99       1036.18       6.29          
97      5.60          581.66        1035.09       1036.18       6.37          
98      8.68          575.58        1034.97       1036.18       6.28          
99      11.81         579.50        1035.17       1036.18       6.29          
100     21.57         572.57        1037.03       1036.18       6.36          
101     13.25         631.76        1035.19       1036.18       6.84          
102     18.14         596.73        1037.44       1037.50       6.74          
103     9.76          617.32        1034.55       1037.50       6.80          
104     10.20         583.37        1035.78       1037.50       6.67          
105     11.22         602.48        1033.88       1037.50       6.43          
106     10.63         633.00        1035.35       1037.50       6.96          
107     12.79         552.83        1036.34       1037.50       5.97          
108     13.38         640.85        1033.72       1037.50       7.01          
109     20.51         644.95        1034.66       1037.50       7.00          
110     16.09         645.53        1036.71       1037.50       6.80          
111     9.87          653.45        1033.53       1037.50       7.21          
112     6.93          632.86        1034.18       1037.50       6.67          
113     29.79         595.59        1035.56       1037.50       6.66          
114     12.75         626.61        1032.84       1037.50       6.62          
115     21.99         634.69        1036.61       1037.50       7.00          
116     29.93         642.63        1035.95       1037.50       6.95          
117     14.82         605.11        1036.47       1037.50       6.56          
118     23.06         669.08        1035.07       1037.50       7.11          
119     23.98         594.50        1034.38       1037.50       6.56          
120     33.19         622.53        1035.41       1037.50       6.94          
121     10.67         642.67        1036.20       1037.50       6.73          
122     67.71         644.47        1035.22       1037.50       6.94          
123     7.25          607.76        1034.63       1037.50       6.44          
124     15.34         678.08        1036.12       1037.50       7.11          
125     16.21         592.14        1032.44       1037.50       6.53          
126     8.76          616.22        1035.02       1037.50       6.47          
127     12.59         599.39        1035.73       1037.50       6.73          
128     22.53         612.17        1036.19       1037.50       6.76          
129     14.76         590.61        1033.67       1037.50       6.43          
130     9.76          707.10        1035.55       1037.50       7.42          
131     28.30         624.29        1035.68       1037.50       6.60          
132     16.22         618.53        1034.94       1037.50       7.00          
133     5.73          694.66        1038.50       1037.50       7.09          
134     9.04          638.81        1034.91       1037.50       6.70          
135     38.19         652.77        1037.07       1037.50       6.86          
136     72.74         681.98        1034.86       1037.50       7.22          
137     18.76         596.51        1035.20       1037.50       6.56          
138     47.47         719.83        1035.67       1037.50       7.48          
139     17.59         646.12        1035.43       1037.50       6.91          
140     16.52         643.12        1035.80       1037.50       7.04          
141     5.83          645.33        1037.15       1037.50       6.84          
142     21.57         647.92        1034.38       1037.50       6.95          
143     17.11         653.90        1037.29       1037.50       7.18          
144     9.13          695.57        1038.83       1037.50       6.96          
145     5.68          636.06        1035.95       1037.50       6.96          
146     19.14         683.01        1036.18       1037.50       7.12          
147     35.10         617.76        1034.78       1037.50       6.60          
148     7.02          643.08        1032.08       1037.50       7.22          
149     10.50         607.52        1036.43       1037.50       6.62          
150     47.41         614.26        1034.24       1037.50       6.87          
151     16.44         647.54        1035.14       1037.50       6.66          
152     15.43         576.23        1032.82       1037.50       6.46          
153     12.41         616.72        1035.88       1037.50       6.45          
154     27.73         701.51        1036.46       1037.50       7.33          
155     5.66          644.78        1035.17       1037.50       6.79          
156     62.73         696.05        1035.63       1037.50       7.28          
157     31.45         630.02        1036.19       1037.50       6.54          
