experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: HalfCheetah-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: ELMANNN
	hidden_layer_structure: [50]
	use_bias: True
elapsed_time: 5570.228602409363

Genome Size: 3700
Free Parameters: {'layer 0': {'input_weight_matrix': 850, 'hidden_weight_matrix': 2500, 'bias': 50}, 'output_weight_matrix': 300}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -65243.04     -29401.32     -16395.14     -16366.35     20.19         
1       -55225.35     -29755.42     -17150.80     -16366.35     2.13          
2       -73729.38     -29519.57     -19684.80     -16366.35     2.12          
3       -49037.46     -29449.68     -17964.78     -16366.35     2.17          
4       -60920.30     -28721.34     -19089.68     -16366.35     2.11          
5       -69207.59     -29196.17     -18216.00     -16366.35     2.17          
6       -51529.74     -28541.60     -17573.62     -16366.35     2.08          
7       -47883.26     -28087.32     -17210.07     -16366.35     2.12          
8       -61944.05     -28464.15     -15660.24     -15514.51     2.16          
9       -60502.01     -28238.18     -17138.98     -15514.51     2.18          
10      -60990.11     -28262.94     -15734.07     -15514.51     2.16          
11      -66541.04     -28016.16     -14311.48     -14327.96     2.19          
12      -54290.82     -27875.06     -17612.20     -14327.96     2.16          
13      -93182.18     -27209.71     -13504.88     -13596.93     2.16          
14      -51265.87     -27129.36     -14752.65     -13596.93     2.16          
15      -50204.06     -27043.58     -16869.43     -13596.93     2.19          
16      -48941.41     -26515.64     -16857.18     -13596.93     2.20          
17      -67145.72     -26612.57     -16513.11     -13596.93     2.19          
18      -47711.59     -27108.24     -13251.85     -13595.71     2.16          
19      -41726.25     -25787.51     -16227.97     -13595.71     2.20          
20      -54497.25     -25950.32     -15685.57     -13595.71     2.19          
21      -43206.64     -25366.61     -14460.17     -13595.71     2.21          
22      -57793.75     -26167.64     -14940.60     -13595.71     2.21          
23      -52234.01     -25314.82     -14690.26     -13595.71     2.19          
24      -40728.96     -25704.09     -16853.65     -13595.71     2.19          
25      -41360.14     -25268.23     -14945.74     -13595.71     2.21          
26      -48499.33     -24158.35     -14312.28     -13595.71     2.21          
27      -62700.75     -24719.89     -16697.43     -13595.71     2.23          
28      -49878.99     -24422.55     -15170.75     -13595.71     2.22          
29      -40721.45     -23460.85     -12301.18     -12468.95     2.20          
30      -38260.58     -22950.38     -14697.39     -12468.95     2.21          
31      -53260.06     -23431.78     -13995.85     -12468.95     2.20          
32      -59109.91     -23908.06     -13940.25     -12468.95     2.23          
33      -43916.06     -23335.10     -14838.93     -12468.95     2.23          
34      -45397.90     -23635.13     -15286.20     -12468.95     2.24          
35      -38439.87     -22845.68     -14549.10     -12468.95     2.26          
36      -41461.55     -23133.64     -15125.43     -12468.95     2.22          
37      -38101.93     -23035.44     -14110.80     -12468.95     2.25          
38      -42220.41     -22576.11     -14092.45     -12468.95     2.23          
39      -34735.40     -22483.00     -14070.53     -12468.95     2.23          
40      -42529.20     -22510.58     -14604.42     -12468.95     2.24          
41      -37228.12     -21662.13     -13648.02     -12468.95     2.27          
42      -37266.87     -21930.90     -13581.04     -12468.95     2.28          
43      -44714.09     -21789.69     -13285.61     -12468.95     2.23          
44      -41889.25     -21362.27     -12773.54     -12468.95     2.23          
45      -63459.55     -21849.61     -14741.98     -12468.95     2.25          
46      -59001.91     -22132.55     -12658.82     -12468.95     2.21          
47      -58170.31     -21254.03     -12932.83     -12468.95     2.24          
48      -65361.18     -21344.44     -13867.84     -12468.95     2.23          
49      -38194.27     -21228.93     -12852.70     -12468.95     2.22          
50      -37251.49     -20924.02     -11473.24     -11515.96     2.22          
51      -37776.47     -20962.61     -12372.28     -11515.96     2.24          
52      -45122.22     -20786.10     -13727.79     -11515.96     2.20          
53      -48423.39     -21315.00     -12824.69     -11515.96     2.25          
54      -34662.39     -20629.68     -11626.20     -11515.96     2.21          
55      -50765.07     -20499.48     -11152.55     -11167.57     2.21          
56      -44708.95     -21116.05     -13196.20     -11167.57     2.23          
57      -36141.34     -20950.36     -13445.04     -11167.57     2.25          
58      -38990.53     -20563.69     -14125.68     -11167.57     2.29          
59      -39617.98     -20703.52     -12612.76     -11167.57     2.23          
60      -35413.58     -20638.68     -13287.39     -11167.57     2.23          
61      -49532.60     -21084.15     -12695.87     -11167.57     2.24          
62      -49937.92     -20817.42     -14149.65     -11167.57     2.24          
63      -45159.10     -20668.50     -11897.03     -11167.57     2.23          
64      -45201.96     -21474.00     -13899.07     -11167.57     2.23          
65      -42986.99     -20662.23     -12808.65     -11167.57     2.23          
66      -44649.66     -20516.88     -11379.34     -11167.57     2.24          
67      -32567.15     -20421.71     -13801.15     -11167.57     2.24          
68      -46647.85     -20349.37     -12798.84     -11167.57     2.25          
69      -37815.93     -20288.79     -13247.58     -11167.57     2.23          
70      -38795.22     -20162.30     -12476.24     -11167.57     2.23          
71      -40247.20     -18936.02     -11268.66     -11076.80     2.22          
72      -54513.17     -20240.01     -11490.29     -11076.80     2.23          
73      -38714.94     -18977.26     -11691.81     -11076.80     2.25          
74      -43103.71     -19370.97     -12172.99     -11076.80     2.23          
75      -41349.05     -19511.30     -11183.47     -11076.80     2.22          
76      -39427.61     -19263.19     -11977.89     -11076.80     2.24          
77      -37205.48     -19845.29     -11905.00     -11076.80     2.22          
78      -34613.80     -19291.04     -10624.28     -10640.36     2.28          
79      -35887.53     -19722.77     -11768.26     -10640.36     2.23          
80      -44118.54     -18994.97     -10343.09     -10219.00     2.26          
81      -31537.59     -19402.98     -11706.63     -10219.00     2.20          
82      -34930.76     -19526.78     -12616.59     -10219.00     2.22          
83      -36084.19     -19688.13     -11091.69     -10219.00     2.18          
84      -32805.10     -19745.37     -11905.77     -10219.00     2.22          
85      -31395.85     -19618.39     -12965.91     -10219.00     2.25          
86      -40970.29     -19314.93     -10682.40     -10219.00     2.30          
87      -33719.71     -19495.94     -11896.70     -10219.00     2.24          
88      -33047.83     -19724.73     -11947.90     -10219.00     2.23          
89      -30324.60     -19345.79     -12528.18     -10219.00     2.26          
90      -36818.21     -19610.48     -10990.48     -10219.00     2.26          
91      -44754.95     -19505.82     -11040.35     -10219.00     2.29          
92      -29298.33     -18837.28     -11816.17     -10219.00     2.25          
93      -56634.04     -18967.97     -11040.18     -10219.00     2.23          
94      -34479.65     -19233.35     -12081.83     -10219.00     2.26          
95      -46893.91     -18675.08     -11396.37     -10219.00     2.25          
96      -44963.11     -19219.65     -10101.16     -10219.00     2.25          
97      -39892.99     -19209.53     -11902.37     -10219.00     2.23          
98      -31991.38     -19135.02     -12005.42     -10219.00     2.25          
99      -35629.75     -18868.69     -11150.78     -10219.00     2.25          
100     -45761.30     -19026.21     -12785.88     -10219.00     2.25          
101     -32727.94     -19083.55     -9902.43      -9782.64      2.22          
102     -44720.17     -19535.56     -11303.47     -9782.64      2.27          
103     -34554.18     -18752.16     -11753.85     -9782.64      2.24          
104     -42875.08     -19029.03     -12230.12     -9782.64      2.27          
105     -52380.74     -19051.69     -11849.68     -9782.64      2.28          
106     -38492.67     -18913.12     -10766.67     -9782.64      2.27          
107     -32826.41     -18419.35     -11236.83     -9782.64      2.26          
108     -37070.36     -18951.02     -12106.67     -9782.64      2.27          
109     -29003.60     -18394.20     -10992.58     -9782.64      2.23          
110     -66481.69     -18523.15     -11310.08     -9782.64      2.24          
111     -31983.62     -18233.70     -11679.78     -9782.64      2.23          
112     -33297.62     -18821.51     -11486.26     -9782.64      2.26          
113     -47209.60     -18585.82     -10940.07     -9782.64      2.24          
114     -31920.65     -18099.62     -10716.80     -9782.64      2.25          
115     -36640.47     -18411.19     -12360.03     -9782.64      2.27          
116     -44827.68     -18604.33     -11104.52     -9782.64      2.27          
117     -33371.99     -18328.69     -10560.63     -9782.64      2.26          
118     -37017.94     -18555.65     -12327.50     -9782.64      2.24          
119     -30355.63     -18808.72     -10479.97     -9782.64      2.24          
120     -44719.71     -19080.30     -11544.44     -9782.64      2.22          
121     -47852.45     -19294.30     -11625.28     -9782.64      2.23          
122     -38081.51     -18310.46     -11294.99     -9782.64      2.23          
123     -29460.93     -18271.12     -10391.92     -9782.64      2.26          
124     -32069.45     -18550.36     -10775.85     -9782.64      2.26          
125     -33551.78     -19014.24     -10020.87     -9782.64      2.28          
126     -63539.18     -19661.20     -12625.29     -9782.64      2.28          
127     -28518.49     -18480.06     -12133.91     -9782.64      2.27          
128     -32282.04     -18862.97     -10905.92     -9782.64      2.31          
129     -39170.32     -18778.57     -11339.81     -9782.64      2.29          
130     -29492.46     -17880.84     -11948.03     -9782.64      2.31          
131     -32623.40     -18577.64     -11912.86     -9782.64      2.24          
132     -28591.45     -18268.61     -11581.25     -9782.64      2.29          
133     -50860.04     -18146.60     -11841.39     -9782.64      2.25          
134     -32663.68     -18082.12     -9797.80      -9782.64      2.26          
135     -33147.76     -18928.94     -12151.39     -9782.64      2.23          
136     -34818.90     -18521.34     -12494.00     -9782.64      2.27          
137     -49326.63     -18332.57     -11432.05     -9782.64      2.24          
138     -45060.30     -18232.18     -12260.32     -9782.64      2.23          
139     -61671.15     -18180.95     -11160.70     -9782.64      2.27          
140     -36300.75     -18481.19     -12035.82     -9782.64      2.31          
141     -30048.24     -18409.24     -11908.35     -9782.64      2.25          
142     -34266.25     -18379.27     -11835.76     -9782.64      2.27          
143     -37478.45     -18335.87     -11230.58     -9782.64      2.25          
144     -40333.34     -18144.39     -11046.68     -9782.64      2.22          
145     -39845.99     -18393.47     -12362.74     -9782.64      2.22          
146     -41979.13     -18458.76     -11856.69     -9782.64      2.17          
147     -43353.60     -18377.09     -12099.69     -9782.64      2.22          
148     -30404.98     -17839.26     -10604.62     -9782.64      2.28          
149     -29452.63     -18514.79     -12507.10     -9782.64      2.26          
150     -36857.02     -18376.10     -12194.62     -9782.64      2.23          
151     -37537.16     -18481.78     -10978.75     -9782.64      2.24          
152     -40488.03     -18414.62     -11506.45     -9782.64      2.24          
153     -35196.90     -18373.65     -10580.86     -9782.64      2.22          
154     -32700.14     -18401.77     -11205.87     -9782.64      2.27          
155     -34997.59     -17794.80     -10806.19     -9782.64      2.24          
156     -39113.44     -18203.08     -11287.50     -9782.64      2.15          
