experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Hopper-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: FFNN
	hidden_layers: [50, 50]
	neuron_activation: tanh
	neuron_activation_output: tanh
	use_bias: False
elapsed_time: 7202.565073490143

Genome Size: 3200
Free Parameters: {'individual_size': 3200}
Inputs: 11
Outputs: 3

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -1.12         14.67         106.79        107.45        18.51         
1       -1.40         12.67         131.49        107.45        1.06          
2       -1.46         14.24         151.89        107.45        1.05          
3       -1.24         12.01         94.07         107.45        1.33          
4       -1.71         11.55         181.68        109.50        1.12          
5       -1.06         13.67         128.62        109.50        1.15          
6       -1.25         21.21         1024.00       1003.56       1.81          
7       -1.37         12.52         80.00         1003.56       1.12          
8       -1.10         15.69         223.99        1003.56       1.13          
9       -0.97         17.56         331.38        1003.56       1.17          
10      -1.10         18.79         265.03        1003.56       1.30          
11      -1.55         17.90         109.61        1003.56       1.09          
12      -0.78         20.08         158.43        1003.56       1.15          
13      -1.42         24.11         232.68        1003.56       1.19          
14      -1.21         19.49         243.95        1003.56       1.10          
15      -0.30         19.75         223.01        1003.56       1.09          
16      -1.27         25.77         180.40        1003.56       1.13          
17      -0.82         31.44         198.11        1003.56       1.17          
18      -1.48         30.47         228.27        1003.56       1.19          
19      -1.73         36.09         215.66        1003.56       1.23          
20      -1.30         38.38         224.30        1003.56       1.11          
21      -0.57         37.26         312.95        1003.56       1.15          
22      -1.40         48.08         322.44        1003.56       1.25          
23      -0.93         57.98         499.88        1003.56       1.35          
24      1.65          56.06         238.89        1003.56       1.13          
25      -0.44         57.32         263.07        1003.56       1.13          
26      2.60          68.95         253.31        1003.56       1.15          
27      -0.29         69.15         259.41        1003.56       1.25          
28      1.37          78.09         300.47        1003.56       1.23          
29      -1.23         90.36         410.98        1003.56       1.25          
30      0.24          98.56         300.29        1003.56       1.21          
31      2.31          103.67        391.14        1003.56       1.33          
32      2.52          110.08        406.32        1003.56       1.25          
33      3.08          112.66        325.21        1003.56       1.24          
34      3.85          115.46        579.02        1003.56       1.33          
35      0.27          124.00        447.14        1003.56       1.41          
36      -1.02         133.82        375.27        1003.56       1.36          
37      -1.01         138.09        1007.98       1003.56       1.81          
38      -0.06         123.88        526.66        1003.56       1.54          
39      2.66          146.46        465.97        1003.56       1.35          
40      2.58          141.11        518.87        1003.56       1.41          
41      7.41          153.29        706.64        1003.56       1.67          
42      5.05          153.81        806.40        1003.56       1.59          
43      8.17          163.47        533.70        1003.56       1.58          
44      5.15          163.40        648.47        1003.56       1.60          
45      8.79          171.84        706.16        1003.56       1.74          
46      4.74          157.95        856.06        1003.56       1.80          
47      7.70          187.65        846.19        1003.56       1.78          
