experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: InvertedPendulum-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 20
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: True
	optimize_x0: True
elapsed_time: 2294.575859308243

Genome Size: 520
Free Parameters: {'V': 80, 'W': 400, 'T': 20, 'x_0': 20}
Inputs: 4
Outputs: 1

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       9.33          22.08         64.33         65.10         19.12         
1       9.33          24.60         68.67         76.68         0.34          
2       10.67         26.71         69.00         76.68         0.35          
3       11.00         27.11         59.33         76.68         0.66          
4       11.00         28.00         73.67         76.68         0.51          
5       12.00         34.25         73.67         76.68         0.44          
6       13.00         33.64         83.67         76.68         0.43          
7       11.00         36.65         85.33         76.68         0.47          
8       14.33         42.34         103.67        93.42         0.47          
9       13.00         45.54         97.67         93.42         0.43          
10      12.67         45.75         94.33         93.42         0.40          
11      19.33         48.93         91.00         93.42         0.41          
12      15.00         50.98         118.00        98.52         0.41          
13      15.33         50.92         111.33        108.28        0.39          
14      18.00         49.07         91.67         108.28        0.41          
15      20.67         50.35         111.00        108.84        0.37          
16      27.00         49.06         82.67         108.84        0.41          
17      22.00         50.55         103.00        108.84        0.41          
18      28.67         56.44         134.00        135.46        0.37          
19      33.67         58.78         104.33        135.46        0.40          
20      19.67         57.70         115.67        135.46        0.38          
21      21.00         54.72         176.67        135.46        0.41          
22      24.67         60.47         122.67        135.46        0.39          
23      27.00         57.27         139.67        135.46        0.39          
24      23.67         57.45         139.67        135.46        0.36          
25      30.67         59.65         138.67        135.46        0.37          
26      26.67         55.06         128.33        135.46        0.37          
27      22.00         64.78         208.00        209.36        0.42          
28      21.67         61.36         373.00        209.36        0.44          
29      27.67         62.28         161.00        209.36        0.39          
30      29.00         66.12         425.33        244.26        0.44          
31      31.33         66.96         144.33        244.26        0.40          
32      26.00         66.32         161.00        244.26        0.39          
33      31.00         64.19         135.33        244.26        0.40          
34      27.67         66.48         436.00        427.78        0.43          
35      23.33         63.38         158.00        427.78        0.38          
36      27.67         68.18         175.67        427.78        0.39          
37      29.00         69.04         383.00        427.78        0.45          
38      31.67         70.01         219.33        427.78        0.41          
39      33.67         75.68         322.67        427.78        0.40          
40      24.33         72.80         411.67        427.78        0.39          
41      35.33         81.20         985.67        981.20        0.51          
42      27.00         78.16         686.33        981.20        0.49          
43      25.33         71.28         392.67        981.20        0.45          
44      22.33         69.44         318.00        981.20        0.43          
45      29.67         68.08         185.00        981.20        0.41          
46      36.00         80.27         689.67        981.20        0.52          
47      22.67         69.45         186.00        981.20        0.37          
48      30.33         81.52         399.33        981.20        0.41          
49      28.33         79.12         1000.00       981.20        0.55          
50      26.00         75.94         250.67        981.20        0.40          
