experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: InvertedDoublePendulum-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
brain
	type: ELMANNN
	hidden_layer_structure: [50]
	use_bias: True
elapsed_time: 2585.1856813430786

Genome Size: 3150
Free Parameters: {'layer 0': {'input_weight_matrix': 550, 'hidden_weight_matrix': 2500, 'bias': 50}, 'output_weight_matrix': 50}
Inputs: 11
Outputs: 1

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       26.71         45.73         125.88        96.77         17.77         
1       26.78         42.61         112.83        96.77         0.97          
2       26.82         44.02         91.66         96.77         1.00          
3       26.79         48.83         109.75        96.77         1.18          
4       26.78         48.33         100.71        96.77         1.04          
5       26.84         49.95         119.16        105.72        0.94          
6       26.77         52.43         107.12        105.72        0.96          
7       29.49         52.44         131.68        105.72        0.95          
8       26.76         58.22         128.75        105.72        1.11          
9       26.78         57.31         104.06        105.72        1.02          
10      26.79         62.84         112.65        105.72        0.98          
11      26.82         62.48         121.38        105.72        0.93          
12      26.80         66.49         137.70        105.72        0.94          
13      29.49         66.26         128.31        105.72        0.98          
14      26.79         68.37         130.83        105.72        1.03          
15      26.79         68.43         122.46        105.72        0.97          
16      29.44         69.81         127.82        105.72        0.95          
17      26.80         72.85         140.79        105.72        0.97          
18      26.84         72.04         165.86        118.75        1.09          
19      35.43         73.37         122.59        118.75        1.08          
20      29.66         76.98         147.56        118.75        1.03          
21      32.63         74.17         146.77        118.87        0.97          
22      35.41         77.32         131.98        118.87        0.97          
23      32.48         77.70         187.04        118.87        1.03          
24      50.69         76.54         150.07        118.87        1.04          
25      35.51         77.84         165.41        118.87        1.03          
26      45.08         79.92         131.42        118.87        1.01          
27      32.66         78.24         143.68        118.87        0.99          
28      38.65         76.98         128.63        118.87        0.98          
29      32.82         81.77         158.79        120.47        0.99          
30      51.00         82.22         144.00        120.47        0.99          
31      35.49         80.49         152.90        120.47        1.03          
