experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: InvertedPendulum-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
brain
	type: GRUNN
	hidden_layer_structure: [5]
	use_bias: False
elapsed_time: 8188.444878816605

Genome Size: 140
Free Parameters: {'layer 0': {'input_weight_matrix': 60, 'hidden_weight_matrix': 75}, 'output_weight_matrix': 5}
Inputs: 4
Outputs: 1

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       10.00         30.05         242.67        312.50        8.64          
1       11.33         34.35         108.00        312.50        0.62          
2       9.67          31.49         163.00        312.50        0.65          
3       10.67         32.97         110.00        312.50        0.58          
4       13.00         34.97         112.00        312.50        0.63          
5       8.67          31.97         145.67        312.50        0.67          
6       9.33          41.67         236.33        312.50        0.71          
7       10.33         70.64         505.67        456.32        0.83          
8       11.33         91.01         1000.00       1000.00       1.04          
9       15.00         109.20        614.33        1000.00       1.01          
10      10.67         180.44        1000.00       1000.00       1.34          
11      10.67         164.36        1000.00       1000.00       1.27          
12      9.33          159.72        1000.00       1000.00       1.21          
13      7.67          173.25        1000.00       1000.00       1.26          
14      8.67          170.62        1000.00       1000.00       1.24          
15      6.67          208.63        1000.00       1000.00       1.30          
16      6.67          167.50        1000.00       1000.00       1.26          
17      8.67          216.22        1000.00       1000.00       1.51          
18      6.67          208.47        1000.00       1000.00       1.37          
19      8.00          226.87        1000.00       1000.00       1.56          
20      6.33          213.64        1000.00       1000.00       1.38          
21      7.33          248.88        1000.00       1000.00       1.51          
22      5.33          224.12        1000.00       1000.00       1.46          
23      6.00          210.57        1000.00       1000.00       1.32          
24      6.33          196.41        1000.00       1000.00       1.31          
25      5.67          176.71        1000.00       1000.00       1.28          
26      7.00          211.14        1000.00       1000.00       1.31          
27      6.33          209.15        1000.00       1000.00       1.43          
28      7.33          230.32        1000.00       1000.00       1.47          
29      5.33          201.11        1000.00       1000.00       1.59          
30      6.00          193.14        1000.00       1000.00       1.49          
31      5.33          170.78        1000.00       1000.00       1.26          
32      5.67          198.72        1000.00       1000.00       1.35          
33      5.67          180.77        1000.00       1000.00       1.40          
34      5.33          218.08        1000.00       1000.00       1.35          
35      6.00          233.28        1000.00       1000.00       1.40          
36      6.00          284.37        1000.00       1000.00       1.55          
37      5.33          241.48        1000.00       1000.00       1.54          
38      7.00          371.42        1000.00       1000.00       1.79          
39      6.67          365.35        1000.00       1000.00       1.74          
40      6.00          411.42        1000.00       1000.00       2.03          
41      6.33          439.07        1000.00       1000.00       2.07          
42      7.33          388.56        1000.00       1000.00       1.99          
43      8.33          435.05        1000.00       1000.00       2.10          
44      7.00          443.24        1000.00       1000.00       1.96          
45      5.67          435.53        1000.00       1000.00       1.97          
46      6.00          423.00        1000.00       1000.00       1.90          
47      5.67          459.54        1000.00       1000.00       2.07          
48      4.67          486.91        1000.00       1000.00       2.20          
49      6.00          448.14        1000.00       1000.00       2.06          
50      5.00          466.87        1000.00       1000.00       2.08          
51      8.00          546.30        1000.00       1000.00       2.34          
52      6.67          445.73        1000.00       1000.00       1.92          
53      6.67          412.79        1000.00       1000.00       1.85          
54      6.33          411.94        1000.00       1000.00       1.91          
55      6.00          450.41        1000.00       1000.00       2.00          
56      6.00          386.76        1000.00       1000.00       1.91          
57      7.00          415.57        1000.00       1000.00       1.87          
58      5.67          457.66        1000.00       1000.00       2.08          
59      5.67          538.73        1000.00       1000.00       2.23          
60      7.00          488.20        1000.00       1000.00       2.01          
61      7.33          494.22        1000.00       1000.00       2.03          
62      9.33          464.29        1000.00       1000.00       2.07          
63      8.33          481.11        1000.00       1000.00       2.17          
64      5.67          518.24        1000.00       1000.00       2.30          
65      5.67          472.28        1000.00       1000.00       2.09          
66      6.00          491.25        1000.00       1000.00       2.15          
67      6.00          508.98        1000.00       1000.00       2.11          
68      7.00          588.58        1000.00       1000.00       2.31          
69      6.67          484.80        1000.00       1000.00       2.09          
70      6.33          497.74        1000.00       1000.00       2.15          
71      5.67          502.00        1000.00       1000.00       2.24          
72      7.00          526.87        1000.00       1000.00       2.28          
73      5.33          521.22        1000.00       1000.00       2.15          
74      5.67          466.90        1000.00       1000.00       2.11          
75      6.67          464.31        1000.00       1000.00       2.10          
76      6.33          469.94        1000.00       1000.00       2.13          
77      5.67          488.85        1000.00       1000.00       2.18          
78      5.33          376.72        1000.00       1000.00       1.87          
79      5.67          436.40        1000.00       1000.00       2.00          
80      7.33          429.77        1000.00       1000.00       1.92          
81      6.00          387.00        1000.00       1000.00       1.82          
82      5.67          377.98        1000.00       1000.00       1.86          
83      6.67          455.07        1000.00       1000.00       2.09          
