experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Swimmer-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 20
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: False
elapsed_time: 3840.179710626602

Genome Size: 600
Free Parameters: {'V': 160, 'W': 400, 'T': 40}
Inputs: 8
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -42.56        -5.88         47.97         18.91         18.89         
1       -32.58        -4.14         33.54         23.18         1.75          
2       -45.50        -3.74         36.61         23.18         1.78          
3       -47.11        -4.75         43.18         37.24         1.84          
4       -35.80        -4.95         31.01         37.24         1.80          
5       -37.58        -2.03         37.49         37.24         1.84          
6       -42.15        -2.35         37.52         37.24         1.82          
7       -33.46        -1.50         34.23         37.24         1.81          
8       -36.50        1.64          35.74         37.24         1.83          
9       -30.16        2.71          39.80         37.24         1.81          
10      -33.86        6.86          41.33         37.24         1.78          
11      -35.95        5.34          42.78         37.24         1.80          
12      -34.22        9.25          40.40         37.24         1.85          
13      -29.52        8.82          39.44         37.24         1.84          
14      -39.69        10.45         38.35         37.24         1.80          
15      -34.56        14.66         50.71         38.02         1.80          
16      -35.37        15.54         35.37         38.02         1.81          
17      -31.63        16.38         62.15         66.04         1.80          
18      -27.33        13.05         43.01         66.04         1.81          
19      -29.53        15.98         42.87         66.04         1.82          
20      -27.01        17.85         43.88         66.04         1.85          
21      -29.37        17.35         43.12         66.04         1.82          
22      -31.16        20.70         51.05         66.04         1.80          
23      -37.01        18.27         41.57         66.04         1.82          
24      -21.95        18.69         44.13         66.04         1.80          
25      -40.16        20.36         40.34         66.04         1.80          
26      -27.04        19.66         40.20         66.04         1.80          
27      -29.31        23.27         35.35         66.04         1.80          
28      -32.86        19.78         32.75         66.04         1.79          
29      -36.73        24.21         58.10         66.04         1.81          
30      -26.78        23.05         44.23         66.04         1.79          
31      -26.14        24.97         38.24         66.04         1.77          
32      -23.93        23.57         42.38         66.04         1.88          
33      -21.01        23.49         35.92         66.04         1.79          
34      -38.40        23.93         34.29         66.04         1.79          
35      -21.05        25.77         42.74         66.04         1.86          
36      -25.25        21.91         35.86         66.04         1.79          
37      -18.74        26.13         35.91         66.04         1.80          
38      -22.05        26.44         36.01         66.04         1.79          
39      -33.65        26.68         36.28         66.04         1.80          
40      -13.35        27.83         34.92         66.04         1.80          
41      -25.62        26.85         37.30         66.04         1.93          
42      -15.91        27.41         35.79         66.04         1.80          
43      -18.96        24.69         37.88         66.04         1.77          
44      -15.20        27.46         32.52         66.04         1.81          
45      -14.69        25.87         35.53         66.04         1.81          
46      -25.58        25.35         31.66         66.04         1.82          
47      -3.23         26.75         33.00         66.04         1.78          
48      -20.78        25.11         31.05         66.04         1.80          
49      -19.40        28.14         33.93         66.04         1.80          
50      -27.66        27.40         32.75         66.04         1.80          
51      -24.74        26.95         35.64         66.04         1.92          
52      -18.31        26.05         39.55         66.04         1.82          
53      -11.19        26.28         38.13         66.04         1.81          
54      -5.85         26.16         34.64         66.04         1.79          
55      -17.85        28.56         35.36         66.04         1.88          
56      -16.32        28.43         40.91         66.04         1.80          
57      -37.01        25.71         42.25         66.04         1.79          
58      -23.39        27.05         44.05         66.04         1.80          
59      -15.31        23.78         31.39         66.04         1.81          
60      -12.45        27.03         41.07         66.04         1.83          
61      -23.72        28.16         34.32         66.04         1.84          
62      -29.66        25.63         32.29         66.04         1.81          
63      -26.46        26.90         35.43         66.04         1.81          
64      -25.90        27.41         32.74         66.04         1.78          
65      -22.57        27.89         33.43         66.04         1.79          
66      -26.94        26.38         34.85         66.04         1.83          
67      1.73          26.42         36.87         66.04         1.81          
68      -22.58        30.32         42.29         66.04         1.77          
69      -26.72        26.77         32.77         66.04         1.78          
70      -23.33        27.26         33.03         66.04         1.81          
71      -21.03        30.17         37.85         66.04         1.79          
72      -24.82        27.08         32.21         66.04         1.76          
73      -24.61        28.36         43.09         66.04         1.78          
74      -19.26        24.71         36.41         66.04         1.80          
75      -16.46        25.84         34.27         66.04         1.80          
76      -31.09        23.44         32.56         66.04         1.81          
77      -18.11        29.62         45.92         66.04         1.81          
78      -18.32        27.95         33.17         66.04         1.84          
79      -15.25        29.02         39.21         66.04         1.78          
80      -11.32        27.35         38.34         66.04         1.80          
81      -23.01        25.07         41.21         66.04         1.80          
82      -17.27        24.39         35.79         66.04         1.80          
83      -13.16        24.69         46.26         66.04         1.78          
84      -28.26        27.97         49.05         66.04         1.84          
85      -12.52        28.58         43.27         66.04         1.77          
86      -41.03        27.72         50.72         66.04         1.82          
87      -20.69        26.10         48.17         66.04         1.79          
88      -42.26        24.54         47.25         66.04         1.80          
89      -19.52        26.62         43.24         66.04         1.77          
90      -36.52        22.21         43.31         66.04         1.77          
91      -29.92        27.24         53.49         66.04         1.81          
92      -41.13        19.81         48.02         66.04         1.79          
93      -45.78        22.49         49.24         66.04         1.80          
94      -25.93        25.34         52.15         66.04         1.80          
95      -43.77        23.72         53.71         66.04         1.79          
96      -49.69        22.69         55.03         66.04         1.82          
97      -44.96        21.70         53.23         66.04         1.80          
98      -53.86        25.26         53.24         66.04         1.82          
99      -29.67        24.58         58.93         66.04         1.80          
100     -41.66        21.40         56.70         66.04         1.79          
101     -44.23        22.49         52.27         66.04         1.78          
102     -49.21        22.03         51.02         66.04         1.83          
103     -41.98        24.25         53.22         66.04         1.81          
104     -42.29        23.10         54.10         66.04         1.75          
105     -37.15        24.41         52.90         66.04         1.79          
106     -34.41        26.75         60.70         66.04         1.77          
107     -54.02        24.93         52.79         66.04         1.77          
108     -48.58        26.48         57.52         66.04         1.79          
109     -46.42        24.92         52.78         66.04         1.78          
110     -45.82        23.80         50.76         66.04         1.77          
111     -27.32        26.02         84.66         66.04         1.79          
112     -54.45        25.55         56.70         66.04         1.81          
113     -51.55        26.72         55.94         66.04         1.82          
114     -50.31        27.76         54.00         66.04         1.79          
115     -43.22        26.75         69.10         66.04         1.81          
116     -36.95        26.26         58.31         66.04         1.77          
117     -40.46        29.26         117.88        83.58         1.76          
118     -32.45        28.33         60.14         83.58         1.75          
119     -25.76        26.11         64.37         83.58         1.76          
120     -49.42        25.45         58.27         83.58         1.78          
121     -44.42        29.40         75.81         83.58         1.76          
122     -45.21        29.52         79.61         83.58         1.76          
123     -35.80        28.26         75.93         88.46         1.77          
124     -37.00        28.32         87.77         88.46         1.75          
125     -49.31        32.05         106.32        88.46         1.77          
126     -39.85        31.40         135.19        88.46         1.79          
127     -53.71        33.24         157.76        151.57        1.78          
128     -47.18        40.00         135.16        151.57        1.75          
129     -51.52        45.23         158.61        151.57        1.75          
130     -34.79        44.50         140.71        151.57        1.72          
131     -51.35        53.18         146.27        151.57        1.71          
132     -51.97        56.24         199.29        202.64        1.70          
133     -44.03        58.77         154.59        202.64        1.70          
134     -68.50        67.93         188.78        202.64        1.69          
135     -66.03        68.91         203.96        202.64        1.68          
136     -22.64        76.09         203.62        202.64        1.69          
137     -44.58        82.54         178.50        202.64        1.72          
138     -22.13        83.22         170.28        202.64        1.68          
139     -41.38        90.16         195.76        202.64        1.68          
140     -79.42        88.78         222.27        202.64        1.66          
141     -15.25        94.53         187.93        202.64        1.67          
142     -34.29        96.80         231.12        221.97        1.67          
143     -16.55        98.53         231.77        224.51        1.65          
144     -19.17        98.67         211.31        224.51        1.64          
145     -36.20        100.31        219.77        224.51        1.63          
146     -19.03        105.29        213.54        224.51        1.63          
147     -32.70        107.51        232.16        224.51        1.64          
148     -23.65        105.70        217.37        224.51        1.66          
149     -33.46        115.82        219.45        224.51        1.66          
150     -85.86        109.32        220.77        224.51        1.60          
