experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: InvertedPendulum-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 20
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 1.0
	set_principle_diagonal_elements_of_W_negative: True
	optimize_x0: False
elapsed_time: 2409.442366361618

Genome Size: 500
Free Parameters: {'V': 80, 'W': 400, 'T': 20}
Inputs: 4
Outputs: 1

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       11.33         26.36         63.67         53.34         18.63         
1       10.00         24.07         58.00         53.34         0.35          
2       11.33         26.09         58.33         55.88         0.43          
3       10.00         26.29         55.00         60.02         0.65          
4       11.33         32.04         72.33         60.02         0.48          
5       9.67          28.34         66.67         62.70         0.42          
6       12.00         30.09         72.33         78.44         0.41          
7       13.00         39.53         81.00         79.78         0.46          
8       15.00         40.54         70.00         79.78         0.53          
9       14.00         38.53         80.00         79.78         0.47          
10      16.33         46.78         84.33         80.38         0.39          
11      13.67         44.91         77.67         85.58         0.39          
12      21.33         53.35         99.00         98.48         0.37          
13      23.67         49.10         88.67         98.48         0.42          
14      20.33         48.90         88.33         98.48         0.41          
15      21.00         54.09         112.33        102.20        0.43          
16      25.33         55.12         114.67        102.20        0.39          
17      17.00         51.62         97.67         102.20        0.40          
18      18.67         55.03         103.67        102.20        0.37          
19      26.33         58.27         105.00        102.20        0.37          
20      28.00         62.30         110.00        102.20        0.41          
21      28.67         59.25         107.67        102.20        0.43          
22      32.33         63.84         121.00        117.10        0.42          
23      31.33         65.47         129.00        132.72        0.41          
24      32.33         64.15         211.67        196.52        0.40          
25      37.33         70.03         152.33        196.52        0.40          
26      19.33         63.41         164.67        196.52        0.41          
27      32.67         72.60         161.67        196.52        0.41          
28      30.67         69.34         146.67        196.52        0.43          
29      32.00         70.14         128.67        196.52        0.39          
30      34.67         70.38         216.67        196.52        0.40          
31      35.67         69.20         314.67        245.08        0.45          
32      32.00         76.74         394.33        245.08        0.48          
33      34.67         70.86         168.67        245.08        0.39          
34      34.00         74.55         335.67        318.98        0.42          
35      35.33         73.21         254.33        318.98        0.40          
36      24.00         76.38         372.00        329.36        0.45          
37      30.67         70.96         178.33        329.36        0.40          
38      30.00         76.09         186.67        329.36        0.39          
39      36.00         82.14         250.67        329.36        0.41          
40      36.67         80.48         259.67        329.36        0.44          
41      36.67         82.19         489.33        507.18        0.48          
42      39.00         87.00         289.00        507.18        0.41          
43      34.33         87.07         431.00        507.18        0.47          
44      39.33         93.57         332.33        507.18        0.44          
45      38.33         93.37         290.33        507.18        0.46          
46      41.00         93.41         252.67        507.18        0.45          
47      30.00         100.37        947.67        921.68        0.53          
48      32.33         100.72        1000.00       921.68        0.55          
49      33.67         89.76         360.00        921.68        0.43          
50      36.33         93.22         376.00        921.68        0.48          
51      38.67         96.14         744.00        921.68        0.49          
52      34.33         104.03        1000.00       1000.00       0.53          
53      35.67         100.63        571.67        1000.00       0.45          
54      35.00         115.76        757.33        1000.00       0.52          
55      32.33         104.17        1000.00       1000.00       0.53          
56      34.33         115.24        878.00        1000.00       0.54          
57      36.33         113.00        1000.00       1000.00       0.58          
58      36.33         106.26        529.67        1000.00       0.47          
59      35.33         113.72        576.33        1000.00       0.49          
60      30.67         121.25        1000.00       1000.00       0.59          
61      32.33         117.78        1000.00       1000.00       0.55          
62      43.67         116.05        789.67        1000.00       0.51          
63      38.00         125.86        1000.00       1000.00       0.55          
64      21.67         133.10        1000.00       1000.00       0.52          
65      38.67         124.98        1000.00       1000.00       0.54          
66      31.33         145.98        1000.00       1000.00       0.54          
