experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: InvertedPendulum-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
brain
	type: LSTMNN
	hidden_layer_structure: [20]
	use_bias: True
elapsed_time: 3636.158617734909

Genome Size: 2020
Free Parameters: {'layer 0': {'input_weight_matrix': 320, 'hidden_weight_matrix': 1600, 'bias': 80}, 'output_weight_matrix': 20}
Inputs: 4
Outputs: 1

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       4.00          9.46          73.00         65.30         19.60         
1       4.00          9.76          39.67         65.30         0.58          
2       4.00          9.08          41.33         65.30         0.58          
3       4.00          10.13         51.67         65.30         0.86          
4       4.00          11.17         80.33         81.10         0.70          
5       4.00          9.93          51.00         81.10         0.59          
6       4.00          11.24         62.67         81.10         0.62          
7       4.00          11.16         85.33         81.10         0.74          
8       4.00          11.65         70.00         81.10         0.73          
9       4.00          11.67         66.67         81.10         0.69          
10      4.00          12.40         68.33         81.10         0.64          
11      4.00          13.07         76.67         81.10         0.63          
12      5.00          12.36         60.00         81.10         0.62          
13      4.00          13.92         88.00         84.94         0.64          
14      4.00          15.08         62.33         84.94         0.69          
15      5.00          17.63         97.33         84.94         0.70          
16      5.00          18.93         85.00         88.40         0.63          
17      5.00          19.52         110.00        102.50        0.65          
18      4.33          21.96         93.67         102.50        0.70          
19      4.33          22.86         88.00         102.50        0.72          
20      4.00          25.04         530.33        661.14        0.78          
21      6.00          27.74         152.67        661.14        0.72          
22      4.67          25.67         148.00        661.14        0.63          
23      5.00          31.73         110.67        661.14        0.65          
24      7.00          34.85         287.00        661.14        0.68          
25      5.00          37.65         247.67        661.14        0.70          
26      7.00          40.57         478.67        661.14        0.73          
27      6.00          44.74         977.00        787.06        0.86          
28      6.67          43.95         249.33        787.06        0.66          
29      5.00          50.30         1000.00       1000.00       0.90          
30      6.67          58.98         1000.00       1000.00       0.88          
31      6.00          58.88         428.67        1000.00       0.72          
32      8.00          78.92         1000.00       1000.00       0.86          
33      5.00          81.23         1000.00       1000.00       0.83          
34      7.00          105.18        1000.00       1000.00       0.92          
35      5.00          81.47         636.00        1000.00       0.73          
36      8.00          115.08        1000.00       1000.00       0.96          
37      7.00          114.56        1000.00       1000.00       0.87          
38      5.00          108.05        1000.00       1000.00       0.85          
39      8.00          134.75        1000.00       1000.00       0.86          
40      6.00          145.21        1000.00       1000.00       0.92          
41      8.00          113.31        1000.00       1000.00       0.86          
42      6.00          156.96        1000.00       1000.00       0.91          
43      7.00          175.35        1000.00       1000.00       0.91          
44      6.00          170.88        1000.00       1000.00       1.00          
45      5.00          209.08        1000.00       1000.00       0.99          
46      5.33          188.77        1000.00       1000.00       0.96          
47      5.00          223.89        1000.00       1000.00       0.97          
48      5.00          205.14        1000.00       1000.00       0.87          
49      6.00          218.18        1000.00       1000.00       0.95          
50      8.00          303.67        1000.00       1000.00       1.00          
51      6.00          322.69        1000.00       1000.00       0.99          
52      7.67          364.88        1000.00       1000.00       1.02          
53      6.33          368.14        1000.00       1000.00       1.03          
54      4.67          355.44        1000.00       1000.00       1.00          
55      6.00          368.51        1000.00       1000.00       0.99          
56      4.00          384.74        1000.00       1000.00       1.00          
57      7.00          342.66        1000.00       1000.00       0.99          
58      8.00          473.61        1000.00       1000.00       1.10          
59      7.00          457.02        1000.00       1000.00       1.04          
60      4.00          461.32        1000.00       1000.00       1.00          
61      4.00          489.98        1000.00       1000.00       1.09          
62      6.00          515.25        1000.00       1000.00       1.09          
63      4.00          576.84        1000.00       1000.00       1.13          
64      4.00          582.90        1000.00       1000.00       1.17          
65      6.00          561.21        1000.00       1000.00       1.12          
66      5.33          574.44        1000.00       1000.00       1.14          
67      6.67          603.75        1000.00       1000.00       1.15          
