experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Reacher-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: LSTMNN
	hidden_layer_structure: [10]
	use_bias: True
elapsed_time: 2820.2360162734985

Genome Size: 900
Free Parameters: {'layer 0': {'input_weight_matrix': 440, 'hidden_weight_matrix': 400, 'bias': 40}, 'output_weight_matrix': 20}
Inputs: 11
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -5805.87      -889.93       -21.62        -24.29        8.81          
1       -5863.47      -820.99       -48.26        -24.29        1.15          
2       -5142.22      -743.98       -23.53        -24.29        1.25          
3       -2419.83      -636.70       -41.94        -24.29        1.31          
4       -2680.18      -645.72       -62.50        -24.29        1.21          
5       -2939.31      -578.92       -15.69        -18.27        1.30          
6       -5197.97      -604.47       -37.44        -18.27        1.09          
7       -3969.76      -548.16       -26.29        -18.27        1.12          
8       -3339.78      -518.17       -30.78        -18.27        1.19          
9       -3575.67      -573.46       -15.00        -18.27        1.23          
10      -3094.41      -541.78       -12.73        -18.27        1.12          
11      -4782.76      -575.12       -15.85        -18.27        1.41          
12      -2420.49      -467.96       -9.62         -12.51        1.12          
13      -2712.50      -412.39       -10.97        -12.51        1.02          
14      -3380.16      -441.61       -11.71        -12.51        1.15          
15      -4264.28      -460.19       -12.71        -12.51        1.28          
16      -5780.27      -407.15       -11.62        -12.51        1.04          
17      -4626.59      -431.95       -10.44        -12.51        1.36          
18      -5368.12      -351.14       -12.04        -12.51        1.06          
19      -4014.44      -377.12       -13.21        -11.90        1.14          
20      -3206.27      -340.15       -10.17        -11.90        1.14          
21      -4603.39      -357.35       -9.62         -11.90        1.24          
22      -3221.35      -310.04       -8.66         -11.90        1.13          
23      -10903.88     -321.63       -10.59        -11.90        1.23          
24      -2830.67      -282.41       -10.08        -11.90        1.05          
25      -5586.48      -306.02       -9.75         -10.14        1.07          
26      -7432.70      -236.31       -9.46         -10.14        1.08          
