experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Hopper-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 20
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: False
	alpha: 0.01
elapsed_time: 5320.903245449066

Genome Size: 680
Free Parameters: {'V': 220, 'W': 400, 'T': 60}
Inputs: 11
Outputs: 3

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -1.47         11.24         87.14         87.96         18.70         
1       -1.31         11.20         94.59         87.96         0.45          
2       -1.39         8.74          76.65         87.96         0.46          
3       -1.55         10.54         93.14         87.96         0.71          
4       -1.36         10.54         167.97        146.71        0.51          
5       -1.69         10.43         126.09        146.71        0.48          
6       -1.45         12.20         85.03         146.71        0.52          
7       -1.44         12.28         131.12        146.71        0.58          
8       -1.76         11.03         86.39         146.71        0.51          
9       -1.60         10.71         123.99        146.71        0.45          
10      -1.22         13.24         109.45        146.71        0.46          
11      -1.72         12.05         134.19        146.71        0.53          
12      -1.77         15.46         112.97        146.71        0.53          
13      -1.58         15.82         153.84        146.71        0.48          
14      -1.43         19.76         171.42        148.51        0.45          
15      -1.72         15.52         89.54         148.51        0.45          
16      -1.33         17.47         126.66        148.51        0.46          
17      -1.57         26.28         148.18        148.51        0.47          
18      -1.46         26.09         117.20        148.51        0.52          
19      -1.43         27.56         108.55        148.51        0.44          
20      -1.53         27.39         119.73        148.51        0.47          
21      -1.27         29.22         113.73        148.51        0.47          
22      -1.58         28.37         107.92        148.51        0.49          
23      -1.69         31.92         148.59        152.40        0.43          
24      -0.60         29.64         137.83        152.40        0.47          
25      -1.58         30.00         121.43        152.40        0.45          
26      0.85          35.00         147.17        152.40        0.45          
27      -0.36         33.70         110.69        152.40        0.44          
28      -1.59         36.22         134.86        165.39        0.50          
29      0.28          38.27         109.90        165.39        0.46          
