experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: InvertedPendulum-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 10
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: True
	alpha: 0.0
elapsed_time: 7307.990729570389

Genome Size: 160
Free Parameters: {'V': 40, 'W': 100, 'T': 10, 'x_0': 10}
Inputs: 4
Outputs: 1

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       7.00          25.36         80.33         75.14         8.33          
1       8.33          26.21         89.00         84.64         0.63          
2       8.00          25.25         75.67         84.64         0.77          
3       8.33          25.77         74.33         84.64         0.53          
4       8.67          22.62         93.00         86.86         0.57          
5       8.00          23.80         75.00         86.86         0.60          
6       8.33          27.73         88.67         86.86         0.58          
7       8.00          28.73         97.33         95.60         0.54          
8       8.00          25.24         86.67         97.44         0.59          
9       8.33          26.95         110.00        104.96        0.52          
10      9.33          32.54         96.00         104.96        0.59          
11      8.00          31.22         98.00         104.96        0.55          
12      8.67          36.94         140.00        135.58        0.58          
13      6.67          38.98         151.00        153.04        0.60          
14      8.00          36.52         113.67        153.04        0.55          
15      8.33          41.43         114.00        153.04        0.56          
16      7.67          44.41         122.00        153.04        0.58          
17      6.67          44.88         126.67        218.12        0.63          
18      7.33          45.42         168.33        218.12        0.60          
19      6.33          48.59         117.33        218.12        0.62          
20      6.67          47.78         185.33        218.12        0.61          
21      6.33          48.31         141.00        218.12        0.58          
22      6.00          51.08         218.00        218.12        0.62          
23      6.00          53.73         174.33        218.12        0.59          
24      5.67          50.41         191.00        219.26        0.58          
25      6.00          53.57         161.00        219.26        0.59          
26      5.33          51.77         164.67        219.26        0.60          
27      5.67          47.45         258.33        219.26        0.65          
28      5.00          59.11         552.67        395.26        0.70          
29      5.00          53.38         211.33        395.26        0.62          
30      5.00          57.71         493.33        395.26        0.76          
