experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Swimmer-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
brain
	type: GRUNN
	hidden_layer_structure: [20]
	use_bias: True
elapsed_time: 19045.4562022686

Genome Size: 1780
Free Parameters: {'layer 0': {'input_weight_matrix': 480, 'hidden_weight_matrix': 1200, 'bias': 60}, 'output_weight_matrix': 40}
Inputs: 8
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -85.98        -3.35         184.14        189.28        13.11         
1       -66.12        -4.21         130.30        189.28        8.11          
2       -134.45       -4.65         152.26        189.28        8.75          
3       -159.77       -6.27         96.48         189.28        8.40          
4       -99.28        -4.31         226.33        227.52        8.59          
5       -112.93       3.07          151.02        227.52        8.63          
6       -95.20        0.91          268.43        268.70        8.81          
7       -131.17       3.83          182.09        268.70        8.20          
8       -150.08       4.16          141.27        268.70        8.74          
9       -208.83       10.52         218.98        268.70        8.99          
10      -152.00       9.89          226.01        268.70        8.77          
11      -156.82       17.74         246.72        268.70        8.44          
12      -104.13       20.25         220.81        268.70        8.18          
13      -167.05       12.69         235.25        268.70        8.28          
14      -95.28        28.44         215.27        268.70        8.49          
15      -64.99        37.71         229.44        268.70        8.48          
16      -172.08       40.72         253.98        268.70        8.91          
17      -84.59        58.99         277.27        276.97        8.66          
18      -94.65        67.74         265.86        276.97        8.94          
19      -69.17        75.37         261.66        276.97        8.52          
20      -70.36        81.92         257.92        276.97        8.42          
21      -82.90        95.83         255.37        276.97        8.15          
22      -131.46       94.34         315.55        316.49        8.36          
23      -66.26        110.51        325.27        324.70        8.46          
24      -103.00       127.59        338.63        343.13        8.26          
25      -94.57        131.75        353.52        349.86        8.03          
26      -64.35        136.73        307.61        349.86        7.77          
27      -108.48       143.38        326.54        349.86        8.50          
28      -99.88        134.56        332.78        349.86        7.89          
29      -125.84       149.11        325.95        349.86        7.78          
30      -89.42        154.34        271.79        349.86        7.71          
31      -87.87        164.77        326.34        349.86        8.53          
32      -55.77        163.27        333.00        349.86        7.83          
33      -71.34        160.29        319.48        349.86        7.95          
34      -57.20        156.32        345.31        349.86        7.98          
35      -60.48        166.63        315.61        349.86        7.68          
36      -78.86        156.50        339.25        349.86        8.16          
37      -44.91        162.61        335.49        349.86        7.38          
38      -105.17       165.04        342.19        349.86        7.75          
39      -88.24        159.40        350.77        349.86        7.99          
40      -63.03        165.63        332.25        349.86        7.68          
41      -99.86        172.75        333.34        349.86        7.84          
42      -76.03        179.32        327.54        349.86        7.45          
43      -102.60       183.14        343.05        349.86        7.64          
44      -58.05        170.81        354.13        355.40        8.25          
45      -83.22        164.89        339.95        355.40        7.75          
46      -122.78       159.74        342.22        355.40        7.57          
47      -61.46        158.96        337.72        355.40        7.61          
48      -41.35        176.49        349.58        355.40        7.93          
49      -123.07       171.64        342.24        355.40        7.77          
50      -62.42        163.22        335.82        355.40        8.16          
51      -82.97        162.27        334.36        355.40        7.84          
52      -73.26        177.78        332.76        355.40        7.69          
53      -77.20        159.40        335.80        355.40        7.75          
54      -63.37        168.57        346.40        355.40        7.75          
55      -71.31        160.27        342.41        355.40        7.56          
56      -113.67       151.55        348.47        355.40        7.48          
57      -83.16        159.23        345.67        355.40        7.84          
58      -59.41        143.68        345.87        355.40        7.47          
59      -58.74        152.84        356.21        355.40        8.36          
60      -85.83        151.76        349.44        355.40        7.90          
61      -67.26        172.40        339.50        355.40        7.60          
62      -52.12        163.63        344.00        355.40        8.14          
63      -73.71        171.69        348.05        355.40        7.50          
64      -79.23        173.97        347.70        355.40        7.33          
65      -91.56        161.09        341.86        355.40        7.56          
66      -85.81        162.51        343.91        355.40        7.96          
67      -88.13        179.24        345.20        355.40        7.95          
68      -66.51        176.25        342.69        355.40        7.93          
69      -96.59        174.39        343.80        355.40        7.71          
70      -97.38        157.87        346.09        355.40        7.75          
71      -54.87        174.72        347.32        355.40        7.18          
72      -104.23       182.57        351.99        355.40        7.56          
73      -66.46        191.50        350.74        355.40        7.84          
74      -72.25        184.93        350.48        355.40        8.09          
75      -64.35        182.55        346.08        355.40        7.54          
76      -50.31        197.02        347.25        355.40        7.15          
77      -87.76        191.29        348.40        355.40        8.05          
78      -91.32        194.89        342.50        355.40        7.72          
79      -77.11        188.27        344.64        355.40        7.63          
80      -54.07        191.24        353.93        355.40        7.42          
81      -77.66        196.18        342.95        355.40        7.40          
82      -82.29        195.50        355.22        355.40        7.81          
83      -71.42        195.07        350.37        355.40        7.94          
84      -61.81        187.87        344.52        355.40        7.84          
85      -29.68        213.94        350.87        355.40        7.53          
86      -100.83       211.75        351.97        355.40        7.58          
87      -64.34        193.23        353.03        355.40        7.46          
88      -46.36        200.90        347.06        355.40        7.28          
89      -48.63        186.69        337.20        355.40        7.41          
90      -43.35        200.63        349.41        355.40        7.82          
91      -37.20        198.98        343.91        355.40        7.12          
92      -46.72        198.33        347.53        355.40        7.84          
93      -107.40       185.07        347.03        355.40        7.49          
94      -86.68        194.12        345.38        355.40        7.49          
95      -70.05        198.40        355.64        355.40        7.14          
96      -57.86        215.71        343.28        355.40        7.39          
97      -30.68        220.78        355.53        355.40        7.48          
98      -52.87        191.43        350.11        355.40        7.76          
99      -49.60        200.15        352.57        355.40        7.15          
100     -46.21        208.66        345.78        355.40        7.77          
101     -32.04        215.16        347.98        355.40        7.41          
102     -63.51        216.67        349.66        355.40        8.28          
103     -80.33        207.29        349.21        355.40        7.62          
104     -83.31        208.99        343.76        355.40        7.43          
105     -73.44        211.72        344.99        355.40        7.32          
106     -100.94       215.95        346.92        355.40        7.70          
107     -49.55        216.17        344.78        355.40        7.46          
108     -44.18        221.72        351.64        355.40        8.01          
109     -46.16        231.37        345.41        355.40        7.33          
110     -81.58        226.69        350.85        355.40        7.64          
111     -90.93        234.86        351.69        355.40        7.40          
112     -26.03        230.44        352.46        355.40        7.61          
113     -42.38        235.60        349.46        355.40        7.37          
114     -27.35        248.29        353.51        355.96        8.11          
115     -5.88         255.09        354.32        355.96        7.12          
116     4.98          238.82        347.28        355.96        8.31          
117     -13.70        238.31        353.57        355.96        7.16          
118     -61.74        243.46        348.65        355.96        7.84          
119     -5.04         252.31        355.56        355.96        7.14          
120     -67.23        240.11        355.95        356.56        7.45          
121     -75.41        242.07        353.00        356.56        7.12          
122     -44.98        246.59        348.31        356.56        7.57          
123     -48.61        234.66        350.24        356.56        7.53          
124     -70.56        233.43        354.85        356.56        7.65          
125     -34.99        228.33        349.74        356.56        7.61          
126     -99.62        234.48        350.79        356.56        7.03          
127     -69.47        241.45        347.78        356.56        7.66          
128     -56.16        244.89        345.24        356.56        7.37          
129     -53.08        242.16        351.40        356.56        7.32          
130     -42.19        245.65        346.61        356.56        7.32          
131     -43.63        245.39        345.83        356.56        7.62          
132     -70.49        240.89        347.55        356.56        7.03          
133     -63.61        242.42        346.67        356.56        7.69          
134     -94.64        237.33        351.11        356.56        7.38          
135     3.66          244.56        347.63        356.56        7.84          
136     -58.90        249.42        350.05        356.56        7.32          
137     -19.07        247.05        348.48        356.56        7.59          
138     -64.98        247.24        351.61        356.56        8.14          
139     25.88         247.93        351.99        356.56        7.32          
140     -52.48        261.50        354.63        356.56        7.35          
141     -52.15        243.12        344.99        356.56        7.48          
142     -74.66        247.44        350.66        356.56        7.38          
143     -99.69        241.76        352.32        356.56        7.25          
144     -32.06        238.52        351.26        356.56        7.54          
145     -55.93        244.01        349.83        356.56        7.52          
146     -23.36        247.07        342.12        356.56        8.42          
147     -30.87        257.14        344.55        356.56        7.34          
148     -58.97        259.88        349.10        356.56        7.68          
149     -25.47        262.47        348.56        356.56        7.40          
150     -23.23        253.10        345.35        356.56        7.78          
151     -37.81        252.51        350.72        356.56        7.39          
152     -0.14         258.95        346.85        356.56        7.48          
153     -9.01         262.09        351.66        356.56        7.18          
154     -64.93        255.86        349.85        356.56        7.17          
155     -22.63        255.47        347.37        356.56        7.33          
156     -95.26        251.04        349.18        356.56        7.59          
157     -5.46         255.83        349.50        356.56        7.46          
158     10.48         249.40        349.06        356.56        8.13          
159     -59.07        260.38        350.87        356.56        7.51          
160     -48.18        246.32        347.61        356.56        7.49          
161     -43.46        250.61        350.13        356.56        7.43          
162     -5.64         260.87        347.88        356.56        7.48          
163     -49.84        248.21        349.36        356.56        7.62          
164     13.76         259.14        354.13        356.56        7.74          
165     -21.19        247.22        356.99        356.76        7.21          
166     -80.83        250.48        351.83        356.76        8.12          
167     -29.97        253.63        351.00        356.76        7.30          
168     -3.84         256.83        348.99        356.76        8.23          
169     -52.33        255.49        348.54        356.76        7.39          
170     0.22          266.24        350.45        356.76        7.90          
171     -25.27        264.60        353.66        356.76        7.19          
172     5.58          253.95        353.22        356.76        7.65          
173     -8.19         260.92        357.85        359.83        7.62          
174     -170.26       269.70        348.84        359.83        8.16          
175     -107.88       259.87        347.03        359.83        7.53          
176     -25.17        263.33        349.81        359.83        8.50          
177     -31.41        267.46        352.81        359.83        7.32          
178     -56.27        265.32        352.13        359.83        7.49          
179     -94.23        265.18        351.84        359.83        7.42          
180     -59.08        268.23        360.29        359.83        7.60          
181     8.04          264.69        352.47        359.83        7.60          
182     19.75         271.48        350.79        359.83        8.15          
183     -20.07        263.88        354.19        359.83        7.72          
184     -25.97        267.02        354.62        359.83        7.74          
185     -10.82        269.51        348.27        359.83        7.48          
186     17.08         284.70        354.49        359.83        7.46          
187     -33.83        263.73        354.29        359.83        7.48          
188     -33.75        269.26        352.76        359.83        8.21          
189     -16.97        283.06        353.09        359.83        7.42          
190     -27.61        268.46        353.42        359.83        7.57          
191     -36.86        268.75        357.22        359.83        7.30          
192     -39.05        270.58        351.72        359.83        7.82          
193     -37.23        280.87        358.88        359.83        7.43          
194     -54.12        266.84        354.88        359.83        8.31          
195     10.41         279.65        355.80        359.83        7.52          
196     26.41         286.10        351.53        359.83        7.23          
197     18.12         272.87        351.90        359.83        8.09          
198     13.93         282.71        353.75        359.83        7.37          
199     15.85         280.45        355.83        359.83        7.88          
200     -21.90        287.21        352.05        359.83        7.80          
201     -7.92         286.61        357.39        359.83        7.68          
202     29.37         271.29        355.61        359.83        7.76          
203     -31.48        282.39        353.27        359.83        7.48          
204     -18.67        276.79        354.29        359.83        7.50          
205     -27.98        279.70        354.37        359.83        7.66          
206     7.34          274.52        356.12        359.83        7.46          
207     -73.84        281.68        353.21        359.83        7.52          
208     -48.93        275.82        354.37        359.83        7.83          
209     -59.39        274.08        353.89        359.83        7.48          
210     23.59         278.11        352.16        359.83        7.83          
211     -58.89        275.55        356.64        359.83        7.34          
212     22.76         277.83        349.80        359.83        7.57          
213     -15.63        269.99        355.60        359.83        7.28          
214     -49.42        279.48        355.43        359.83        7.69          
215     -34.82        273.58        350.46        359.83        7.69          
216     -53.18        271.24        350.95        359.83        7.67          
217     8.89          280.24        353.36        359.83        7.46          
218     30.27         286.37        355.26        359.83        7.21          
219     29.68         285.57        354.02        359.83        7.86          
220     -23.21        282.04        350.34        359.83        8.33          
221     -15.13        288.54        352.61        359.83        7.83          
222     -18.54        283.88        354.92        359.83        7.78          
223     16.47         286.65        359.12        359.83        7.63          
224     -41.38        286.21        351.85        359.83        7.20          
225     119.25        297.43        351.17        359.83        7.53          
226     8.24          285.71        353.81        359.83        7.58          
227     39.62         298.74        357.48        359.83        7.43          
228     5.87          294.89        356.87        359.83        7.90          
229     -40.19        291.59        356.93        359.83        7.23          
230     -39.76        293.57        357.18        359.83        8.17          
231     51.31         285.31        357.88        359.83        7.83          
232     9.97          283.16        355.34        359.83        7.48          
233     -12.94        291.06        352.91        359.83        7.46          
234     -19.07        281.34        355.60        359.83        7.52          
235     -29.32        285.73        355.10        359.83        7.12          
236     8.81          287.81        357.82        359.83        7.26          
237     -28.44        285.73        351.79        359.83        7.60          
238     -18.83        281.77        356.98        359.83        7.29          
239     27.43         287.71        348.96        359.83        7.24          
240     55.89         294.38        352.90        359.83        7.53          
241     -24.27        283.06        356.73        359.83        7.32          
242     -2.86         286.74        351.80        359.83        8.08          
243     43.85         288.47        351.88        359.83        7.31          
244     1.54          292.50        359.37        359.83        8.20          
245     8.19          292.92        352.50        359.83        7.18          
246     15.19         292.52        354.46        359.83        7.58          
247     -8.68         298.44        356.66        359.83        7.32          
248     28.19         298.41        358.07        359.83        7.34          
249     3.54          289.33        358.68        359.83        7.69          
250     43.23         291.09        362.50        359.83        7.36          
251     7.93          290.32        353.94        359.83        7.69          
252     -17.56        298.53        353.69        359.83        7.20          
253     4.13          292.22        354.48        359.83        7.51          
254     2.45          297.16        354.32        359.83        7.38          
255     30.00         295.22        352.47        359.83        7.20          
256     7.39          299.08        350.77        359.83        7.60          
257     -82.91        293.55        358.77        359.83        7.19          
258     -2.39         299.61        352.56        359.83        8.17          
259     -18.00        295.76        352.84        359.83        7.20          
260     13.54         294.33        356.23        359.83        7.66          
261     32.33         288.91        350.22        359.83        7.34          
262     -15.42        291.00        353.92        359.83        8.25          
263     -16.46        299.35        353.13        359.83        7.68          
264     11.59         302.33        352.00        359.83        7.62          
265     41.17         304.38        352.26        359.83        7.25          
