experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Swimmer-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
brain
	type: LSTMNN
	hidden_layer_structure: [20]
	use_bias: True
elapsed_time: 24732.735560894012

Genome Size: 2360
Free Parameters: {'layer 0': {'input_weight_matrix': 640, 'hidden_weight_matrix': 1600, 'bias': 80}, 'output_weight_matrix': 40}
Inputs: 8
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -84.81        -3.90         89.62         79.63         14.13         
1       -64.54        -2.38         57.83         79.63         11.51         
2       -75.51        -3.65         73.33         79.63         12.09         
3       -69.73        -3.64         73.99         79.63         10.25         
4       -140.75       -1.13         91.52         92.22         11.17         
5       -57.09        -1.89         87.20         92.22         10.56         
6       -76.86        0.85          81.31         92.22         10.44         
7       -109.67       -1.12         54.21         92.22         10.88         
8       -61.96        4.55          181.48        168.32        10.87         
9       -63.64        5.16          107.54        168.32        10.98         
10      -81.98        4.19          75.99         168.32        10.77         
11      -87.69        8.48          136.09        168.32        11.72         
12      -50.38        17.78         179.25        179.80        10.42         
13      -67.87        16.54         170.77        179.80        10.70         
14      -79.76        14.77         136.41        179.80        10.77         
15      -68.77        14.68         160.81        179.80        10.88         
16      -82.44        24.85         128.42        179.80        11.09         
17      -73.90        25.35         183.42        188.10        11.05         
18      -80.72        28.95         190.29        190.57        10.75         
19      -66.16        27.47         208.02        208.33        10.93         
20      -55.66        30.10         189.01        208.33        10.16         
21      -60.83        32.73         233.37        233.04        11.16         
22      -82.27        42.95         245.59        248.19        10.67         
23      -89.74        49.86         219.26        248.19        10.76         
24      -67.90        43.02         254.98        256.58        10.89         
25      -57.27        49.69         224.20        256.58        10.78         
26      -60.53        47.52         268.23        267.44        10.75         
27      -87.02        64.78         271.64        273.04        10.87         
28      -78.33        59.46         240.08        273.04        10.97         
29      -74.26        68.16         293.63        284.80        10.26         
30      -95.95        75.91         283.63        284.80        10.33         
31      -64.39        79.72         264.34        284.80        10.79         
32      -71.92        96.17         290.34        284.80        10.30         
33      -97.07        94.60         307.18        306.71        10.57         
34      -93.17        107.53        316.51        314.16        10.14         
35      -59.29        110.32        321.68        321.89        10.35         
36      -78.27        105.50        331.92        332.83        10.42         
37      -63.40        119.33        335.51        337.80        10.36         
38      -32.19        117.50        310.99        337.80        9.67          
39      -48.54        133.97        330.32        337.80        10.43         
40      -96.80        129.67        321.56        337.80        9.89          
41      -56.86        141.08        336.99        337.80        9.58          
42      -93.41        135.32        324.12        337.80        10.60         
43      -94.38        136.43        358.06        357.13        9.95          
44      -55.67        140.59        344.61        357.13        9.89          
45      -64.34        143.01        335.74        357.13        9.82          
46      -80.22        134.53        354.82        357.13        10.38         
47      -80.87        139.54        331.44        357.13        9.99          
48      -81.53        145.39        338.42        357.13        9.85          
49      -107.16       143.77        350.51        357.13        10.43         
50      -67.08        148.94        360.54        357.13        10.12         
51      -94.48        145.01        335.37        357.13        9.79          
52      -36.32        153.58        332.98        357.13        9.79          
53      -80.35        149.15        343.82        357.13        10.09         
54      -68.09        130.68        345.74        357.13        9.96          
55      -108.73       156.83        355.28        357.13        9.81          
56      -70.27        146.14        347.85        357.13        9.56          
57      -102.32       150.06        350.51        357.13        10.07         
58      -82.84        153.06        350.15        357.13        9.77          
59      -48.18        146.77        352.69        357.13        10.31         
60      -58.00        155.95        340.61        357.13        9.49          
61      -81.36        172.63        353.88        357.13        10.05         
62      -68.25        156.77        354.25        357.13        10.52         
63      -86.90        164.12        340.54        357.13        10.25         
64      -79.22        161.11        340.02        357.13        9.87          
65      -83.18        138.99        330.73        357.13        9.39          
66      -67.06        163.68        342.82        357.13        9.60          
67      -76.51        167.14        357.56        357.13        10.42         
68      -47.57        166.00        346.61        357.13        10.15         
69      -97.59        167.80        361.05        361.40        10.00         
70      -59.07        164.59        349.89        361.40        10.16         
71      -51.85        177.16        344.94        361.40        9.81          
72      -106.60       180.03        346.53        361.40        9.52          
73      -54.65        183.35        354.06        361.40        10.34         
74      -87.17        184.36        341.65        361.40        9.50          
75      -59.60        176.89        340.22        361.40        9.64          
76      -52.80        174.16        347.23        361.40        10.09         
77      -79.55        171.03        355.15        361.40        9.05          
78      -58.17        172.45        349.25        361.40        9.99          
79      -35.43        178.24        347.09        361.40        8.99          
80      -83.51        195.76        359.89        361.40        9.84          
81      -54.42        177.11        346.74        361.40        10.53         
82      -73.65        178.61        353.12        361.40        9.82          
83      -104.36       184.91        350.90        361.40        9.90          
84      -71.34        182.05        351.46        361.40        10.02         
85      -76.18        167.17        356.76        361.40        9.55          
86      -70.82        174.66        351.23        361.40        9.92          
87      -61.42        180.20        346.72        361.40        9.19          
88      -35.25        196.07        350.20        361.40        9.54          
89      -88.79        195.13        354.77        361.40        9.59          
90      -66.77        196.53        350.83        361.40        10.03         
91      -60.03        183.43        348.84        361.40        9.19          
