experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Walker2d-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 5
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: True
	optimize_x0: False
elapsed_time: 23462.796112060547

Genome Size: 140
Free Parameters: {'V': 85, 'W': 25, 'T': 30}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -41.12        -7.27         72.09         71.31         8.34          
1       -40.37        -6.76         91.52         83.67         0.95          
2       -98.36        -3.64         143.36        158.53        0.89          
3       -39.75        -2.74         301.20        242.61        0.97          
4       -52.81        -2.88         162.00        242.61        0.96          
5       -107.81       0.16          297.02        268.86        1.07          
6       -66.70        3.04          412.10        314.26        1.49          
7       -43.88        11.15         521.73        314.26        1.46          
8       -97.28        4.31          185.22        314.26        1.08          
9       -55.80        11.78         310.20        314.26        1.51          
10      -99.78        14.44         511.63        367.85        1.68          
11      -58.49        26.41         463.70        367.85        1.57          
12      -59.18        52.25         714.47        379.58        1.84          
13      -71.83        48.10         363.25        379.58        1.72          
14      -93.96        55.38         785.98        580.34        2.26          
15      -51.55        67.41         1047.15       1038.18       2.62          
16      -71.58        71.50         718.49        1038.18       2.40          
17      -62.11        66.99         478.43        1038.18       1.80          
18      -71.66        96.43         1018.31       1038.18       2.97          
19      -103.60       92.37         950.29        1038.18       2.98          
20      -57.75        98.95         612.75        1038.18       2.21          
21      -86.74        104.89        708.53        1038.18       2.96          
22      -63.21        100.62        756.39        1038.18       2.66          
23      -60.79        108.92        947.80        1038.18       3.07          
24      -61.39        100.12        455.07        1038.18       2.28          
25      -76.62        114.75        676.99        1038.18       2.80          
26      -41.47        105.53        751.54        1038.18       2.62          
27      -82.04        116.61        1056.06       1048.11       3.55          
28      -64.98        129.27        982.61        1048.11       3.18          
29      -38.73        121.38        1063.98       1048.11       3.08          
30      -62.73        147.36        1003.23       1048.11       3.56          
31      -33.59        149.01        1038.62       1048.11       3.07          
32      -74.35        153.16        1011.02       1048.11       3.32          
33      -25.20        163.71        988.06        1048.11       3.27          
34      -25.20        182.42        993.82        1048.11       3.38          
35      -28.91        187.11        1060.86       1062.60       4.12          
36      -49.17        174.79        1074.76       1062.60       3.72          
37      -28.45        175.36        1046.20       1062.60       3.72          
38      -38.27        178.42        1042.97       1062.60       3.94          
39      -146.44       172.11        1042.02       1062.60       3.53          
40      -71.74        207.49        1062.80       1062.60       3.93          
41      -69.88        195.10        1041.95       1062.60       4.29          
42      -187.35       251.08        1048.86       1062.60       4.51          
43      -61.48        257.49        1029.54       1062.60       4.61          
44      -30.43        281.96        1062.23       1062.60       4.90          
45      -45.60        298.07        1062.20       1062.60       5.21          
46      -34.02        345.79        1065.47       1062.60       5.52          
47      -74.16        343.52        1066.14       1062.60       5.75          
48      -39.22        335.66        1059.95       1062.60       5.61          
49      -35.16        368.05        1063.49       1064.59       5.77          
50      -29.52        452.72        1096.33       1077.27       6.34          
51      -26.79        385.00        1062.34       1077.27       5.72          
52      -51.54        394.20        1059.56       1077.27       6.10          
