experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Swimmer-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 20
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 3.0
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: True
	alpha: 0.1
elapsed_time: 13748.541885614395

Genome Size: 620
Free Parameters: {'V': 160, 'W': 400, 'T': 40, 'x_0': 20}
Inputs: 8
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -94.64        -2.29         73.36         75.60         10.88         
1       -123.96       -1.56         121.51        75.60         6.66          
2       -66.02        -3.48         84.71         75.93         6.45          
3       -91.91        -2.11         73.34         83.56         6.36          
4       -66.67        -4.70         73.27         83.56         6.45          
5       -70.32        -3.36         82.05         83.56         6.57          
6       -59.33        -2.64         71.27         83.56         6.36          
7       -71.91        -0.78         105.29        83.56         6.77          
8       -139.21       -0.97         97.06         83.56         6.37          
9       -55.65        -2.94         87.44         83.56         6.54          
10      -54.70        3.06          84.18         100.37        6.45          
11      -100.85       1.28          95.91         100.37        6.39          
12      -70.19        3.98          140.46        100.37        6.47          
13      -34.34        9.77          67.91         100.37        6.58          
14      -62.75        9.29          102.44        100.37        6.55          
15      -178.67       9.33          146.35        133.15        6.26          
16      -74.92        13.43         132.37        133.15        6.68          
17      -30.12        19.68         137.03        138.23        6.57          
18      -71.69        20.40         154.10        170.23        6.53          
19      -67.58        20.82         193.42        202.82        6.51          
20      -38.42        28.95         209.12        208.51        6.36          
21      -29.29        31.38         233.77        244.00        6.36          
22      -48.22        38.09         211.63        244.00        6.46          
23      -88.24        35.02         224.83        244.00        6.30          
24      -31.33        47.17         245.35        244.00        6.39          
25      -52.85        59.60         239.15        244.00        6.50          
26      -68.91        55.87         242.05        244.00        6.34          
27      -70.98        64.32         241.95        244.55        6.47          
28      -138.23       80.17         291.63        287.17        6.42          
29      -78.63        95.87         334.44        329.84        6.37          
30      -67.23        97.70         266.46        329.84        6.29          
31      -81.72        99.04         266.80        329.84        6.25          
32      -37.18        107.27        286.16        329.84        5.97          
33      -67.14        114.92        272.29        329.84        6.13          
34      -75.26        128.55        253.68        329.84        6.20          
35      -83.14        127.34        283.22        329.84        6.06          
36      -110.70       140.38        264.01        329.84        5.91          
37      -132.80       137.79        285.13        329.84        5.97          
38      -53.69        146.13        298.09        329.84        5.97          
39      -100.14       151.39        323.62        329.84        5.85          
40      -119.59       145.86        289.10        329.84        5.68          
41      -132.48       140.73        303.58        329.84        5.93          
42      -140.21       153.15        330.44        330.98        5.90          
43      -62.05        155.79        285.81        330.98        5.80          
44      -106.14       165.73        277.20        330.98        5.86          
45      -137.07       166.35        303.11        330.98        5.70          
46      -81.66        164.47        321.88        330.98        5.83          
47      -159.43       171.50        327.83        330.98        5.79          
48      -62.15        196.31        300.42        330.98        6.01          
49      -68.65        167.50        291.14        330.98        5.93          
50      -112.92       179.88        316.00        330.98        5.91          
51      -55.86        193.23        316.04        330.98        5.81          
52      -66.36        195.76        329.40        330.98        5.73          
53      -160.73       182.64        353.74        351.33        5.66          
54      -59.68        181.01        317.16        351.33        5.81          
55      -93.75        202.25        339.29        351.33        5.80          
56      -110.04       175.52        332.10        351.33        5.63          
57      -125.42       187.00        320.40        351.33        5.70          
58      -88.03        191.42        336.23        351.33        5.54          
59      -100.65       186.25        335.72        351.33        5.60          
60      -69.26        192.29        329.64        351.33        5.68          
61      -115.40       186.91        343.27        351.33        5.66          
62      -102.03       186.64        332.98        351.33        5.60          
