experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Reacher-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 5
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 3.0
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: False
	alpha: 0.0
elapsed_time: 1586.841475725174

Genome Size: 90
Free Parameters: {'V': 55, 'W': 25, 'T': 10}
Inputs: 11
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -107.76       -87.09        -18.03        -18.46        8.24          
1       -107.99       -84.85        -32.33        -18.46        0.67          
2       -107.74       -85.04        -22.34        -18.46        0.72          
3       -106.18       -82.85        -18.91        -18.46        0.67          
4       -107.76       -82.47        -13.82        -11.72        0.67          
5       -104.23       -80.72        -15.97        -11.72        0.63          
6       -105.74       -81.19        -17.28        -11.72        0.69          
7       -105.54       -82.70        -30.04        -11.72        0.66          
8       -105.88       -80.77        -21.63        -11.72        0.70          
9       -106.12       -81.28        -23.18        -11.72        0.65          
10      -106.66       -84.24        -21.96        -11.72        0.66          
11      -106.68       -80.24        -19.57        -11.72        0.64          
12      -106.44       -78.98        -24.83        -11.72        0.68          
13      -106.54       -78.72        -16.97        -11.72        0.61          
14      -107.77       -78.72        -23.53        -11.72        0.70          
15      -106.33       -76.21        -19.93        -11.72        0.64          
16      -106.67       -78.83        -29.22        -11.72        0.67          
17      -106.58       -76.43        -19.78        -11.72        0.65          
18      -104.94       -69.90        -20.52        -11.72        0.63          
19      -105.98       -74.61        -12.01        -11.72        0.64          
20      -105.00       -71.79        -16.74        -11.72        0.75          
21      -105.83       -73.59        -18.95        -11.72        0.68          
22      -107.53       -73.93        -10.46        -11.72        0.62          
23      -106.61       -74.39        -12.21        -11.72        0.66          
24      -104.22       -72.19        -14.35        -11.72        0.66          
25      -106.37       -73.77        -17.84        -11.72        0.65          
26      -106.63       -76.11        -22.29        -11.72        0.64          
27      -106.46       -72.83        -17.27        -11.72        0.61          
28      -105.90       -71.92        -23.40        -11.72        0.60          
29      -106.13       -73.38        -16.16        -11.72        0.64          
30      -105.83       -72.94        -20.52        -11.72        0.63          
31      -104.65       -73.84        -19.95        -11.72        0.62          
32      -107.09       -73.96        -17.34        -11.72        0.62          
33      -104.85       -69.75        -20.95        -11.72        0.62          
34      -103.37       -69.77        -13.86        -11.72        0.66          
35      -105.12       -70.41        -14.82        -11.72        0.65          
36      -107.04       -71.24        -32.62        -11.72        0.66          
37      -101.62       -65.23        -11.90        -11.72        0.65          
38      -105.87       -65.62        -15.12        -11.72        0.68          
39      -105.68       -66.98        -16.85        -11.72        0.64          
40      -104.94       -65.17        -17.44        -11.72        0.60          
41      -103.18       -65.47        -19.06        -11.72        0.64          
42      -105.84       -69.91        -18.22        -11.72        0.63          
43      -102.90       -66.14        -13.69        -11.72        0.65          
44      -104.56       -62.94        -7.99         -11.72        0.60          
45      -108.36       -66.36        -22.06        -11.72        0.61          
46      -105.41       -61.32        -17.22        -11.72        0.63          
47      -103.88       -60.03        -17.35        -11.72        0.62          
48      -103.71       -58.67        -13.45        -11.72        0.65          
49      -102.85       -58.70        -14.68        -11.72        0.62          
50      -103.98       -60.41        -11.30        -11.72        0.67          
51      -100.13       -59.15        -14.17        -11.72        0.63          
52      -107.33       -58.86        -12.84        -11.72        0.64          
53      -103.36       -53.82        -10.88        -11.72        0.65          
54      -104.45       -56.24        -11.72        -11.72        0.72          
55      -104.28       -57.80        -12.31        -11.72        0.60          
56      -99.62        -59.68        -14.29        -11.72        0.65          
57      -103.26       -55.57        -13.94        -11.72        0.63          
58      -100.28       -53.22        -15.25        -11.72        0.65          
59      -102.89       -54.33        -10.68        -11.72        0.68          
60      -105.93       -56.34        -17.18        -11.72        0.61          
61      -102.44       -54.08        -14.43        -11.72        0.61          
62      -104.21       -49.96        -11.73        -11.72        0.67          
63      -104.45       -55.26        -13.19        -11.72        0.62          
64      -101.10       -48.80        -9.16         -11.72        0.63          
65      -105.22       -53.82        -13.97        -11.72        0.61          
66      -104.56       -48.11        -11.20        -11.72        0.63          
67      -100.83       -50.39        -13.72        -11.72        0.66          
68      -101.77       -48.29        -11.31        -11.43        0.71          
69      -101.95       -50.78        -14.39        -11.43        0.61          
70      -101.71       -42.02        -7.83         -11.43        0.60          
71      -102.48       -49.88        -12.25        -11.18        0.69          
72      -100.90       -50.80        -11.93        -11.18        0.66          
73      -100.77       -50.36        -10.42        -11.18        0.65          
74      -103.57       -51.77        -12.21        -11.18        0.61          
75      -104.30       -56.54        -11.35        -11.18        0.62          
76      -102.88       -53.53        -11.00        -11.18        0.65          
77      -100.82       -49.67        -10.50        -11.18        0.61          
78      -102.67       -51.15        -9.00         -11.18        0.61          
79      -100.04       -45.42        -10.30        -11.18        0.62          
80      -100.83       -48.99        -13.42        -11.18        0.64          
81      -102.43       -51.37        -7.93         -11.18        0.65          
82      -103.16       -49.65        -12.64        -11.18        0.62          
83      -101.19       -51.80        -11.19        -10.15        0.65          
84      -99.93        -46.41        -9.39         -10.15        0.63          
85      -100.28       -42.11        -8.02         -10.15        0.61          
86      -101.56       -50.98        -13.65        -10.15        0.62          
87      -98.20        -47.51        -13.90        -10.15        0.58          
88      -102.66       -49.10        -11.80        -10.15        0.67          
89      -97.83        -43.79        -9.33         -10.15        0.60          
90      -92.52        -42.22        -12.85        -10.15        0.61          
91      -99.64        -37.86        -8.54         -10.15        0.65          
92      -103.66       -41.10        -11.32        -10.15        0.61          
93      -98.13        -44.31        -10.80        -10.15        0.66          
94      -101.24       -38.92        -7.51         -10.15        0.59          
95      -96.73        -45.52        -12.28        -10.15        0.65          
96      -98.31        -42.08        -11.86        -10.15        0.67          
97      -99.43        -38.41        -10.28        -10.15        0.68          
98      -99.11        -40.01        -5.50         -10.15        0.63          
99      -98.23        -37.37        -5.46         -10.15        0.60          
100     -96.06        -35.37        -6.10         -10.15        0.63          
101     -98.48        -38.89        -14.30        -10.15        0.68          
102     -98.93        -31.41        -10.92        -10.15        0.64          
103     -98.68        -33.92        -10.30        -10.15        0.60          
104     -98.73        -36.45        -8.29         -10.15        0.59          
105     -86.79        -30.57        -8.61         -10.15        0.63          
106     -74.40        -25.64        -7.23         -10.15        0.65          
107     -90.82        -30.95        -9.43         -10.15        0.65          
108     -92.36        -27.82        -7.72         -10.15        0.67          
109     -88.24        -29.37        -10.29        -10.15        0.65          
110     -89.33        -24.44        -10.07        -9.99         0.62          
111     -91.39        -28.07        -10.41        -9.99         0.62          
112     -91.84        -22.30        -6.82         -9.99         0.67          
113     -74.38        -24.35        -9.99         -9.99         0.65          
114     -89.82        -25.50        -10.14        -9.99         0.61          
115     -86.18        -24.85        -8.57         -9.99         0.61          
116     -77.32        -20.08        -7.69         -9.99         0.59          
117     -84.36        -25.30        -8.13         -9.99         0.65          
118     -77.54        -24.09        -9.89         -9.99         0.62          
119     -82.80        -27.39        -9.87         -9.69         0.61          
120     -77.53        -23.97        -7.74         -9.69         0.63          
121     -90.59        -25.99        -9.28         -9.66         0.62          
122     -88.11        -25.27        -8.74         -9.66         0.64          
123     -85.36        -27.78        -12.13        -9.66         0.65          
124     -82.57        -26.15        -9.59         -9.66         0.64          
125     -93.88        -26.50        -9.74         -9.66         0.61          
126     -87.02        -27.28        -10.82        -9.66         0.64          
127     -94.11        -25.50        -8.96         -9.66         0.67          
128     -82.06        -27.62        -11.00        -9.66         0.62          
129     -81.22        -25.15        -10.36        -9.66         0.61          
130     -85.63        -26.25        -12.09        -9.66         0.61          
131     -96.69        -26.40        -10.13        -9.66         0.61          
132     -82.70        -22.76        -9.70         -9.66         0.66          
133     -83.38        -20.72        -9.96         -9.66         0.58          
134     -73.39        -17.45        -8.02         -9.15         0.60          
135     -86.10        -20.35        -7.16         -9.15         0.68          
136     -80.87        -22.65        -9.11         -9.15         0.66          
137     -99.83        -24.48        -7.38         -9.15         0.62          
138     -87.69        -24.12        -8.88         -9.15         0.59          
139     -83.33        -22.77        -6.76         -9.15         0.63          
140     -92.48        -25.47        -7.75         -9.15         0.62          
141     -90.37        -28.22        -10.15        -9.15         0.64          
142     -79.83        -28.71        -13.28        -9.15         0.61          
143     -85.67        -25.96        -10.75        -9.15         0.62          
144     -79.76        -22.46        -7.93         -9.15         0.63          
145     -93.54        -23.27        -9.10         -9.15         0.65          
146     -79.81        -21.92        -8.11         -9.15         0.67          
147     -92.12        -22.33        -8.85         -9.15         0.64          
148     -91.97        -20.45        -6.60         -9.15         0.63          
149     -73.29        -21.54        -8.36         -9.15         0.61          
150     -83.18        -19.19        -7.02         -9.15         0.62          
151     -78.72        -25.80        -9.93         -9.15         0.66          
152     -77.45        -21.83        -8.66         -9.15         0.62          
153     -84.12        -20.83        -8.43         -9.15         0.65          
154     -78.79        -23.59        -8.59         -9.15         0.65          
155     -84.71        -21.70        -8.62         -9.15         0.65          
156     -71.57        -24.11        -10.63        -9.15         0.61          
157     -83.65        -21.79        -8.55         -9.15         0.66          
158     -88.31        -20.61        -7.56         -9.15         0.59          
159     -69.99        -24.45        -9.38         -9.15         0.60          
160     -68.70        -20.49        -8.56         -9.15         0.68          
161     -77.28        -22.37        -10.33        -9.15         0.61          
162     -78.93        -20.25        -8.10         -9.08         0.65          
163     -92.59        -20.34        -8.30         -9.08         0.62          
164     -75.90        -22.19        -7.15         -9.08         0.65          
165     -83.23        -19.84        -6.15         -9.08         0.62          
166     -78.61        -20.63        -9.76         -9.08         0.61          
167     -60.55        -19.05        -9.88         -9.08         0.62          
168     -67.18        -17.61        -8.44         -9.08         0.69          
169     -80.57        -16.13        -5.61         -9.08         0.64          
170     -64.38        -17.20        -7.30         -9.08         0.68          
171     -79.88        -17.58        -6.95         -9.08         0.70          
172     -83.01        -17.99        -6.80         -9.08         0.61          
173     -82.92        -18.40        -8.43         -9.08         0.67          
174     -77.28        -15.17        -6.67         -9.08         0.67          
175     -76.55        -16.18        -5.43         -9.08         0.61          
176     -84.10        -16.84        -6.97         -9.08         0.62          
177     -68.86        -17.78        -8.53         -9.08         0.68          
178     -63.41        -17.56        -7.36         -9.08         0.62          
179     -69.55        -18.46        -8.20         -9.08         0.61          
180     -82.23        -17.53        -7.09         -9.08         0.64          
181     -66.18        -20.37        -10.78        -9.08         0.64          
182     -79.87        -18.58        -7.32         -9.08         0.67          
183     -71.93        -13.45        -5.37         -9.08         0.66          
184     -61.08        -15.40        -8.70         -9.08         0.60          
185     -60.13        -13.46        -4.88         -9.08         0.61          
186     -71.66        -17.91        -8.79         -9.08         0.63          
187     -70.70        -16.93        -7.07         -9.08         0.63          
188     -65.10        -20.88        -9.69         -9.08         0.61          
189     -63.98        -17.58        -5.86         -9.08         0.61          
190     -65.38        -18.20        -8.98         -9.08         0.67          
191     -75.93        -20.42        -9.98         -9.08         0.61          
192     -71.17        -22.82        -9.83         -9.08         0.65          
193     -83.37        -19.55        -6.62         -9.08         0.61          
194     -93.93        -18.70        -8.96         -9.08         0.71          
195     -68.99        -14.90        -5.89         -9.08         0.63          
196     -53.59        -12.31        -6.75         -9.08         0.64          
197     -46.29        -14.38        -7.81         -9.08         0.61          
198     -71.44        -13.94        -4.30         -9.08         0.62          
199     -65.62        -14.48        -6.68         -9.08         0.61          
200     -78.63        -15.84        -7.89         -9.08         0.64          
201     -86.27        -20.74        -10.90        -9.08         0.58          
202     -62.05        -18.95        -8.23         -9.08         0.62          
203     -75.88        -20.18        -8.02         -9.08         0.64          
204     -88.24        -17.13        -7.44         -9.08         0.64          
205     -71.93        -19.91        -7.24         -9.08         0.64          
206     -95.94        -18.62        -5.28         -9.08         0.63          
207     -83.95        -20.47        -6.99         -9.08         0.61          
208     -89.13        -17.85        -6.19         -9.08         0.62          
209     -62.55        -19.05        -8.70         -8.85         0.62          
210     -66.29        -19.22        -8.60         -8.85         0.60          
211     -85.92        -18.07        -7.80         -8.85         0.67          
212     -81.82        -16.93        -7.25         -8.85         0.65          
213     -60.36        -16.07        -6.70         -8.85         0.61          
214     -73.09        -18.51        -8.51         -8.85         0.64          
215     -76.33        -18.50        -8.29         -8.85         0.60          
216     -73.37        -20.27        -9.41         -8.85         0.74          
217     -72.32        -20.22        -11.27        -8.85         0.64          
218     -83.37        -16.89        -4.47         -8.85         0.66          
219     -77.34        -18.06        -6.37         -8.85         0.62          
220     -88.39        -23.28        -10.41        -8.85         0.66          
221     -77.61        -22.22        -10.14        -8.85         0.63          
222     -68.68        -21.15        -10.04        -8.85         0.64          
223     -75.72        -21.95        -7.04         -8.85         0.60          
224     -82.26        -21.75        -9.54         -8.85         0.63          
225     -73.37        -21.31        -10.17        -8.85         0.70          
226     -83.90        -17.08        -6.71         -8.85         0.62          
227     -71.31        -20.57        -7.68         -8.85         0.58          
228     -62.38        -17.56        -9.07         -8.85         0.66          
229     -67.69        -16.44        -9.46         -8.85         0.63          
230     -72.11        -18.63        -7.66         -8.85         0.63          
231     -64.44        -20.10        -9.87         -8.85         0.63          
232     -65.70        -16.36        -8.94         -8.85         0.69          
233     -55.14        -15.22        -8.06         -8.85         0.65          
234     -66.91        -18.03        -8.38         -8.85         0.64          
235     -61.98        -18.39        -9.52         -8.85         0.59          
236     -80.18        -19.38        -6.85         -8.85         0.61          
237     -65.28        -15.59        -6.26         -8.85         0.63          
238     -67.93        -19.92        -9.99         -8.85         0.59          
239     -70.89        -17.47        -10.15        -8.85         0.61          
240     -70.15        -14.13        -7.27         -8.85         0.59          
241     -65.54        -12.65        -7.41         -8.85         0.64          
242     -64.85        -15.22        -7.03         -8.85         0.64          
243     -60.23        -15.74        -7.75         -8.85         0.59          
244     -74.70        -18.80        -7.60         -8.82         0.64          
245     -71.77        -15.51        -6.38         -8.82         0.64          
246     -57.22        -15.63        -8.55         -8.82         0.63          
247     -74.95        -17.39        -7.54         -8.82         0.64          
248     -82.28        -19.34        -7.88         -8.82         0.64          
249     -91.74        -23.72        -10.25        -8.82         0.62          
250     -81.94        -17.96        -3.26         -8.82         0.66          
251     -83.24        -21.92        -7.96         -8.82         0.66          
252     -78.38        -20.44        -7.65         -8.82         0.60          
253     -66.59        -22.77        -10.45        -8.82         0.60          
254     -78.29        -21.92        -9.34         -8.82         0.63          
255     -78.83        -24.60        -8.56         -8.82         0.66          
256     -78.59        -23.05        -6.90         -8.82         0.63          
257     -91.81        -26.01        -11.35        -8.82         0.60          
258     -74.73        -22.57        -10.15        -8.82         0.64          
259     -88.26        -21.11        -5.69         -8.82         0.62          
260     -91.92        -23.22        -8.37         -8.82         0.62          
261     -84.12        -25.54        -9.86         -8.82         0.63          
262     -65.51        -19.07        -6.20         -8.82         0.61          
263     -76.91        -23.87        -10.47        -8.82         0.65          
264     -83.91        -22.92        -7.76         -8.82         0.61          
265     -99.50        -23.24        -8.72         -8.82         0.65          
266     -89.93        -23.70        -8.97         -8.82         0.63          
267     -94.32        -21.48        -7.59         -8.82         0.65          
268     -76.70        -21.08        -8.74         -8.82         0.62          
269     -74.14        -20.15        -8.67         -8.82         0.61          
270     -75.67        -19.91        -8.89         -8.82         0.66          
271     -87.76        -20.07        -7.55         -8.82         0.62          
272     -68.58        -16.89        -7.94         -8.82         0.64          
273     -77.49        -19.54        -7.64         -8.82         0.62          
274     -75.14        -17.06        -8.71         -8.82         0.63          
275     -63.86        -16.98        -8.28         -8.82         0.62          
276     -70.45        -16.51        -6.68         -8.82         0.66          
277     -54.64        -15.71        -8.13         -8.82         0.68          
278     -64.37        -15.67        -8.09         -8.82         0.64          
279     -62.63        -15.20        -4.28         -8.82         0.68          
280     -82.23        -17.60        -8.82         -8.82         0.63          
281     -84.32        -18.97        -9.60         -8.82         0.61          
282     -64.31        -18.94        -8.17         -8.82         0.61          
283     -64.32        -17.66        -6.83         -8.82         0.62          
284     -66.66        -17.20        -7.63         -8.82         0.63          
285     -79.00        -19.73        -8.58         -8.82         0.68          
286     -70.34        -17.11        -7.12         -8.82         0.62          
287     -78.18        -18.26        -7.07         -8.82         0.64          
288     -65.71        -18.03        -7.43         -8.82         0.65          
289     -80.51        -17.91        -9.40         -8.82         0.63          
290     -61.50        -15.80        -8.75         -8.82         0.63          
291     -75.49        -15.51        -8.10         -8.82         0.64          
292     -63.73        -13.73        -4.96         -8.82         0.68          
293     -69.32        -15.62        -6.93         -8.82         0.61          
294     -85.82        -22.07        -9.71         -8.80         0.61          
295     -71.91        -19.57        -6.75         -8.80         0.66          
296     -80.00        -20.29        -7.59         -8.80         0.61          
297     -71.57        -16.53        -5.51         -8.80         0.64          
298     -74.19        -18.73        -6.90         -8.80         0.64          
299     -57.42        -13.99        -4.82         -8.80         0.63          
300     -64.90        -16.65        -7.35         -8.80         0.66          
301     -60.48        -13.52        -6.90         -8.80         0.67          
302     -62.70        -18.23        -10.75        -8.80         0.68          
303     -62.34        -15.92        -6.03         -8.80         0.62          
304     -61.44        -15.00        -7.39         -8.80         0.62          
305     -67.90        -15.78        -8.05         -8.80         0.63          
306     -65.99        -16.75        -7.41         -8.80         0.63          
307     -64.40        -13.41        -6.75         -8.80         0.60          
