experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: InvertedDoublePendulum-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: FFNN
	hidden_layers: [10, 10]
	neuron_activation: tanh
	neuron_activation_output: tanh
	use_bias: False
elapsed_time: 3613.768149137497

Genome Size: 220
Free Parameters: {'individual_size': 220}
Inputs: 11
Outputs: 1

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       29.44         49.24         138.34        115.40        8.18          
1       26.82         49.48         129.00        115.40        0.61          
2       26.79         49.02         128.75        115.40        0.63          
3       26.72         49.56         187.96        122.94        0.55          
4       26.80         48.54         131.94        122.94        0.57          
5       26.81         50.82         126.01        122.94        0.56          
6       26.81         50.58         160.10        153.07        0.56          
7       26.83         49.17         143.71        153.07        0.48          
8       26.81         51.42         122.50        153.07        0.61          
9       26.82         53.46         171.59        153.07        0.56          
10      26.74         52.96         119.81        153.07        0.56          
11      29.48         52.84         156.95        153.07        0.50          
12      29.53         54.35         149.80        153.07        0.55          
13      26.76         51.77         132.13        153.07        0.52          
14      26.80         54.99         146.60        153.07        0.61          
15      26.77         56.97         144.48        153.07        0.53          
16      26.79         56.57         147.77        153.07        0.58          
17      29.50         54.78         113.62        153.07        0.63          
18      26.77         59.65         125.88        153.07        0.51          
19      26.78         58.65         113.56        153.07        0.58          
20      26.81         60.84         121.19        153.07        0.54          
21      26.83         61.00         135.00        153.07        0.50          
22      29.43         62.59         122.66        153.07        0.50          
23      26.84         61.27         116.70        153.07        0.65          
24      26.78         65.00         131.80        153.07        0.49          
25      26.83         70.16         134.47        153.07        0.53          
26      26.82         65.44         124.80        153.07        0.50          
27      26.81         69.31         156.24        153.07        0.58          
28      26.81         70.72         143.70        153.07        0.61          
29      29.45         75.85         143.28        153.07        0.48          
30      26.83         75.20         150.48        153.07        0.54          
31      26.81         83.15         135.37        153.07        0.52          
32      26.81         74.20         153.27        153.07        0.47          
33      26.82         79.05         137.65        153.07        0.53          
34      29.53         76.65         140.90        153.07        0.50          
35      26.81         75.91         137.08        153.07        0.54          
36      26.70         72.54         141.17        153.07        0.50          
37      26.80         74.40         137.81        153.07        0.51          
38      29.50         73.17         118.65        153.07        0.51          
39      26.81         73.88         143.09        153.07        0.55          
40      26.71         75.31         181.45        153.07        0.52          
