experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: InvertedDoublePendulum-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: GRUNN
	hidden_layer_structure: [10]
	use_bias: False
elapsed_time: 2010.6621787548065

Genome Size: 640
Free Parameters: {'layer 0': {'input_weight_matrix': 330, 'hidden_weight_matrix': 300}, 'output_weight_matrix': 10}
Inputs: 11
Outputs: 1

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       29.48         44.21         113.28        93.75         8.79          
1       29.40         44.47         100.88        93.75         0.73          
2       26.79         45.60         131.44        99.55         0.78          
3       26.78         47.96         119.83        99.55         0.65          
4       26.79         46.75         113.12        105.42        0.70          
5       26.83         51.82         156.91        110.04        0.80          
6       26.78         50.71         129.16        110.04        0.69          
7       26.82         56.11         144.22        120.38        0.78          
8       26.84         52.87         126.01        120.38        0.85          
9       26.77         58.45         140.95        126.60        0.76          
10      26.85         57.27         224.90        220.25        1.09          
11      26.76         60.06         140.61        220.25        0.86          
12      26.78         60.86         112.29        220.25        0.83          
13      29.51         64.48         177.25        220.25        0.75          
14      26.81         65.69         125.79        220.25        0.78          
15      26.83         64.02         131.76        220.25        0.91          
16      26.81         64.53         143.03        220.25        0.78          
17      26.81         70.12         135.13        220.25        0.92          
18      26.83         68.37         150.37        220.25        0.71          
19      26.82         69.01         140.76        220.25        0.68          
20      26.78         67.73         128.95        220.25        0.78          
21      26.81         70.91         152.47        220.25        0.66          
22      26.82         67.97         156.33        220.25        0.62          
23      29.47         68.59         134.88        220.25        0.62          
24      29.49         72.28         119.33        220.25        0.69          
25      26.80         68.31         124.86        220.25        0.88          
26      29.51         69.90         162.03        220.25        0.70          
27      29.54         73.67         165.17        220.25        0.86          
28      26.71         69.87         125.35        220.25        0.73          
29      26.82         75.59         152.86        220.25        0.73          
30      26.80         71.74         156.03        220.25        1.07          
31      26.80         70.96         141.15        220.25        0.81          
32      26.83         71.68         147.10        220.25        0.81          
33      26.81         72.66         137.99        220.25        0.78          
34      29.47         72.82         141.19        220.25        0.68          
35      26.83         75.90         144.25        220.25        0.65          
36      26.87         75.40         143.58        220.25        0.76          
37      26.79         67.97         125.47        220.25        0.66          
38      26.82         76.42         173.24        220.25        0.88          
39      29.59         74.79         138.30        220.25        0.72          
40      29.44         75.98         186.85        220.25        0.65          
41      26.85         75.42         156.83        220.25        0.74          
42      26.77         77.23         174.51        220.25        0.80          
43      29.89         81.84         178.10        220.25        0.70          
44      29.95         76.69         171.20        220.25        0.66          
