experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Reacher-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: LSTMNN
	hidden_layer_structure: [10]
	use_bias: False
elapsed_time: 2813.6253592967987

Genome Size: 860
Free Parameters: {'layer 0': {'input_weight_matrix': 440, 'hidden_weight_matrix': 400}, 'output_weight_matrix': 20}
Inputs: 11
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -1475.30      -212.22       -15.13        -47.46        8.77          
1       -870.04       -174.62       -16.22        -24.34        1.15          
2       -1508.20      -166.60       -8.15         -11.31        1.24          
3       -1636.10      -187.94       -12.69        -11.31        1.13          
4       -1147.73      -146.23       -11.61        -11.31        1.06          
5       -2098.14      -177.01       -14.93        -11.31        1.09          
6       -671.43       -127.91       -13.19        -11.31        1.04          
7       -733.40       -126.77       -8.87         -11.31        1.02          
8       -1214.69      -136.25       -13.24        -11.31        1.05          
9       -881.76       -134.60       -9.80         -11.31        1.02          
10      -724.14       -116.87       -11.08        -11.31        1.43          
11      -1291.11      -121.07       -12.42        -9.81         1.05          
12      -1037.06      -120.08       -12.50        -9.81         1.12          
13      -444.57       -96.09        -10.95        -9.81         1.13          
14      -888.62       -107.47       -14.47        -9.81         1.31          
15      -563.04       -100.19       -9.32         -9.49         1.06          
16      -1043.11      -109.03       -11.22        -9.49         1.26          
17      -1219.56      -95.75        -11.68        -9.49         1.25          
18      -897.35       -96.99        -9.99         -9.49         1.13          
19      -589.81       -87.35        -11.63        -9.49         1.03          
20      -1840.45      -99.24        -10.58        -9.49         1.02          
21      -825.03       -96.00        -10.02        -9.49         1.10          
22      -720.17       -80.43        -10.58        -9.49         1.53          
23      -1454.69      -90.05        -10.78        -9.28         1.06          
24      -842.77       -77.62        -7.22         -9.28         1.23          
25      -1446.25      -110.10       -9.97         -9.28         1.03          
26      -1199.88      -125.16       -7.67         -9.28         1.04          
27      -4072.54      -172.12       -8.67         -9.28         1.11          
28      -1122.20      -97.21        -7.16         -9.28         1.22          
29      -3123.65      -110.15       -10.42        -9.28         1.44          
30      -1778.22      -86.37        -11.10        -9.28         1.18          
31      -1746.23      -111.01       -7.81         -9.09         1.00          
32      -755.43       -74.11        -10.00        -9.09         1.09          
33      -1133.52      -84.29        -9.33         -8.96         0.98          
34      -2922.99      -99.30        -9.24         -8.67         1.06          
35      -1202.50      -88.94        -8.83         -8.67         1.04          
36      -1056.08      -73.54        -6.49         -8.67         1.06          
37      -1762.23      -97.09        -8.84         -8.67         1.10          
38      -1782.41      -127.54       -8.64         -8.67         1.26          
39      -2401.89      -98.05        -10.23        -8.67         1.05          
40      -1224.48      -66.28        -7.39         -8.67         1.14          
