experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: InvertedPendulum-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: ELMANNN
	hidden_layer_structure: [5]
	use_bias: False
elapsed_time: 5329.326883554459

Genome Size: 50
Free Parameters: {'layer 0': {'input_weight_matrix': 20, 'hidden_weight_matrix': 25}, 'output_weight_matrix': 5}
Inputs: 4
Outputs: 1

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       4.33          16.39         103.00        95.66         7.87          
1       4.00          15.70         88.33         95.66         0.47          
2       4.00          14.89         121.00        109.68        0.52          
3       5.00          18.68         79.67         109.68        0.43          
4       4.33          19.80         349.33        339.80        0.54          
5       5.00          19.59         102.00        339.80        0.50          
6       5.00          18.80         87.33         339.80        0.49          
7       5.00          23.46         587.67        525.42        0.61          
8       4.67          22.39         367.67        525.42        0.55          
9       4.67          23.15         386.67        525.42        0.51          
10      5.33          23.79         269.33        525.42        0.55          
11      4.33          23.54         489.33        525.42        0.57          
12      4.33          30.68         1000.00       980.28        0.65          
13      4.00          21.62         131.00        980.28        0.49          
14      5.00          26.02         230.00        980.28        0.46          
15      5.33          30.11         272.00        980.28        0.49          
16      5.00          36.83         1000.00       1000.00       0.68          
17      4.33          36.31         683.67        1000.00       0.57          
18      4.33          26.78         275.67        1000.00       0.53          
19      4.33          30.33         385.33        1000.00       0.51          
20      4.33          27.07         641.00        1000.00       0.60          
21      5.00          30.94         259.00        1000.00       0.57          
22      4.67          35.98         1000.00       1000.00       0.68          
23      4.00          41.53         1000.00       1000.00       0.74          
24      4.33          38.61         1000.00       1000.00       0.75          
25      4.33          29.07         721.33        1000.00       0.67          
26      4.33          33.63         531.33        1000.00       0.55          
27      4.00          27.50         592.67        1000.00       0.59          
28      3.33          38.80         1000.00       1000.00       0.73          
29      2.33          25.32         273.00        1000.00       0.45          
30      3.00          33.50         1000.00       1000.00       0.67          
31      4.33          42.90         1000.00       1000.00       0.69          
32      3.67          30.38         337.00        1000.00       0.54          
33      3.00          33.45         671.67        1000.00       0.55          
34      4.00          47.08         1000.00       1000.00       0.66          
35      3.33          31.99         668.33        1000.00       0.59          
36      3.33          32.65         497.00        1000.00       0.57          
37      2.67          42.82         1000.00       1000.00       0.64          
38      3.00          33.72         366.33        1000.00       0.51          
39      3.67          38.60         1000.00       1000.00       0.69          
40      3.33          52.17         1000.00       1000.00       0.72          
41      2.67          65.22         1000.00       1000.00       0.71          
42      3.00          40.76         1000.00       1000.00       0.65          
43      3.33          57.50         1000.00       1000.00       0.71          
44      3.33          49.37         1000.00       1000.00       0.77          
45      3.00          51.59         1000.00       1000.00       0.67          
46      3.33          41.81         400.00        1000.00       0.57          
47      3.00          50.82         1000.00       1000.00       0.72          
48      3.33          60.08         1000.00       1000.00       0.73          
49      3.00          40.63         1000.00       1000.00       0.66          
50      3.00          42.18         1000.00       1000.00       0.71          
51      3.00          31.30         671.00        1000.00       0.52          
52      2.67          41.62         1000.00       1000.00       0.69          
53      2.00          46.83         1000.00       1000.00       0.71          
54      3.00          48.03         1000.00       1000.00       0.69          
55      2.67          51.53         1000.00       1000.00       0.71          
56      3.00          46.90         1000.00       1000.00       0.63          
57      3.00          47.98         1000.00       1000.00       0.76          
58      3.00          74.78         1000.00       1000.00       0.71          
59      3.00          75.39         1000.00       1000.00       0.73          
60      3.00          58.52         1000.00       1000.00       0.67          
61      3.00          77.41         1000.00       1000.00       0.70          
62      3.00          99.39         1000.00       1000.00       0.78          
63      3.00          75.80         1000.00       1000.00       0.74          
64      3.33          116.84        1000.00       1000.00       0.77          
65      3.00          115.55        1000.00       1000.00       0.99          
66      3.00          97.37         1000.00       1000.00       0.89          
67      2.33          72.10         1000.00       1000.00       0.71          
68      3.00          88.00         1000.00       1000.00       0.78          
69      3.33          110.81        1000.00       1000.00       0.80          
70      3.00          137.21        1000.00       1000.00       0.79          
71      3.00          126.11        1000.00       1000.00       0.84          
72      3.67          146.46        1000.00       1000.00       0.88          
73      3.00          135.20        1000.00       1000.00       0.86          
74      3.33          149.65        1000.00       1000.00       0.86          
75      3.33          165.46        1000.00       1000.00       1.06          
76      3.00          169.26        1000.00       1000.00       0.86          
77      3.33          142.55        1000.00       1000.00       0.84          
78      3.00          184.16        1000.00       1000.00       0.90          
79      3.33          216.49        1000.00       1000.00       1.05          
80      3.00          240.83        1000.00       1000.00       0.96          
81      5.00          318.09        1000.00       1000.00       1.20          
82      3.67          340.28        1000.00       1000.00       1.20          
83      3.00          280.19        1000.00       1000.00       1.14          
84      3.00          272.51        1000.00       1000.00       1.19          
85      5.00          276.26        1000.00       1000.00       1.11          
86      3.33          247.06        1000.00       1000.00       1.13          
87      3.00          282.59        1000.00       1000.00       1.02          
88      3.67          311.94        1000.00       1000.00       1.12          
89      3.00          340.97        1000.00       1000.00       1.20          
90      5.00          293.23        1000.00       1000.00       1.10          
91      4.33          298.37        1000.00       1000.00       1.08          
92      3.33          354.94        1000.00       1000.00       1.16          
93      3.00          339.22        1000.00       1000.00       1.18          
94      6.00          339.44        1000.00       1000.00       1.13          
95      3.33          360.22        1000.00       1000.00       1.20          
96      8.00          404.14        1000.00       1000.00       1.27          
97      4.33          429.13        1000.00       1000.00       1.30          
98      3.33          372.71        1000.00       1000.00       1.30          
99      3.00          404.19        1000.00       1000.00       1.26          
100     4.33          424.08        1000.00       1000.00       1.39          
101     6.67          492.55        1000.00       1000.00       1.52          
102     3.00          458.85        1000.00       1000.00       1.36          
103     3.00          450.65        1000.00       1000.00       1.33          
104     5.67          485.25        1000.00       1000.00       1.48          
105     3.67          480.55        1000.00       1000.00       1.36          
106     3.33          397.94        1000.00       1000.00       1.22          
107     3.00          419.61        1000.00       1000.00       1.36          
108     4.67          444.70        1000.00       1000.00       1.41          
109     5.33          477.89        1000.00       1000.00       1.39          
110     4.33          436.33        1000.00       1000.00       1.35          
111     3.00          418.70        1000.00       1000.00       1.25          
112     4.00          492.52        1000.00       1000.00       1.39          
113     3.33          567.82        1000.00       1000.00       1.55          
114     3.00          518.90        1000.00       1000.00       1.44          
115     5.33          551.48        1000.00       1000.00       1.55          
116     4.33          581.32        1000.00       1000.00       1.52          
117     7.00          596.75        1000.00       1000.00       1.68          
118     4.67          552.64        1000.00       1000.00       1.56          
119     4.33          685.24        1000.00       1000.00       1.75          
120     3.33          544.53        1000.00       1000.00       1.57          
121     3.00          543.03        1000.00       1000.00       1.42          
122     3.33          549.64        1000.00       1000.00       1.53          
123     5.33          534.63        1000.00       1000.00       1.56          
124     4.33          563.83        1000.00       1000.00       1.51          
125     8.67          661.60        1000.00       1000.00       1.74          
126     3.67          672.49        1000.00       1000.00       1.69          
127     4.67          661.83        1000.00       1000.00       1.71          
128     4.00          667.12        1000.00       1000.00       1.78          
129     4.33          697.21        1000.00       1000.00       1.91          
130     8.00          767.93        1000.00       1000.00       1.89          
131     4.00          778.31        1000.00       1000.00       1.80          
132     3.00          726.91        1000.00       1000.00       1.79          
133     6.00          773.10        1000.00       1000.00       1.82          
134     6.00          709.20        1000.00       1000.00       1.81          
135     7.00          711.09        1000.00       1000.00       1.79          
136     5.00          766.69        1000.00       1000.00       1.95          
137     3.67          723.21        1000.00       1000.00       1.86          
138     3.00          773.00        1000.00       1000.00       1.86          
139     3.00          748.24        1000.00       1000.00       1.78          
140     4.00          714.46        1000.00       1000.00       1.73          
141     3.00          774.79        1000.00       1000.00       1.89          
142     11.67         777.39        1000.00       1000.00       1.81          
143     3.00          763.50        1000.00       1000.00       1.86          
144     4.00          763.57        1000.00       1000.00       1.97          
145     5.33          774.53        1000.00       1000.00       1.89          
146     13.33         846.06        1000.00       1000.00       2.01          
147     12.33         853.69        1000.00       1000.00       1.94          
148     13.00         790.95        1000.00       1000.00       1.88          
149     6.33          801.02        1000.00       1000.00       1.89          
150     3.00          734.74        1000.00       1000.00       1.80          
151     3.00          699.47        1000.00       1000.00       1.87          
152     7.00          662.73        1000.00       1000.00       1.71          
153     3.00          626.08        1000.00       1000.00       1.82          
154     3.67          571.85        1000.00       1000.00       1.70          
155     3.33          624.18        1000.00       1000.00       1.63          
156     6.00          620.42        1000.00       1000.00       1.57          
157     6.00          728.69        1000.00       1000.00       1.73          
158     4.33          681.83        1000.00       1000.00       1.70          
159     6.67          631.53        1000.00       1000.00       1.64          
160     5.00          761.54        1000.00       1000.00       1.80          
161     8.33          696.55        1000.00       1000.00       1.73          
162     5.33          711.39        1000.00       1000.00       1.78          
163     6.00          761.78        1000.00       1000.00       1.94          
164     3.33          681.43        1000.00       1000.00       1.79          
165     4.67          615.18        1000.00       1000.00       1.69          
166     4.33          609.95        1000.00       1000.00       1.67          
167     3.00          616.14        1000.00       1000.00       1.55          
168     3.00          674.61        1000.00       1000.00       1.75          
169     6.67          707.58        1000.00       1000.00       1.72          
170     3.00          727.67        1000.00       1000.00       1.76          
171     3.00          803.20        1000.00       1000.00       1.89          
172     3.33          783.75        1000.00       1000.00       1.95          
173     14.33         818.06        1000.00       1000.00       1.99          
174     13.00         876.88        1000.00       1000.00       2.10          
175     6.67          861.28        1000.00       1000.00       1.97          
176     4.67          822.01        1000.00       1000.00       1.90          
177     8.33          706.31        1000.00       1000.00       1.76          
178     7.33          800.26        1000.00       1000.00       1.88          
179     6.67          809.61        1000.00       1000.00       1.89          
180     7.33          746.79        1000.00       1000.00       1.85          
181     4.00          654.71        1000.00       1000.00       1.74          
182     4.33          750.99        1000.00       1000.00       1.91          
183     7.33          830.68        1000.00       1000.00       1.94          
184     6.00          769.18        1000.00       1000.00       1.92          
185     3.67          820.31        1000.00       1000.00       1.91          
186     3.67          840.91        1000.00       1000.00       1.98          
187     3.00          877.02        1000.00       1000.00       2.02          
188     5.33          858.61        1000.00       1000.00       2.04          
189     6.33          882.07        1000.00       1000.00       2.15          
190     4.00          923.97        1000.00       1000.00       2.15          
191     6.67          951.17        1000.00       1000.00       2.13          
192     15.33         929.63        1000.00       1000.00       2.09          
193     45.67         967.76        1000.00       1000.00       2.12          
194     5.33          941.90        1000.00       1000.00       2.15          
195     4.33          917.89        1000.00       1000.00       2.20          
196     7.00          911.52        1000.00       1000.00       2.16          
197     4.00          897.55        1000.00       1000.00       2.14          
198     11.00         855.69        1000.00       1000.00       2.00          
199     10.00         904.64        1000.00       1000.00       2.05          
200     8.67          922.83        1000.00       1000.00       2.07          
201     25.67         939.41        1000.00       1000.00       2.15          
202     5.67          894.83        1000.00       1000.00       2.04          
203     3.00          905.79        1000.00       1000.00       2.08          
204     6.33          891.69        1000.00       1000.00       2.06          
205     15.67         902.07        1000.00       1000.00       1.97          
