experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: HalfCheetah-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 5
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 1.0
	set_principle_diagonal_elements_of_W_negative: True
	optimize_x0: True
elapsed_time: 11501.455837011337

Genome Size: 145
Free Parameters: {'V': 85, 'W': 25, 'T': 30, 'x_0': 5}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -1549.44      -390.97       209.89        111.76        9.52          
1       -1554.41      -375.30       714.32        719.68        5.14          
2       -829.25       -358.56       255.87        719.68        5.37          
3       -2275.43      -353.61       331.28        719.68        5.04          
4       -1394.18      -347.06       652.09        719.68        5.37          
5       -1926.22      -355.28       173.48        719.68        5.21          
6       -1155.67      -331.09       696.15        719.68        4.98          
7       -1467.98      -348.83       314.10        719.68        5.27          
8       -1038.27      -316.86       100.15        719.68        5.43          
9       -1744.07      -333.08       988.71        987.78        5.18          
10      -1821.21      -366.17       337.03        987.78        5.29          
11      -1842.22      -349.50       884.22        987.78        5.08          
12      -2357.27      -363.73       102.21        987.78        5.28          
13      -1667.43      -357.45       182.05        987.78        5.19          
14      -922.13       -331.35       407.75        987.78        5.44          
15      -2059.77      -339.69       603.09        987.78        5.22          
16      -1347.01      -317.12       646.33        987.78        5.24          
17      -1383.80      -334.50       401.72        987.78        5.24          
18      -1708.15      -326.48       1010.88       987.78        5.30          
19      -1609.77      -325.81       256.01        987.78        5.03          
20      -1261.08      -301.98       476.59        987.78        5.03          
21      -1056.07      -310.66       776.83        987.78        5.20          
22      -946.83       -265.93       579.26        987.78        5.18          
23      -1555.98      -273.72       331.31        987.78        5.07          
24      -1056.29      -235.93       1074.57       1121.33       5.06          
25      -1688.14      -279.31       1058.90       1121.33       5.24          
26      -1528.59      -239.77       825.89        1121.33       4.97          
27      -1545.22      -168.80       1435.62       1436.38       5.14          
28      -1807.28      -137.77       2102.86       1980.06       5.02          
29      -1579.92      -101.14       1930.91       1980.06       5.03          
30      -1098.69      -2.63         2863.08       2223.81       4.88          
31      -1410.90      82.33         1604.96       2223.81       4.61          
32      -1528.32      142.45        1489.39       2223.81       4.66          
33      -707.52       270.18        1517.61       2223.81       4.81          
34      -1829.05      246.09        1542.17       2223.81       4.90          
35      -1994.09      264.85        1506.71       2223.81       4.77          
36      -1120.45      343.33        1458.81       2223.81       4.62          
37      -2612.65      316.77        1546.96       2223.81       4.79          
38      -1372.74      353.51        1566.29       2223.81       4.64          
39      -1881.60      446.39        1612.08       2223.81       4.69          
40      -1641.97      464.73        1676.08       2223.81       4.70          
41      -1648.98      498.33        1590.09       2223.81       4.57          
42      -1536.63      519.10        1474.97       2223.81       4.62          
43      -1810.64      501.34        1622.70       2223.81       4.66          
44      -1393.68      582.82        1694.99       2223.81       4.61          
45      -1193.36      638.33        1651.03       2223.81       4.70          
46      -1440.55      554.29        1634.30       2223.81       4.60          
47      -1093.55      711.77        1541.35       2223.81       4.66          
48      -1555.64      660.76        1492.07       2223.81       4.76          
49      -1467.87      699.79        1338.11       2223.81       4.54          
50      -2016.72      748.30        1693.65       2223.81       4.68          
51      -2279.47      706.93        1478.99       2223.81       4.59          
52      -1812.64      658.62        1637.92       2223.81       4.57          
53      -1515.16      742.23        1689.51       2223.81       4.50          
54      -1553.57      688.54        1361.52       2223.81       4.73          
55      -838.20       777.97        1530.81       2223.81       4.42          
56      -1044.66      746.57        1698.65       2223.81       4.51          
57      -1004.61      772.81        1575.82       2223.81       4.70          
58      -1245.28      772.44        1299.75       2223.81       4.63          
59      -666.37       830.31        1607.93       2223.81       4.64          
60      -613.82       842.11        1696.14       2223.81       4.68          
61      -543.20       824.67        1528.10       2223.81       4.76          
62      -1799.78      822.64        1674.01       2223.81       4.59          
63      -803.70       899.33        1667.95       2223.81       4.62          
64      -1035.02      863.07        1666.85       2223.81       4.71          
65      -1733.03      862.37        1630.72       2223.81       4.67          
66      -1262.01      926.58        1387.26       2223.81       4.54          
67      -790.82       951.28        1714.87       2223.81       4.55          
68      -1289.94      854.86        1565.49       2223.81       4.77          
69      -1578.27      944.48        1691.32       2223.81       4.73          
70      -549.63       935.43        1674.36       2223.81       4.63          
71      -478.29       915.74        1351.25       2223.81       4.64          
72      -496.88       952.64        1670.27       2223.81       4.64          
73      -512.75       986.26        1382.92       2223.81       4.59          
74      -750.53       1034.91       1385.56       2223.81       4.62          
75      -800.53       1007.60       1682.90       2223.81       4.59          
76      -601.65       1039.21       1453.58       2223.81       4.70          
77      -539.83       1041.17       1702.60       2223.81       4.61          
78      -346.05       1072.47       1460.03       2223.81       4.81          
79      -193.29       1091.00       1597.45       2223.81       4.60          
80      -819.31       1048.05       1394.32       2223.81       4.57          
81      -705.97       1071.18       1513.20       2223.81       4.63          
82      -455.03       1064.50       1367.67       2223.81       4.49          
83      -837.00       1086.08       1677.28       2223.81       4.57          
84      -430.21       1109.33       1627.55       2223.81       4.55          
85      -788.73       1128.06       1371.38       2223.81       4.62          
86      -950.77       1097.46       1364.81       2223.81       4.64          
87      -214.30       1111.57       1459.29       2223.81       4.50          
88      -256.39       1074.56       1371.96       2223.81       4.55          
89      264.62        1119.99       1635.27       2223.81       4.67          
90      -45.18        1114.47       1395.99       2223.81       4.47          
91      78.79         1129.97       1432.05       2223.81       4.38          
92      -423.90       1097.51       1421.64       2223.81       4.63          
93      335.43        1153.14       1561.09       2223.81       4.63          
94      -324.62       1124.40       1566.55       2223.81       4.60          
95      -344.03       1109.23       1592.61       2223.81       4.43          
96      -907.59       1047.46       1654.47       2223.81       4.63          
97      -308.57       1122.75       1663.81       2223.81       4.69          
98      -593.72       1101.96       1377.06       2223.81       4.57          
99      -356.79       1126.61       1551.49       2223.81       4.54          
100     -499.54       1149.22       1575.14       2223.81       4.66          
101     -28.81        1180.46       1483.88       2223.81       4.65          
102     162.53        1172.23       1372.25       2223.81       4.71          
103     169.95        1176.70       1425.98       2223.81       4.65          
104     66.26         1164.03       1431.50       2223.81       4.64          
105     275.61        1197.84       1419.32       2223.81       4.65          
106     -396.29       1178.32       1460.40       2223.81       4.44          
107     333.65        1169.15       1406.38       2223.81       4.58          
108     140.47        1190.41       1363.73       2223.81       4.74          
109     -961.43       1179.17       1448.33       2223.81       4.38          
110     292.52        1171.55       1375.25       2223.81       4.49          
111     -282.90       1184.98       1408.06       2223.81       4.68          
112     -459.80       1158.05       1455.58       2223.81       4.43          
