experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Hopper-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
brain
	type: FFNN
	hidden_layers: [5, 5]
	neuron_activation: tanh
	neuron_activation_output: tanh
	use_bias: True
elapsed_time: 17468.778655529022

Genome Size: 108
Free Parameters: {'individual_size': 108}
Inputs: 11
Outputs: 3

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -0.50         19.63         294.73        297.46        8.78          
1       -1.74         32.10         588.69        297.46        1.32          
2       -0.05         33.68         346.07        345.08        1.23          
3       -0.54         40.61         664.06        668.50        1.58          
4       -0.87         38.18         598.18        668.50        1.42          
5       -0.71         35.46         385.04        668.50        1.30          
6       -0.49         38.85         206.50        668.50        0.84          
7       -0.86         38.73         244.61        668.50        0.98          
8       -0.66         57.29         1012.46       1012.07       1.95          
9       -1.33         39.76         342.43        1012.07       1.25          
10      -1.21         36.96         215.13        1012.07       0.89          
11      -0.91         64.48         1014.10       1013.77       2.12          
12      -1.28         45.30         825.53        1013.77       1.80          
13      -1.15         55.30         1002.84       1013.77       2.11          
14      -1.24         50.18         764.85        1013.77       1.84          
15      -1.27         62.77         1014.53       1014.35       2.14          
16      -1.44         48.19         1017.69       1017.90       2.16          
17      -1.22         73.58         1021.41       1021.56       2.44          
18      -1.34         65.76         1019.31       1021.56       2.29          
19      -1.12         81.70         1022.75       1022.91       2.25          
20      -1.21         57.15         1023.68       1024.44       2.15          
21      -1.08         88.01         1001.03       1024.44       2.26          
22      -1.76         77.95         1013.78       1024.44       2.35          
23      -1.50         79.22         1003.80       1024.44       2.24          
24      -1.44         98.43         1019.98       1024.44       2.57          
25      -1.09         80.18         1016.93       1024.44       2.35          
26      -1.11         80.79         1024.42       1024.44       2.31          
27      -1.33         78.17         995.71        1024.44       2.13          
28      -1.02         94.70         1018.16       1024.44       2.28          
29      -1.42         141.80        1024.19       1024.60       2.89          
30      -0.63         102.71        1009.78       1024.60       2.67          
31      -1.26         122.58        1018.74       1024.60       2.72          
32      -1.69         151.57        1019.82       1024.60       3.08          
33      -0.90         149.81        1017.73       1024.60       3.02          
34      -1.35         129.16        1024.59       1024.60       2.97          
35      -0.59         141.17        1025.03       1024.81       2.82          
36      -1.14         163.79        1020.09       1024.81       2.92          
37      1.68          165.96        1021.78       1024.81       3.42          
38      -0.88         201.72        1026.33       1028.10       3.13          
39      -1.15         170.90        1027.33       1028.10       3.04          
40      -1.21         200.90        1026.88       1028.10       3.42          
41      -0.11         224.87        1025.83       1028.10       3.90          
42      -0.63         226.86        1023.73       1028.10       3.55          
43      -1.27         239.34        1027.60       1028.10       3.31          
