experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Swimmer-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 5
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: True
	alpha: 0.0
elapsed_time: 11709.188794851303

Genome Size: 80
Free Parameters: {'V': 40, 'W': 25, 'T': 10, 'x_0': 5}
Inputs: 8
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -36.27        -5.14         65.32         61.44         9.90          
1       -141.68       -5.51         125.25        116.85        5.67          
2       -42.45        -6.02         54.84         116.85        5.70          
3       -49.87        -6.04         61.53         116.85        5.61          
4       -51.78        -4.74         150.34        158.08        5.64          
5       -63.14        -4.23         59.60         158.08        5.46          
6       -100.97       -4.82         42.68         158.08        5.56          
7       -62.87        -7.72         101.63        158.08        5.56          
8       -103.22       -5.56         70.30         158.08        5.52          
9       -57.44        -4.65         94.11         158.08        5.50          
10      -61.18        -1.81         106.74        158.08        5.63          
11      -44.23        -0.93         161.10        159.01        5.42          
12      -69.20        -4.33         84.31         159.01        5.71          
13      -106.92       -2.38         107.09        159.01        5.26          
14      -142.38       -1.21         95.18         159.01        5.43          
15      -52.34        1.16          132.18        159.01        5.74          
16      -63.13        -1.66         137.03        159.01        5.38          
17      -90.82        -2.03         129.06        159.01        5.53          
18      -80.58        2.75          176.56        159.01        5.52          
19      -128.99       5.55          160.36        159.01        5.12          
20      -68.03        11.63         236.97        222.09        5.41          
21      -100.98       9.15          151.50        222.09        5.39          
22      -86.74        15.32         220.29        222.09        5.42          
23      -122.49       14.46         308.82        307.29        5.30          
24      -69.97        14.79         155.51        307.29        5.33          
25      -77.62        23.08         193.01        307.29        5.39          
26      -69.16        24.95         337.36        331.11        5.43          
27      -108.98       25.17         284.58        331.11        5.16          
28      -80.99        33.27         227.74        331.11        5.42          
29      -109.57       25.26         195.96        331.11        5.26          
30      -61.47        36.33         239.87        331.11        5.20          
31      -170.41       28.08         206.97        331.11        5.20          
32      -52.76        42.18         284.64        331.11        5.21          
33      -74.57        30.05         255.43        331.11        5.18          
34      -114.85       38.10         226.15        331.11        5.31          
35      -139.09       38.34         220.91        331.11        5.19          
36      -140.19       32.54         225.84        331.11        5.19          
37      -150.52       37.69         248.30        331.11        5.31          
38      -196.97       41.86         233.26        331.11        5.16          
39      -121.90       43.88         225.23        331.11        5.24          
40      -143.47       48.11         237.37        331.11        5.15          
41      -113.99       54.62         253.30        331.11        5.19          
42      -83.38        61.66         239.25        331.11        5.17          
43      -79.46        59.63         240.17        331.11        5.22          
44      -91.06        57.64         272.62        331.11        5.22          
45      -110.62       51.53         266.99        331.11        5.22          
46      -120.81       63.50         319.26        331.11        5.10          
47      -164.70       60.61         332.40        331.11        5.11          
48      -102.22       61.01         250.83        331.11        4.91          
49      -163.55       60.00         241.75        331.11        5.10          
50      -91.73        59.74         254.06        331.11        5.17          
51      -106.41       58.98         247.77        331.11        5.18          
52      -172.01       60.37         253.00        331.11        5.22          
53      -132.23       83.22         302.27        331.11        5.09          
54      -88.01        83.12         273.92        331.11        4.93          
55      -189.11       87.15         249.59        331.11        4.98          
56      -131.18       89.55         284.06        331.11        4.88          
57      -151.81       80.10         310.48        331.11        5.08          
58      -95.08        96.08         266.34        331.11        4.92          
59      -93.28        92.82         309.31        331.11        4.85          
60      -106.68       76.11         306.44        331.11        4.95          
61      -78.35        91.73         313.06        331.11        4.97          
62      -124.37       82.53         315.44        331.11        4.99          
63      -135.71       89.66         260.84        331.11        4.84          
64      -142.79       88.49         311.23        331.11        4.98          
65      -84.94        96.90         292.61        331.11        5.00          
