experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Swimmer-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 20
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 3.0
	set_principle_diagonal_elements_of_W_negative: True
	optimize_x0: False
elapsed_time: 13760.242467164993

Genome Size: 600
Free Parameters: {'V': 160, 'W': 400, 'T': 40}
Inputs: 8
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -60.01        -2.53         61.59         45.40         10.60         
1       -78.27        -4.03         70.68         69.17         6.70          
2       -48.56        -5.19         96.84         87.30         6.69          
3       -58.34        -3.50         32.84         87.30         6.62          
4       -44.07        -1.91         63.30         87.30         6.63          
5       -44.34        -2.91         49.01         87.30         6.98          
6       -45.11        2.39          64.05         87.30         6.62          
7       -39.16        1.55          49.94         87.30         6.34          
8       -38.23        1.14          52.63         87.30         6.50          
9       -68.56        2.93          50.77         87.30         6.33          
10      -45.38        8.60          61.07         87.30         6.94          
11      -68.07        11.02         116.32        87.30         6.46          
12      -46.51        17.21         116.00        108.51        6.63          
13      -42.62        16.05         102.64        108.51        6.69          
14      -56.35        20.74         147.22        160.23        6.84          
15      -40.20        27.50         156.86        160.23        6.47          
16      -56.48        39.58         217.50        207.36        6.65          
17      -50.77        52.07         198.55        207.36        6.56          
18      -43.04        67.87         219.45        217.81        6.83          
19      -38.62        74.67         240.26        228.40        6.39          
20      -46.03        85.23         240.49        228.40        6.41          
21      -37.46        98.83         262.80        266.10        6.55          
22      -55.60        124.84        259.47        266.10        6.14          
23      -46.19        137.91        265.85        266.10        6.23          
24      -73.09        127.07        292.53        273.57        6.03          
25      -12.09        163.57        299.17        296.47        5.83          
26      -33.59        154.20        273.27        296.47        6.25          
27      -72.48        170.76        263.13        296.47        5.93          
28      -53.04        176.48        276.64        296.47        6.05          
29      -20.52        183.84        266.14        296.47        5.87          
30      -77.05        185.03        296.19        296.47        6.04          
31      -79.62        178.88        294.10        299.49        5.67          
32      -28.00        187.98        286.92        299.49        5.94          
33      -18.71        197.46        304.22        304.24        6.00          
34      -37.11        179.00        310.92        304.24        6.02          
35      -28.24        191.66        298.32        304.24        6.06          
36      -54.27        199.06        327.61        322.75        6.00          
37      -30.63        200.02        307.91        322.75        5.84          
38      -31.96        196.51        321.87        323.55        5.76          
39      -71.26        191.24        317.60        323.55        6.11          
40      -49.74        198.79        330.95        323.64        5.74          
41      -80.33        203.94        330.75        332.31        5.57          
42      -75.76        203.18        338.48        340.20        5.74          
43      -38.78        222.39        323.66        340.20        5.78          
44      -77.83        211.04        329.29        340.20        5.80          
