experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Walker2d-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 1.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 5
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 1.0
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: False
	alpha: 0.01
elapsed_time: 24015.30182671547

Genome Size: 140
Free Parameters: {'V': 85, 'W': 25, 'T': 30}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -35.91        -0.02         134.60        142.94        8.73          
1       -18.12        2.05          234.51        309.73        1.16          
2       -31.37        -1.30         63.61         309.73        0.95          
3       -35.25        0.25          129.13        309.73        0.91          
4       -45.57        1.80          208.79        309.73        1.04          
5       -39.17        3.90          227.65        309.73        1.06          
6       -29.98        1.59          235.70        309.73        0.98          
7       -39.22        7.47          261.78        309.73        1.16          
8       -19.98        6.97          331.60        321.86        1.04          
9       -69.69        4.84          356.71        498.22        1.40          
10      -62.48        12.06         362.45        498.22        1.34          
11      -39.09        14.53         411.07        498.22        1.26          
12      -38.24        16.98         358.37        498.22        1.40          
13      -55.75        20.30         342.74        498.22        1.35          
14      -50.90        20.39         381.47        498.22        1.37          
15      -31.36        30.04         421.46        498.22        1.51          
16      -43.23        36.27         584.68        549.81        1.82          
17      -33.79        31.99         944.65        797.05        2.45          
18      -61.62        40.84         978.00        920.58        2.24          
19      -35.32        44.71         1054.60       1048.81       2.57          
20      -46.97        36.18         372.04        1048.81       1.50          
21      -36.08        55.74         998.96        1048.81       2.54          
22      -52.57        52.75         982.99        1048.81       2.73          
23      -58.28        68.31         650.00        1048.81       2.12          
24      -40.45        53.51         441.59        1048.81       1.73          
25      -95.98        58.68         641.93        1048.81       1.96          
26      -31.04        48.65         413.81        1048.81       1.97          
27      -22.75        56.85         520.39        1048.81       1.69          
28      -62.13        63.26         344.82        1048.81       1.81          
29      -41.30        63.50         719.99        1048.81       2.30          
30      -24.61        80.63         400.60        1048.81       1.91          
31      -51.34        77.48         377.93        1048.81       1.75          
32      -46.95        68.89         539.00        1048.81       2.02          
33      -43.91        70.28         738.64        1048.81       2.44          
34      -57.74        75.60         319.48        1048.81       1.83          
35      -27.20        76.86         1015.05       1048.81       2.84          
36      -32.97        81.19         708.08        1048.81       2.13          
37      -37.85        74.43         777.45        1048.81       2.06          
38      -28.51        82.79         516.75        1048.81       1.92          
39      -61.25        90.08         727.37        1048.81       2.87          
40      -69.59        91.25         409.72        1048.81       1.97          
41      -43.84        108.66        993.46        1048.81       3.04          
42      -25.41        130.96        458.41        1048.81       2.11          
43      -26.12        135.25        563.43        1048.81       2.45          
44      -64.74        134.97        512.08        1048.81       2.23          
45      -14.49        131.64        939.75        1048.81       2.88          
46      -53.19        126.47        495.87        1048.81       2.35          
47      -53.54        124.86        443.14        1048.81       2.14          
48      -71.66        123.50        493.49        1048.81       2.07          
49      -21.22        115.68        786.99        1048.81       2.62          
50      -17.85        152.07        543.64        1048.81       2.63          
51      -7.58         143.19        955.79        1094.08       3.15          
52      -34.98        146.17        728.78        1094.08       2.38          
53      -31.94        156.97        620.23        1094.08       2.57          
54      -49.02        151.49        966.51        1094.08       3.37          
55      -39.34        137.47        1019.86       1094.08       3.05          
56      -19.82        152.10        671.72        1094.08       3.15          
57      -42.94        173.23        973.11        1094.08       3.60          
58      -67.43        157.30        512.62        1094.08       2.28          
59      -38.53        160.08        816.22        1094.08       2.51          
60      -68.63        154.92        1054.27       1094.08       3.25          
61      -49.57        170.04        609.20        1094.08       2.58          
62      -36.45        175.42        757.32        1094.08       2.91          
63      -76.10        156.47        1028.50       1094.08       3.06          
64      -11.43        174.95        982.24        1094.08       2.95          
65      -34.97        161.41        1056.09       1094.08       3.47          
66      -21.33        157.44        985.17        1094.08       2.96          
67      -9.91         170.51        574.05        1094.08       2.53          
68      -45.52        176.48        763.65        1094.08       2.76          
69      -13.12        198.32        1066.62       1094.08       3.68          
70      -17.28        183.25        1033.12       1094.08       3.10          
71      -16.12        177.88        610.00        1094.08       2.26          
72      -34.67        181.03        618.51        1094.08       2.33          
73      -8.02         190.36        804.40        1094.08       2.74          
74      -11.83        178.91        717.40        1094.08       2.63          
75      -16.69        161.54        960.25        1094.08       2.55          
76      -10.32        174.60        981.75        1094.08       3.01          
77      -20.80        162.54        818.68        1094.08       2.63          
78      -44.88        177.02        996.29        1094.08       3.38          
79      -11.12        199.39        737.42        1094.08       2.98          
80      -24.85        200.91        981.17        1094.08       2.75          
81      -1.46         211.43        931.15        1094.08       3.20          
82      -6.67         232.91        996.09        1094.08       3.81          
83      -24.82        277.28        1003.64       1094.08       4.14          
84      -5.55         234.10        1021.19       1094.08       3.58          
85      -8.11         231.86        907.25        1094.08       3.12          
86      -8.36         270.68        1031.86       1094.08       4.15          
87      -7.07         252.76        1015.13       1094.08       3.73          
88      -13.01        263.49        1058.18       1094.08       3.97          
89      -10.38        289.91        1087.11       1094.08       4.31          
90      -26.32        288.95        1007.98       1094.08       4.00          
91      -23.84        283.36        1020.93       1094.08       4.72          
92      -17.40        270.38        997.79        1094.08       3.97          
93      -48.27        264.98        1066.56       1094.08       4.22          
94      -46.84        281.81        1026.80       1094.08       4.58          
95      -37.14        308.82        1015.97       1094.08       4.74          
96      -25.19        323.03        1054.08       1094.08       4.94          
97      -13.40        301.34        1019.91       1094.08       4.53          
98      -17.36        280.76        1058.57       1094.08       4.60          
99      -71.14        363.96        1062.52       1094.08       4.99          
100     -24.42        372.53        1105.27       1094.08       5.79          
101     -24.49        320.84        1061.52       1094.08       4.53          
102     -46.89        326.10        1054.07       1094.08       4.57          
103     -44.20        280.83        1061.87       1094.08       4.97          
104     -63.22        328.80        1070.74       1094.08       4.48          
105     -51.00        342.35        1055.42       1094.08       4.90          
106     -44.49        310.29        1067.42       1094.08       5.12          
107     -34.35        374.02        1092.73       1094.08       5.11          
108     -35.26        314.74        1076.65       1094.08       4.49          
109     -68.88        313.32        1073.58       1094.08       5.08          
110     -31.08        299.37        1056.35       1094.08       4.46          
111     -26.92        281.30        1071.55       1094.08       4.31          
112     -50.51        278.80        1077.02       1094.08       5.08          
113     -17.11        283.84        1072.28       1094.08       4.63          
114     -46.40        297.02        1068.23       1094.08       4.84          
115     -23.23        322.45        1059.55       1094.08       4.90          
116     -27.70        370.85        1073.36       1094.08       5.35          
117     -93.69        364.99        1073.95       1094.08       5.28          
118     -27.18        343.78        1057.64       1094.08       5.57          
119     -32.61        382.01        1067.38       1094.08       5.79          
120     -26.35        311.05        1111.28       1094.08       4.96          
121     -21.60        373.74        1074.34       1094.08       5.57          
122     -25.21        361.83        1069.65       1094.08       5.33          
123     -56.28        308.18        1080.44       1094.08       4.94          
124     -60.91        300.76        1078.00       1094.08       5.00          
125     -31.66        332.27        1066.10       1094.08       4.70          
126     -83.42        380.13        1077.19       1094.08       5.76          
127     -25.73        367.81        1068.54       1094.08       5.46          
128     -48.52        402.92        1066.52       1094.08       5.86          
129     -89.44        429.39        1059.86       1094.08       6.01          
130     -52.85        435.43        1080.85       1094.08       5.24          
131     -31.04        474.20        1072.39       1094.08       6.11          
132     -38.94        474.43        1080.77       1094.08       6.33          
133     -29.18        449.36        1085.05       1094.08       6.08          
134     -82.55        530.83        1084.92       1094.08       7.09          
135     -76.80        496.44        1077.75       1094.08       6.53          
136     -80.06        503.80        1080.88       1094.08       6.58          
137     -75.36        508.44        1087.01       1094.08       6.64          
138     -13.75        563.12        1085.51       1094.08       7.06          
139     -46.88        573.10        1081.35       1094.08       7.34          
140     -18.88        538.13        1091.64       1094.08       6.38          
141     -14.11        572.63        1082.53       1094.08       7.14          
142     -69.53        493.98        1087.87       1094.08       6.05          
143     -63.09        563.60        1083.11       1094.08       6.98          
144     -14.04        570.02        1094.71       1094.58       6.91          
145     -20.85        571.87        1090.69       1094.58       7.15          
146     -14.33        610.30        1089.05       1094.58       7.46          
147     -13.80        565.87        1093.53       1094.58       6.56          
148     -20.90        539.45        1085.96       1094.58       7.04          
149     -22.92        605.79        1088.37       1094.58       7.20          
150     -13.59        697.60        1087.90       1094.58       8.22          
151     -15.58        599.96        1090.74       1094.58       7.20          
152     -20.60        523.33        1095.79       1094.58       6.74          
153     -86.85        663.29        1089.19       1094.58       7.88          
154     -20.58        596.49        1096.25       1094.58       7.58          
155     -38.77        593.92        1097.44       1095.71       7.06          
156     -101.16       565.28        1087.99       1095.71       7.16          
157     -78.91        602.79        1089.64       1095.71       7.44          
158     -25.90        634.20        1092.92       1095.71       7.77          
159     -16.86        638.46        1097.66       1096.20       7.71          
160     -153.34       712.53        1090.97       1096.20       8.35          
161     -14.98        711.90        1098.85       1096.36       8.10          
