experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Reacher-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
brain
	type: FFNN
	hidden_layers: [5, 5]
	neuron_activation: tanh
	neuron_activation_output: tanh
	use_bias: False
elapsed_time: 1497.6047792434692

Genome Size: 90
Free Parameters: {'individual_size': 90}
Inputs: 11
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -91.84        -29.56        -8.96         -10.81        8.03          
1       -86.90        -28.28        -8.72         -10.81        0.65          
2       -71.82        -26.01        -6.32         -10.81        0.67          
3       -72.19        -23.93        -6.39         -10.43        0.63          
4       -62.79        -23.96        -4.67         -9.58         0.67          
5       -75.91        -22.45        -7.21         -9.58         0.62          
6       -75.09        -23.31        -7.35         -9.58         0.64          
7       -87.22        -25.34        -9.30         -9.58         0.57          
8       -61.90        -21.15        -7.14         -9.57         0.66          
9       -86.01        -22.26        -6.33         -9.57         0.64          
10      -75.63        -24.76        -9.94         -9.57         0.62          
11      -65.81        -21.75        -8.64         -9.44         0.61          
12      -63.68        -24.60        -11.02        -9.44         0.62          
13      -68.99        -21.19        -7.01         -8.87         0.57          
14      -68.39        -24.35        -9.57         -8.87         0.65          
15      -65.58        -24.59        -8.74         -8.21         0.61          
16      -69.21        -20.77        -7.20         -8.21         0.64          
17      -59.44        -21.66        -8.39         -8.21         0.62          
18      -63.15        -19.68        -9.32         -8.21         0.66          
19      -61.28        -17.79        -7.10         -8.21         0.60          
20      -61.61        -20.54        -9.23         -8.21         0.58          
21      -69.19        -17.08        -7.08         -8.21         0.57          
22      -71.04        -20.29        -10.27        -8.21         0.65          
23      -55.46        -15.48        -5.30         -8.21         0.61          
24      -54.18        -17.94        -8.45         -8.21         0.62          
25      -51.59        -17.40        -7.85         -8.21         0.60          
26      -53.54        -16.83        -7.21         -8.21         0.57          
27      -43.98        -16.36        -7.48         -8.21         0.57          
28      -45.09        -14.11        -3.48         -8.21         0.63          
29      -58.16        -18.93        -9.14         -8.21         0.60          
30      -82.02        -19.81        -10.80        -8.21         0.66          
31      -48.41        -14.65        -6.33         -8.21         0.63          
32      -49.75        -16.54        -9.05         -8.21         0.56          
33      -56.90        -18.07        -9.35         -8.21         0.61          
34      -63.99        -18.56        -10.16        -8.21         0.61          
35      -45.30        -17.05        -7.43         -8.21         0.66          
36      -53.96        -17.47        -11.15        -8.21         0.60          
37      -58.35        -15.27        -7.26         -8.21         0.59          
38      -52.53        -16.95        -7.20         -8.21         0.61          
39      -48.78        -18.04        -10.11        -8.21         0.59          
40      -56.92        -17.02        -7.89         -8.21         0.57          
41      -74.40        -22.40        -11.60        -8.21         0.60          
42      -54.03        -18.65        -7.81         -8.21         0.61          
43      -53.91        -16.30        -8.34         -8.21         0.56          
44      -47.94        -15.57        -8.36         -8.21         0.59          
45      -61.16        -18.68        -8.52         -8.21         0.62          
46      -46.88        -14.33        -3.40         -8.21         0.62          
47      -50.45        -18.37        -8.38         -8.21         0.62          
48      -49.74        -15.44        -6.32         -8.21         0.63          
49      -56.38        -16.46        -9.29         -8.21         0.63          
50      -70.21        -14.33        -8.11         -8.21         0.60          
51      -43.30        -19.21        -10.71        -8.21         0.58          
52      -68.20        -15.75        -7.34         -8.21         0.66          
53      -51.52        -15.66        -7.84         -8.21         0.55          
54      -60.56        -17.05        -4.99         -8.21         0.63          
55      -46.05        -18.28        -6.99         -8.21         0.63          
56      -70.68        -17.58        -7.40         -8.21         0.64          
57      -79.25        -23.67        -11.17        -8.21         0.57          
58      -55.46        -18.84        -9.27         -8.21         0.62          
59      -48.19        -16.78        -6.08         -8.21         0.59          
60      -66.32        -17.77        -6.59         -8.21         0.60          
61      -65.60        -18.64        -7.00         -8.21         0.63          
62      -75.20        -20.99        -10.88        -8.21         0.68          
63      -49.25        -18.34        -8.42         -8.21         0.62          
64      -53.10        -17.60        -9.39         -8.21         0.65          
65      -55.17        -16.60        -8.53         -8.21         0.64          
66      -54.45        -19.49        -10.32        -8.21         0.59          
67      -57.63        -17.46        -9.08         -8.21         0.63          
68      -49.10        -17.34        -3.89         -8.21         0.58          
69      -54.60        -17.21        -8.70         -8.21         0.65          
70      -42.46        -15.33        -6.11         -8.21         0.61          
71      -52.92        -17.37        -8.70         -8.21         0.59          
72      -63.78        -16.98        -7.94         -8.21         0.63          
73      -63.06        -18.76        -10.31        -8.21         0.58          
74      -59.44        -19.44        -8.15         -8.21         0.59          
75      -53.95        -16.73        -8.06         -8.21         0.66          
76      -79.75        -15.40        -5.74         -8.21         0.59          
77      -46.76        -16.50        -8.76         -8.21         0.60          
78      -39.63        -14.26        -5.15         -8.21         0.64          
79      -58.88        -16.32        -9.35         -8.21         0.59          
80      -43.87        -13.88        -6.83         -8.21         0.60          
81      -70.33        -15.71        -4.79         -8.21         0.56          
82      -57.45        -16.43        -6.45         -8.21         0.64          
83      -61.36        -15.79        -6.01         -8.21         0.59          
84      -73.25        -19.62        -7.73         -8.21         0.59          
85      -67.17        -22.30        -9.23         -8.21         0.60          
86      -60.98        -18.62        -4.98         -8.21         0.58          
87      -55.71        -18.43        -5.40         -8.21         0.61          
88      -74.65        -18.43        -7.30         -8.21         0.56          
89      -55.98        -18.97        -7.93         -8.21         0.62          
90      -49.17        -16.24        -7.40         -8.21         0.56          
91      -46.73        -17.52        -7.00         -8.21         0.58          
92      -70.85        -17.40        -9.10         -8.21         0.62          
93      -60.63        -16.99        -6.90         -8.21         0.61          
94      -40.80        -15.26        -7.34         -8.21         0.60          
95      -63.89        -17.27        -8.62         -8.21         0.57          
96      -54.65        -16.81        -8.72         -8.21         0.61          
97      -46.84        -16.76        -7.77         -8.21         0.60          
98      -55.81        -18.93        -6.68         -8.21         0.66          
99      -68.37        -18.48        -7.22         -8.21         0.61          
100     -54.76        -20.09        -8.89         -8.21         0.65          
101     -47.85        -17.10        -7.02         -8.21         0.68          
102     -82.90        -17.67        -7.86         -8.21         0.64          
103     -55.59        -18.62        -10.09        -8.21         0.59          
104     -63.17        -19.32        -8.59         -8.21         0.59          
105     -57.58        -19.10        -8.26         -8.21         0.60          
106     -73.62        -18.52        -5.50         -8.21         0.64          
