experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: InvertedDoublePendulum-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
brain
	type: GRUNN
	hidden_layer_structure: [5]
	use_bias: True
elapsed_time: 12061.825601577759

Genome Size: 260
Free Parameters: {'layer 0': {'input_weight_matrix': 165, 'hidden_weight_matrix': 75, 'bias': 15}, 'output_weight_matrix': 5}
Inputs: 11
Outputs: 1

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       29.65         64.80         166.07        158.25        7.91          
1       29.65         63.53         151.38        158.25        0.57          
2       29.69         72.76         195.17        158.25        0.65          
3       29.70         68.89         195.00        166.25        0.53          
4       35.41         86.23         216.50        189.15        0.79          
5       32.74         81.95         184.52        213.71        0.58          
6       35.37         87.16         198.51        213.71        0.59          
7       29.52         88.90         244.36        270.66        0.63          
8       35.88         91.62         275.62        270.66        0.64          
9       35.53         101.61        277.78        270.66        0.69          
10      29.64         93.29         284.01        270.66        0.65          
11      26.83         94.65         314.96        270.66        0.58          
12      29.69         97.48         271.95        270.66        0.61          
13      29.61         93.72         247.63        270.66        0.52          
14      29.59         98.51         238.14        270.66        0.52          
15      26.81         95.84         275.10        270.66        0.50          
16      35.29         100.27        281.66        270.66        0.54          
17      35.81         99.15         285.94        270.66        0.67          
18      29.70         99.41         256.25        270.66        0.57          
19      35.72         94.25         222.44        270.66        0.57          
20      26.90         105.95        306.72        270.66        0.52          
21      29.55         98.51         281.24        270.66        0.62          
22      26.86         101.62        281.68        270.66        0.54          
23      35.83         107.30        293.43        270.66        0.54          
24      35.16         95.10         317.61        270.66        0.55          
25      35.54         101.87        353.34        284.46        0.69          
26      35.64         105.58        253.16        284.46        0.55          
27      35.39         98.48         200.15        284.46        0.52          
28      35.32         109.56        290.63        284.46        0.58          
29      42.01         110.07        272.66        284.46        0.54          
30      29.76         110.54        250.69        295.28        0.60          
31      35.44         101.42        259.44        295.28        0.61          
32      42.09         127.01        328.76        295.28        0.60          
33      35.45         112.65        315.97        295.28        0.51          
34      32.53         122.66        278.56        295.28        0.56          
35      35.70         128.43        322.29        295.28        0.67          
36      35.74         116.95        262.93        295.28        0.64          
37      35.93         125.75        346.99        295.28        0.58          
38      35.84         125.37        290.78        295.28        0.78          
39      35.81         134.49        344.47        295.28        0.63          
40      36.06         124.84        310.06        295.28        0.62          
41      36.16         136.58        322.17        295.28        0.70          
42      35.46         138.10        381.26        295.28        0.53          
43      45.04         142.70        481.33        295.28        0.56          
44      41.86         129.69        274.75        295.28        0.55          
45      36.06         122.25        312.89        295.28        0.56          
46      42.23         134.18        422.15        295.28        0.60          
47      45.07         125.85        253.99        295.28        0.53          
48      35.65         130.20        339.64        308.67        0.58          
49      35.99         140.94        353.09        308.67        0.61          
50      35.96         116.69        228.53        308.67        0.51          
