experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Walker2d-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: separated
	number_neurons: 5
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: True
	optimize_x0: True
elapsed_time: 25800.463652849197

Genome Size: 145
Free Parameters: {'V': 85, 'W': 25, 'T': 30, 'x_0': 5}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -48.99        -5.33         126.29        120.00        8.54          
1       -23.31        -6.41         69.85         120.00        0.90          
2       -86.02        -4.87         424.18        120.00        1.06          
3       -46.01        -5.33         157.51        120.00        0.91          
4       -103.78       -6.74         140.88        120.00        1.02          
5       -54.83        -5.75         108.87        120.00        0.83          
6       -46.91        6.40          998.86        1002.77       2.47          
7       -63.02        2.63          711.56        1002.77       1.66          
8       -77.13        8.68          297.42        1002.77       1.21          
9       -70.12        16.46         442.65        1002.77       1.63          
10      -79.96        19.97         453.46        1002.77       1.42          
11      -41.85        39.67         545.28        1002.77       1.48          
12      -83.48        34.06         637.83        1002.77       1.71          
13      -60.54        55.29         944.10        1002.77       2.21          
14      -50.42        33.24         456.45        1002.77       1.90          
15      -59.23        63.48         609.67        1002.77       1.79          
16      -75.78        54.01         987.16        1002.77       2.64          
17      -76.63        82.42         988.57        1002.77       3.01          
18      -93.52        78.32         973.82        1002.77       2.65          
19      -59.97        93.56         530.85        1002.77       2.23          
20      -108.49       88.10         1059.75       1059.59       2.98          
21      -52.32        91.03         1033.38       1059.59       2.87          
22      -60.75        80.43         700.17        1059.59       2.52          
23      -29.50        104.51        977.71        1059.59       2.73          
24      -87.04        145.35        1053.85       1059.59       3.07          
25      -79.27        109.85        1002.41       1059.59       3.15          
26      -42.19        122.44        1048.38       1059.59       3.33          
27      -75.05        142.24        1074.53       1059.59       3.41          
28      -63.45        128.01        1070.27       1067.56       3.42          
29      -63.83        179.78        1088.06       1067.56       3.13          
30      -89.96        166.74        1009.05       1067.56       4.12          
31      -92.88        215.54        1080.78       1067.56       3.73          
32      -29.84        237.13        1034.86       1067.56       4.05          
33      -27.31        270.01        1029.07       1067.56       4.61          
34      -46.39        247.80        1070.23       1067.56       4.61          
35      -46.52        297.54        1069.90       1067.56       4.39          
36      -19.69        360.25        1068.66       1067.56       5.52          
37      -45.49        352.83        1055.76       1069.87       5.44          
38      -72.85        401.58        1069.47       1069.87       5.58          
39      -40.23        332.22        1078.58       1078.69       5.06          
40      -40.32        343.54        1063.50       1078.69       5.22          
41      -23.37        449.75        1070.27       1078.69       5.84          
42      -38.53        390.67        1071.85       1078.69       5.46          
43      -36.18        424.10        1084.47       1078.69       6.00          
44      -44.79        411.78        1081.85       1078.69       5.50          
45      -54.40        391.99        1069.99       1078.69       5.79          
46      -22.08        519.27        1085.11       1086.96       6.83          
47      -24.72        499.00        1073.84       1086.96       6.70          
48      -20.44        519.92        1071.04       1086.96       6.91          
49      -34.85        450.11        1072.66       1086.96       5.96          
50      -21.06        455.10        1197.75       1152.86       6.10          
51      -47.96        532.06        1091.26       1152.86       7.02          
52      -11.75        528.71        1086.45       1152.86       6.98          
53      -66.09        567.63        1077.18       1152.86       7.35          
54      -19.99        541.20        1085.20       1152.86       7.15          
55      -56.49        542.43        1083.86       1152.86       7.26          
56      -58.40        585.60        1076.58       1152.86       7.12          
57      -63.64        576.02        1145.32       1163.39       7.32          
58      -26.82        588.11        1081.85       1163.39       7.24          
59      -54.37        497.25        1083.87       1163.39       6.67          
60      -44.31        564.43        1087.26       1163.39       7.00          
61      -42.06        559.94        1089.49       1163.39       6.79          
62      -21.10        643.21        1118.25       1163.39       7.59          
63      -10.73        591.80        1092.06       1163.39       7.09          
64      -56.03        549.87        1121.93       1163.39       6.81          
65      -26.24        496.26        1102.81       1163.39       6.45          
66      -25.42        539.39        1095.51       1163.39       6.89          
67      -26.14        586.52        1085.92       1163.39       7.26          
68      -40.25        659.58        1106.46       1163.39       7.68          
69      -23.97        564.54        1129.72       1163.39       6.99          
70      -59.50        557.69        1116.63       1163.39       7.00          
71      -9.96         566.22        1097.56       1163.39       7.18          
72      -15.76        473.24        1094.41       1163.39       6.14          
73      -26.98        574.19        1163.61       1163.39       7.19          
74      -8.14         520.45        1096.75       1163.39       6.75          
75      -15.84        568.23        1115.88       1163.39       7.04          
76      -22.59        604.56        1102.56       1163.39       7.36          
77      5.70          597.16        1184.89       1163.39       7.06          
78      -17.92        652.45        1174.99       1169.27       7.99          
