experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Walker2d-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 20
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: False
	alpha: 0.01
elapsed_time: 23917.003850460052

Genome Size: 860
Free Parameters: {'V': 340, 'W': 400, 'T': 120}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -63.46        -0.98         231.85        16.48         8.33          
1       -41.96        -3.58         117.80        86.73         1.14          
2       -23.49        1.43          240.99        220.24        1.97          
3       -40.79        1.14          208.55        220.24        1.33          
4       -83.92        -3.71         123.41        220.24        1.32          
5       -43.10        2.93          409.65        404.67        1.34          
6       -26.85        -0.04         180.41        404.67        1.30          
7       -107.71       -0.95         192.38        404.67        1.37          
8       -51.87        -2.15         142.80        404.67        1.21          
9       -127.11       0.72          183.98        404.67        1.41          
10      -39.18        0.35          164.41        404.67        1.30          
11      -35.30        5.76          272.01        404.67        1.32          
12      -89.29        4.80          205.18        404.67        1.35          
13      -73.74        8.04          176.91        404.67        1.45          
14      -61.15        8.56          272.97        404.67        1.42          
15      -47.42        7.33          152.43        404.67        1.53          
16      -124.33       14.14         436.55        404.67        1.57          
17      -41.56        17.82         316.24        404.67        1.72          
18      -32.48        28.29         336.27        404.67        1.78          
19      -35.36        29.26         331.24        404.67        1.95          
20      -71.94        32.38         303.97        404.67        1.70          
21      -46.75        38.08         823.39        777.36        2.95          
22      -140.36       43.90         855.14        777.36        2.42          
23      -30.85        66.34         366.37        777.36        2.01          
24      -86.12        68.47         348.79        777.36        2.17          
25      -62.64        81.79         451.77        777.36        2.44          
26      -33.18        74.53         337.17        777.36        2.34          
27      -41.10        81.88         463.82        777.36        2.29          
28      -41.62        93.72         411.27        777.36        2.46          
29      -25.47        91.59         405.71        777.36        2.81          
30      -89.28        105.66        416.61        777.36        2.63          
31      -36.52        118.25        571.25        777.36        2.87          
32      -91.31        105.45        398.82        777.36        2.74          
33      -32.03        126.56        353.64        777.36        2.75          
34      -36.94        126.40        374.99        777.36        2.75          
35      -29.10        138.47        671.37        777.36        3.24          
36      -45.18        135.07        387.78        777.36        2.56          
37      -35.58        147.95        383.01        777.36        2.65          
38      -61.80        144.85        376.75        777.36        2.70          
39      -58.76        139.24        363.91        777.36        3.13          
40      -121.56       155.32        428.56        777.36        3.19          
41      -20.82        139.66        409.20        777.36        2.78          
42      -32.37        151.08        421.74        777.36        2.80          
43      -38.39        162.62        420.13        777.36        2.78          
44      -44.71        148.46        355.86        777.36        3.05          
45      -37.40        175.20        504.36        777.36        3.10          
46      -90.04        149.04        388.87        777.36        2.74          
47      -63.08        178.22        745.52        777.36        3.05          
48      -23.78        196.24        1078.29       1078.89       3.68          
49      -17.62        158.99        544.35        1078.89       3.05          
50      -81.24        153.10        876.60        1078.89       3.12          
51      -44.61        165.97        471.28        1078.89       2.70          
52      -33.72        173.55        416.57        1078.89       2.91          
53      -56.16        167.61        469.42        1078.89       2.99          
54      -25.68        175.67        982.96        1078.89       3.59          
55      -14.94        184.04        365.34        1078.89       2.87          
56      -9.87         216.78        750.96        1078.89       3.08          
57      -29.87        207.52        493.70        1078.89       3.11          
58      -192.89       206.25        392.22        1078.89       3.12          
59      -32.18        208.62        486.93        1078.89       3.28          
60      -8.97         199.09        964.59        1078.89       3.99          
61      -34.13        183.48        434.67        1078.89       3.27          
62      -9.86         192.13        1052.52       1078.89       3.69          
63      -28.41        198.15        527.22        1078.89       3.24          
64      -12.27        212.27        917.97        1078.89       3.63          
65      -57.77        188.92        1077.98       1078.89       3.51          
66      -21.97        222.99        889.84        1078.89       3.32          
67      -15.74        222.11        379.46        1078.89       3.25          
68      -20.28        227.30        1036.83       1078.89       3.98          
69      -11.27        204.67        850.54        1078.89       3.37          
70      -20.04        216.47        907.88        1078.89       3.27          
71      -33.27        206.22        461.86        1078.89       3.13          
72      -11.71        208.01        576.79        1078.89       3.24          
73      -30.97        223.11        933.25        1078.89       4.17          
74      -34.80        219.07        668.91        1078.89       3.28          
75      -47.31        203.03        1004.69       1078.89       3.60          
76      -16.55        199.94        970.62        1078.89       3.60          
77      -46.75        200.40        603.84        1078.89       3.30          
78      -55.17        208.57        634.94        1078.89       3.33          
79      -9.92         191.19        1063.51       1078.89       3.70          
80      -42.89        206.31        971.53        1078.89       3.26          
81      -75.37        212.11        1070.63       1078.89       3.67          
82      -52.12        213.27        1077.76       1082.29       3.77          
83      -35.98        207.13        1071.74       1082.29       3.86          
84      -29.83        228.80        1056.04       1082.29       3.59          
85      -32.77        188.53        650.24        1082.29       3.23          
86      -39.99        196.66        596.49        1082.29       2.74          
87      -29.84        219.27        1064.72       1082.29       4.23          
88      -49.18        219.07        1023.68       1082.29       3.72          
89      -54.39        211.13        1066.32       1082.29       4.30          
90      -53.99        220.70        1050.73       1082.29       3.86          
91      -27.47        220.68        931.73        1082.29       3.89          
92      -40.70        205.51        937.78        1082.29       3.67          
93      -35.56        227.09        990.71        1082.29       3.65          
94      -41.32        202.55        1092.70       1082.29       3.79          
95      -26.81        221.84        1019.07       1082.29       3.88          
96      -24.33        208.52        1056.89       1082.29       4.19          
97      -52.44        234.19        966.87        1082.29       4.37          
98      -102.32       226.93        1073.09       1082.29       4.22          
99      -28.78        244.11        1037.83       1082.29       4.09          
100     -47.37        286.27        1058.80       1082.29       4.39          
101     -102.25       217.08        1070.59       1082.29       4.14          
102     -41.91        238.64        1061.21       1082.29       4.06          
103     -131.83       262.10        914.90        1082.29       4.19          
104     -22.49        242.27        1073.79       1082.29       4.28          
105     -35.84        255.57        1081.21       1082.29       4.94          
106     -33.79        269.11        1117.09       1082.29       4.20          
107     -29.92        252.72        1058.45       1082.29       4.30          
108     -61.68        260.62        1081.88       1082.29       4.35          
109     -58.31        242.35        1032.77       1084.49       4.48          
110     -32.70        255.44        1053.21       1084.49       4.41          
111     -22.37        281.77        1099.28       1084.49       4.78          
112     -30.86        283.91        1069.07       1090.52       4.25          
113     -38.86        293.79        1144.12       1090.52       4.80          
114     -29.53        252.35        1082.16       1090.52       4.31          
115     -19.83        331.90        1103.40       1090.52       5.19          
116     -28.46        298.24        1108.48       1090.52       4.56          
117     -36.81        301.10        1131.63       1090.52       5.09          
118     -39.68        334.27        1063.65       1090.52       4.82          
119     -55.87        310.99        1049.69       1090.52       5.09          
120     -14.60        345.26        1130.30       1090.52       5.16          
121     -26.36        334.22        1079.95       1090.52       5.31          
122     -26.31        337.24        1125.17       1090.52       5.09          
123     -22.81        339.14        1132.35       1090.52       5.12          
124     -29.49        412.11        1136.92       1110.43       5.96          
125     -21.65        342.34        1117.67       1110.43       5.18          
126     -27.85        349.64        1074.93       1110.43       5.66          
127     -25.82        332.48        1097.13       1121.63       4.99          
128     -25.66        345.83        1115.88       1121.63       5.09          
129     -26.84        387.19        1156.84       1151.97       5.47          
130     -25.47        348.15        1088.39       1151.97       5.18          
131     -17.71        405.36        1116.66       1151.97       5.19          
132     -24.52        431.08        1100.18       1151.97       5.90          
133     -22.60        381.94        1100.58       1151.97       5.44          
134     -29.62        413.94        1080.82       1151.97       6.19          
135     -18.91        411.08        1133.07       1151.97       5.62          
136     -12.50        400.10        1084.57       1151.97       5.44          
137     -35.36        429.46        1110.90       1151.97       5.95          
138     -17.47        400.89        1094.78       1151.97       5.77          
139     -43.25        401.93        1101.45       1151.97       6.64          
140     -12.35        412.71        1078.58       1151.97       6.22          
141     -12.54        455.68        1105.07       1151.97       6.34          
142     -23.24        468.47        1128.21       1151.97       5.99          
143     -30.23        442.56        1087.62       1151.97       6.41          
144     -19.46        457.63        1111.24       1151.97       6.44          
145     -51.34        471.83        1091.39       1151.97       6.31          
146     -55.80        436.56        1099.33       1151.97       6.63          
147     -18.80        442.65        1131.90       1151.97       6.06          
148     -24.33        413.20        1132.41       1151.97       6.10          
149     -58.07        453.19        1097.22       1151.97       6.25          
150     -16.37        437.35        1135.58       1151.97       6.44          
151     -30.35        437.56        1132.97       1151.97       6.60          
152     -4.44         457.81        1107.87       1151.97       6.57          
153     -10.96        402.92        1106.14       1151.97       6.25          
154     -40.67        451.59        1138.27       1151.97       5.88          
155     -7.02         476.46        1112.18       1151.97       6.25          
156     -29.99        456.99        1155.95       1151.97       6.29          
157     1.52          468.80        1126.22       1151.97       6.41          
158     -30.93        450.62        1153.70       1151.97       6.37          
159     -7.11         429.75        1088.87       1151.97       5.85          
160     -22.21        447.59        1078.53       1151.97       5.99          
161     -33.35        442.91        1140.29       1151.97       6.25          
162     -10.01        449.40        1115.71       1151.97       5.86          
163     -28.28        499.25        1139.67       1151.97       6.49          
164     2.19          463.50        1136.14       1151.97       6.28          
165     -11.72        498.62        1135.12       1151.97       6.52          
166     0.19          476.79        1149.29       1151.97       6.39          
167     -23.16        501.83        1139.50       1151.97       6.72          
168     -1.39         477.59        1085.37       1151.97       6.52          
169     -24.43        526.68        1163.58       1151.97       6.85          
170     -14.25        494.83        1102.47       1151.97       6.99          
171     -37.46        484.28        1146.43       1151.97       6.07          
172     -41.29        571.62        1104.67       1151.97       7.15          
173     33.28         506.08        1119.91       1151.97       6.66          
174     -22.74        517.04        1105.83       1151.97       6.32          
175     17.39         553.49        1146.53       1151.97       6.81          
176     -27.85        588.15        1149.97       1151.97       7.40          
177     1.40          529.55        1144.96       1160.02       6.62          
178     -28.77        556.78        1129.23       1160.02       7.07          
179     -4.10         576.52        1143.36       1160.02       7.72          
180     -38.32        581.37        1108.80       1160.02       7.22          
181     -0.98         558.18        1157.95       1160.02       6.85          
182     5.70          604.32        1127.95       1160.02       7.42          
183     -29.52        595.40        1163.09       1160.02       7.50          
184     2.12          629.73        1144.27       1160.02       7.65          
185     -15.09        520.49        1152.77       1160.02       6.80          
186     -5.26         595.29        1104.06       1160.02       7.19          
187     -32.18        568.92        1122.02       1160.02       7.42          
188     -7.71         506.30        1118.14       1160.02       6.70          
189     -16.66        539.82        1131.56       1160.02       6.63          
190     -3.09         543.46        1144.96       1160.02       6.77          
191     -10.27        510.67        1146.46       1160.02       6.82          
192     -94.74        570.48        1123.25       1160.02       7.40          
193     -33.69        493.84        1141.59       1160.02       6.60          
