experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: InvertedDoublePendulum-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 10
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: 3.0
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: True
	alpha: 0.1
elapsed_time: 6857.440317153931

Genome Size: 230
Free Parameters: {'V': 110, 'W': 100, 'T': 10, 'x_0': 10}
Inputs: 11
Outputs: 1

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       26.79         44.29         131.81        104.66        8.23          
1       26.85         42.99         122.76        125.97        0.55          
2       26.73         46.16         159.86        125.97        0.60          
3       26.76         47.62         128.62        125.97        0.58          
4       26.82         47.51         178.43        134.03        0.64          
5       26.81         46.91         187.16        137.90        0.50          
6       26.76         46.01         125.55        137.90        0.52          
7       26.83         48.20         131.95        146.44        0.53          
8       26.85         50.29         150.25        146.44        0.58          
9       26.80         47.15         128.62        146.44        0.54          
10      29.45         50.32         174.82        146.44        0.60          
11      29.44         49.42         161.88        146.44        0.54          
12      26.82         49.04         125.89        146.44        0.52          
13      26.80         52.53         157.14        146.44        0.50          
14      29.48         50.25         137.76        146.44        0.51          
15      26.82         55.02         185.19        146.44        0.58          
16      26.79         50.13         126.13        146.44        0.52          
17      26.77         55.66         159.58        146.44        0.48          
18      26.82         55.41         147.06        146.44        0.53          
19      26.80         59.21         149.16        146.44        0.54          
20      29.45         58.08         177.74        146.44        0.54          
21      26.82         63.01         190.30        161.24        0.54          
22      26.80         62.24         197.08        161.24        0.56          
23      26.77         66.04         185.31        161.24        0.53          
24      26.74         67.25         168.55        161.24        0.56          
25      26.78         68.51         162.26        161.24        0.54          
26      26.79         74.09         161.83        161.24        0.45          
27      26.76         76.79         165.01        161.24        0.57          
28      26.76         77.95         177.09        161.24        0.53          
29      26.79         70.37         144.05        161.24        0.50          
30      26.82         74.10         156.90        161.24        0.54          
31      26.81         75.17         164.88        161.24        0.52          
32      26.82         73.21         168.98        161.24        0.54          
33      26.77         73.04         180.35        161.24        0.48          
34      26.86         80.66         218.25        161.24        0.61          
35      29.82         81.39         226.36        161.24        0.48          
36      26.86         74.49         226.82        161.24        0.50          
37      29.50         76.70         152.84        161.24        0.54          
38      26.83         81.38         170.51        161.24        0.52          
39      26.82         76.00         167.26        161.24        0.53          
40      26.80         77.63         136.88        161.24        0.51          
41      29.53         83.43         153.62        161.24        0.58          
42      29.52         87.32         169.70        161.24        0.54          
43      29.55         74.12         130.42        161.24        0.52          
44      26.77         78.05         192.46        161.24        0.50          
45      32.40         84.89         174.53        161.24        0.65          
46      32.48         85.05         140.52        161.24        0.54          
47      26.86         78.78         177.17        161.24        0.55          
48      29.67         88.77         149.40        161.24        0.54          
49      32.16         82.22         138.88        161.24        0.55          
50      35.45         82.48         143.22        161.24        0.60          
51      32.55         84.68         149.32        161.24        0.56          
52      26.74         95.33         149.20        161.24        0.58          
53      26.74         80.48         152.02        161.24        0.53          
54      32.56         85.98         155.59        161.24        0.54          
55      32.76         77.01         152.82        161.24        0.56          
56      32.62         93.66         181.73        161.24        0.51          
57      32.49         77.73         155.68        161.24        0.47          
58      32.74         78.77         146.12        161.24        0.50          
59      35.50         77.19         174.44        161.24        0.51          
60      32.73         94.08         153.00        161.24        0.51          
61      42.01         82.55         187.04        161.24        0.54          
62      38.65         84.98         152.03        161.24        0.58          
63      53.48         93.13         213.59        161.24        0.53          
64      29.56         78.05         158.98        161.24        0.49          
65      32.49         87.86         168.88        161.24        0.56          
66      53.91         94.64         171.14        161.24        0.55          
67      26.84         85.20         160.66        161.24        0.54          
68      29.67         97.31         186.00        161.24        0.57          
69      26.79         85.45         149.94        161.24        0.56          
70      26.86         87.49         171.99        161.24        0.53          
71      26.83         87.01         174.70        161.24        0.53          
72      26.81         82.72         177.12        161.24        0.50          
73      38.49         86.60         168.54        161.24        0.56          
74      26.81         85.36         173.78        161.24        0.60          
75      29.72         87.03         158.80        161.24        0.53          
76      26.83         91.66         174.32        161.24        0.60          
77      29.50         90.27         174.35        161.24        0.52          
78      26.80         91.01         190.27        161.24        0.62          
79      26.84         89.19         236.70        161.24        0.48          
80      26.78         78.77         158.95        161.24        0.52          
81      29.54         84.45         156.57        161.24        0.53          
82      26.72         80.95         140.26        161.24        0.53          
83      26.81         91.41         175.14        161.24        0.53          
84      26.80         90.08         183.81        161.24        0.62          
85      32.58         83.10         155.87        161.24        0.55          
86      29.90         92.21         183.41        161.24        0.51          
87      26.86         90.21         226.84        161.24        0.53          
88      48.09         90.83         187.46        161.24        0.57          
89      35.44         93.29         181.02        161.24        0.49          
90      29.54         94.09         183.71        161.24        0.56          
91      26.82         83.58         159.13        161.24        0.57          
92      26.81         98.11         186.04        161.24        0.55          
93      32.47         91.37         184.31        161.24        0.52          
94      26.78         91.79         201.89        161.24        0.53          
95      29.65         95.59         199.11        161.24        0.55          
96      32.42         92.31         173.84        161.24        0.52          
97      26.83         91.62         217.41        161.24        0.53          
98      26.79         97.45         167.47        161.24        0.49          
99      26.76         94.16         171.36        161.24        0.47          
100     32.11         91.26         178.65        161.24        0.47          
101     29.54         98.18         210.69        161.24        0.52          
102     26.82         91.21         180.13        161.24        0.55          
103     26.77         99.67         223.44        161.24        0.54          
104     32.37         94.39         190.15        161.24        0.60          
105     26.82         101.15        183.23        161.24        0.55          
106     35.35         102.35        212.41        161.24        0.56          
107     29.64         91.03         217.64        161.24        0.51          
108     26.83         91.04         187.44        161.24        0.67          
109     26.79         98.99         178.09        161.24        0.58          
110     26.80         94.74         232.75        161.24        0.55          
111     29.85         94.60         180.58        161.24        0.60          
112     26.81         97.15         192.58        161.24        0.53          
113     29.56         90.03         161.92        161.24        0.55          
114     26.79         96.87         174.27        161.24        0.49          
115     26.75         97.59         186.48        161.24        0.49          
116     26.86         94.69         186.96        161.24        0.49          
117     26.82         100.99        187.42        161.24        0.58          
