experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: HalfCheetah-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 0.5
brain
	type: CTRNN
	delta_t: 0.05
	differential_equation: original
	number_neurons: 5
	v_mask: dense
	w_mask: dense
	t_mask: dense
	clipping_range: inf
	set_principle_diagonal_elements_of_W_negative: False
	optimize_x0: True
	alpha: 0.1
elapsed_time: 11642.042919635773

Genome Size: 145
Free Parameters: {'V': 85, 'W': 25, 'T': 30, 'x_0': 5}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -583.34       -430.85       248.93        247.20        9.56          
1       -580.10       -353.29       -0.97         247.20        5.39          
2       -560.68       -277.22       -0.27         247.20        5.50          
3       -562.15       -272.60       -0.84         247.20        5.48          
4       -567.79       -268.23       0.97          247.20        5.31          
5       -578.80       -255.59       208.17        247.20        5.60          
6       -566.73       -198.53       335.45        287.23        5.42          
7       -555.58       -233.57       306.34        287.23        5.33          
8       -576.89       -272.33       243.17        287.23        5.61          
9       -586.61       -258.26       189.14        287.23        5.19          
10      -566.18       -261.89       225.86        287.23        5.42          
11      -583.14       -249.78       226.39        287.23        5.35          
12      -572.14       -274.50       86.38         287.23        5.19          
13      -592.67       -248.71       576.96        400.91        5.35          
14      -583.72       -250.48       201.83        400.91        5.34          
15      -583.32       -265.00       514.74        400.91        5.33          
16      -582.99       -269.39       383.94        400.91        5.33          
17      -590.23       -308.67       205.08        400.91        5.50          
18      -582.89       -323.81       177.55        400.91        5.17          
19      -973.10       -296.18       154.35        400.91        5.47          
20      -596.38       -298.22       125.73        400.91        5.53          
21      -575.17       -284.50       368.51        400.91        5.25          
22      -586.72       -297.68       331.88        400.91        5.46          
23      -722.06       -283.16       659.87        507.31        5.11          
24      -593.75       -299.39       443.00        507.31        5.23          
25      -790.55       -263.80       1184.58       1124.33       5.37          
26      -640.15       -269.89       495.31        1124.33       5.38          
27      -616.97       -223.95       755.33        1124.33       5.20          
28      -794.66       -177.65       744.80        1124.33       5.34          
29      -580.97       -101.51       1499.60       1280.17       5.35          
30      -1065.49      -77.75        969.74        1280.17       5.09          
31      -676.07       -19.29        1334.11       1280.17       5.32          
32      -790.92       53.39         1733.09       1532.15       5.26          
33      -935.54       154.67        1540.63       1532.15       5.02          
34      -677.76       145.49        1736.04       1537.67       5.07          
35      -997.22       177.69        1760.71       1772.82       5.04          
36      -915.20       257.75        1657.62       1772.82       4.81          
37      -1529.68      184.51        1831.12       1772.82       4.82          
38      -1694.55      136.46        1642.19       1772.82       4.99          
39      -1287.92      279.74        1713.04       1772.82       4.71          
40      -1280.90      174.21        1619.77       1772.82       4.85          
41      -1347.67      235.05        1709.18       1772.82       4.93          
42      -1206.79      228.37        1669.20       1772.82       4.97          
43      -800.57       245.20        1604.66       1772.82       4.97          
44      -1804.62      269.93        1595.82       1772.82       4.69          
45      -1657.86      330.84        1683.14       1772.82       4.89          
46      -978.89       327.11        1275.26       1772.82       4.84          
47      -1217.64      330.62        1511.61       1772.82       4.79          
48      -1772.28      337.08        1548.57       1772.82       4.80          
49      -1192.11      366.59        1604.69       1772.82       4.78          
50      -1035.28      401.88        1664.71       1772.82       4.83          
51      -1951.68      347.42        1337.32       1772.82       4.71          
52      -2256.57      420.78        1356.06       1772.82       4.63          
53      -2020.44      512.87        1653.85       1772.82       4.76          
54      -1173.54      489.98        1622.39       1772.82       4.64          
55      -1281.14      487.23        1565.14       1772.82       4.68          
56      -716.87       651.85        1290.97       1772.82       4.62          
57      -1051.35      665.78        1584.57       1772.82       4.46          
58      -1546.47      650.68        1551.27       1772.82       4.66          
59      -863.83       645.24        1590.45       1772.82       4.56          
60      -1433.17      543.75        1495.59       1772.82       4.58          
61      -1340.33      759.53        1685.67       1772.82       4.57          
62      -622.13       672.88        1169.15       1772.82       4.74          
63      -439.39       591.71        1322.47       1772.82       4.56          
64      -333.51       737.79        1294.56       1772.82       4.62          
65      -670.10       800.03        1674.43       1772.82       4.71          
66      -761.24       697.66        1321.67       1772.82       4.70          
67      -671.70       755.22        1214.25       1772.82       4.50          
68      -411.23       818.06        1557.18       1772.82       4.71          
69      -597.92       822.01        1620.33       1772.82       4.58          
70      -826.01       724.22        1273.13       1772.82       4.63          
71      -821.53       726.61        1351.78       1772.82       4.61          
72      -714.92       649.22        1238.80       1772.82       4.68          
73      -801.37       724.84        1620.72       1772.82       4.57          
74      -1248.88      751.40        1099.11       1772.82       4.54          
75      -1503.36      759.96        1167.42       1772.82       4.61          
76      -542.20       771.22        1089.66       1772.82       4.65          
77      -560.02       777.57        1387.00       1772.82       4.33          
78      -542.39       823.07        1184.48       1772.82       4.61          
79      -539.23       780.04        1583.74       1772.82       4.55          
80      -685.79       768.31        1228.15       1772.82       4.60          
81      -359.57       827.98        1300.76       1772.82       4.61          
82      -409.19       884.86        1452.07       1772.82       4.46          
83      -537.24       813.27        1419.92       1772.82       4.57          
84      110.20        849.63        1463.70       1772.82       4.46          
85      -518.54       833.45        1331.50       1772.82       4.61          
86      -269.79       808.58        1203.48       1772.82       4.54          
87      -588.28       804.85        1514.37       1772.82       4.65          
