experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: HalfCheetah-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: ELMANNN
	hidden_layer_structure: [10]
	use_bias: False
elapsed_time: 11411.951138496399

Genome Size: 330
Free Parameters: {'layer 0': {'input_weight_matrix': 170, 'hidden_weight_matrix': 100}, 'output_weight_matrix': 60}
Inputs: 17
Outputs: 6

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -51810.28     -23936.59     -7148.47      -8819.35      9.30          
1       -73292.33     -21939.46     -12144.35     -8819.35      4.62          
2       -40591.02     -19685.20     -10536.11     -8819.35      4.61          
3       -49525.90     -18237.62     -3589.12      -2644.31      4.59          
4       -42832.64     -17793.71     -7952.87      -2644.31      4.64          
5       -37311.06     -17177.44     -8500.30      -2644.31      4.71          
6       -33496.16     -16953.36     -8129.68      -2644.31      4.56          
7       -39416.01     -15683.85     -6931.04      -2644.31      4.70          
8       -34024.55     -15510.70     -7104.53      -2644.31      4.46          
9       -45886.21     -15712.50     -4195.30      -2644.31      4.57          
10      -32466.19     -14964.89     -6592.46      -2644.31      4.58          
11      -45094.35     -15090.42     -5650.00      -2644.31      4.42          
12      -33926.26     -14375.11     -7781.73      -2644.31      4.49          
13      -34606.97     -14131.41     -6979.17      -2644.31      4.59          
14      -43190.34     -14185.59     -5768.77      -2644.31      4.56          
15      -29225.53     -13812.80     -5642.01      -2644.31      4.61          
16      -28532.90     -13910.62     -5803.53      -2644.31      4.68          
17      -29583.04     -14475.55     -6447.85      -2644.31      4.53          
18      -42603.09     -14404.04     -6916.83      -2644.31      4.57          
19      -47491.43     -13934.69     -5822.90      -2644.31      4.56          
20      -46491.02     -13874.20     -5823.33      -2644.31      4.61          
21      -31416.59     -13290.89     -5913.44      -2644.31      4.39          
22      -34146.32     -13159.26     -4922.51      -2644.31      4.72          
23      -32494.85     -12714.95     -3432.72      -2644.31      4.61          
24      -28193.35     -11764.09     -4681.50      -2644.31      4.54          
25      -36387.97     -11860.96     -4415.81      -2644.31      4.68          
26      -30257.81     -12079.05     -5027.37      -2644.31      4.51          
27      -21698.79     -11883.53     -5347.56      -2644.31      4.58          
28      -24533.99     -11596.91     -5942.00      -2644.31      4.56          
29      -22515.45     -11036.75     -5294.31      -2644.31      4.76          
30      -22086.08     -11225.44     -5294.44      -2644.31      4.63          
31      -27927.27     -11223.13     -5743.73      -2644.31      4.49          
32      -34860.28     -10929.84     -4959.70      -2644.31      4.64          
33      -52153.48     -10811.71     -2155.12      -1847.83      4.59          
34      -30208.60     -10433.77     -4823.05      -1847.83      4.60          
35      -24557.21     -10018.55     -3054.74      -1847.83      4.48          
36      -25446.95     -10163.36     -4502.64      -1847.83      4.63          
37      -37142.61     -10164.51     -4660.59      -1847.83      4.70          
38      -26493.47     -9818.09      -3497.37      -1847.83      4.59          
39      -28830.03     -10018.42     -5001.44      -1847.83      4.66          
40      -25621.12     -9870.88      -4747.67      -1847.83      4.66          
41      -23627.12     -9841.27      -2543.86      -1847.83      4.48          
42      -22095.49     -9617.47      -4705.42      -1847.83      4.56          
43      -21224.14     -9378.76      -2683.35      -1847.83      4.69          
