experiment_id: 4
number_generations: 2500
number_validation_runs: 50
number_rounds: 3
maximum_env_seed: 100000
environment
	type: GymMujoco
	name: Swimmer-v2
optimizer
	type: CMA-ES-Deap
	population_size: 200
	sigma: 2.0
brain
	type: FFNN
	hidden_layers: [20, 20]
	neuron_activation: tanh
	neuron_activation_output: tanh
	use_bias: False
elapsed_time: 12070.9985165596

Genome Size: 600
Free Parameters: {'individual_size': 600}
Inputs: 8
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
0       -83.61        2.07          235.24        231.35        10.95         
1       -145.58       1.28          131.92        231.35        5.73          
2       -148.70       0.15          129.95        231.35        5.92          
3       -177.26       -0.32         276.40        278.11        5.93          
4       -125.66       0.25          183.51        278.11        5.94          
5       -187.36       4.12          242.36        278.11        5.94          
6       -88.81        3.39          225.57        278.11        5.80          
7       -220.79       -3.79         216.18        278.11        5.96          
8       -124.04       2.61          124.54        278.11        6.09          
9       -150.73       -4.87         181.94        278.11        6.00          
10      -173.30       7.49          201.41        278.11        5.98          
11      -194.40       0.85          194.34        278.11        6.07          
12      -196.57       -1.76         113.38        278.11        6.18          
13      -170.41       6.76          220.80        278.11        5.92          
14      -179.23       7.78          194.96        278.11        5.72          
15      -138.54       12.08         220.68        278.11        6.01          
16      -193.87       8.81          233.56        278.11        5.95          
17      -141.83       14.03         264.09        278.11        5.71          
18      -138.53       10.70         189.98        278.11        5.95          
19      -159.67       14.36         200.14        278.11        6.08          
20      -112.82       18.33         179.14        278.11        5.85          
21      -158.89       17.12         283.97        278.11        5.84          
22      -155.84       24.01         217.48        278.11        5.99          
23      -175.44       31.96         260.06        278.11        5.72          
24      -255.31       33.42         255.96        278.11        5.87          
25      -166.63       38.36         274.15        278.11        5.66          
26      -162.78       49.91         265.25        278.11        5.88          
27      -145.54       58.13         308.51        313.55        5.75          
28      -131.63       58.99         265.92        313.55        5.62          
29      -88.81        75.33         305.97        313.55        6.07          
30      -118.58       89.69         312.37        313.55        5.70          
31      -86.88        86.72         290.74        313.55        5.78          
32      -151.20       88.55         272.70        313.55        5.54          
33      -142.44       96.64         315.02        315.72        5.53          
34      -227.93       110.88        305.13        315.72        5.44          
35      -141.29       123.92        327.89        327.58        5.38          
36      -88.23        123.37        324.42        327.58        5.51          
37      -84.55        137.75        325.62        327.58        5.41          
38      -74.01        136.97        326.92        327.58        5.44          
39      -100.60       165.77        342.81        327.58        5.21          
40      -89.43        164.73        336.06        335.06        5.33          
41      -87.47        167.71        345.75        345.36        5.39          
42      -95.66        185.87        346.00        345.36        5.02          
43      -82.29        183.17        352.35        346.82        5.19          
44      -132.80       196.28        353.03        349.59        5.17          
45      -186.12       189.99        340.21        349.59        5.18          
46      -68.31        185.94        347.50        349.59        5.08          
47      -47.77        187.60        343.68        349.59        5.19          
48      -16.15        201.98        348.16        349.59        5.12          
49      -101.94       202.56        344.65        349.59        5.41          
50      -42.98        200.41        344.74        349.59        4.99          
51      -12.30        210.14        349.12        349.59        4.90          
52      -36.35        203.17        345.32        349.59        5.19          
53      -44.89        197.28        347.70        349.59        4.99          
54      -92.67        196.14        343.99        349.59        5.00          
